subject,metric,family,direction,paired_n,missing_pairs,stage2_mean,stage3_mean,delta_mean_stage3_minus_stage2,stage2_std,stage3_std,stage2_min,stage2_max,stage3_min,stage3_max,stage2_median,stage3_median,delta_median_stage3_minus_stage2,delta_std,delta_min,delta_max,bootstrap_mean_delta_ci_low,bootstrap_mean_delta_ci_high,bootstrap_resamples,bootstrap_seed,wins_stage3,ties,losses_stage3,proportion_seeds_improved,availability,unavailable_reason
daytrader,pairwise_recall,secondary,higher,30,0,0.17870370370370373,0.1942592592592593,0.01555555555555556,0.02208209330879974,0.021015276191482364,0.12777777777777777,0.21666666666666667,0.14999999999999999,0.25,0.18333333333333332,0.19166666666666665,0.019444444444444445,0.028604554171843762,-0.027777777777777762,0.088888888888888878,0.0053703703703703752,0.025740740740740748,10000,497545539,18,2,10,0.59999999999999998,available,
daytrader,pairwise_f1,secondary,higher,30,0,0.16544765411682466,0.17928552706874426,0.013837872951919575,0.019203709957877624,0.015674221153219581,0.12887828162291168,0.19746835443037977,0.14609571788413098,0.22058823529411764,0.16982841719683822,0.17918344674350783,0.010876155005265661,0.023900674897106861,-0.031622844040164799,0.065508021390374316,0.0055736198180029728,0.02238325279844277,10000,2991613016,19,1,10,0.6333333333333333,available,
daytrader,ari_vs_reference,secondary,higher,30,0,0.029603356355566511,0.045273772804652369,0.015670416449085858,0.025592502626568547,0.017019476508018418,-0.028616617149276463,0.065576386118867167,0.0038469248058411775,0.087348795361391562,0.0371383045824598,0.046676526176477454,0.0079116907035872899,0.03026729819045566,-0.041911431394617692,0.08244798215888921,0.0050609359512558232,0.026591297867117853,10000,103804672,19,1,10,0.6333333333333333,available,
daytrader,nmi_vs_reference,secondary,higher,30,0,0.37608399151557553,0.40220665228203484,0.026122660766459214,0.048317971277265656,0.031356562997330514,0.22572975506337561,0.42832512967876524,0.28373775512354765,0.44080710615294327,0.39021503485715503,0.4098886722939391,0.023269232495723352,0.059804017485716156,-0.12749550511944108,0.18138722587747746,0.0055201137612725243,0.04761033401979655,10000,4037296939,20,1,9,0.66666666666666663,available,
daytrader,reference_coverage_ratio,external_descriptive,higher,30,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,10000,1001378618,0,30,0,0,available,
xerces,hv,primary,higher,30,0,0.13442197970616968,0.13561794804953745,0.0011959683433677925,0.0075522709004012022,0.0090125847012676643,0.1234554666995543,0.1532506593007284,0.12272416948041764,0.15491662894500882,0.13323444906866982,0.13386790620693306,-0.00037581085748636389,0.011717728541244201,-0.020096253905890038,0.030877290660024509,-0.0028169474475259549,0.0053595012855013474,10000,2935697672,14,0,16,0.46666666666666667,available,
xerces,semantic_cut,secondary,lower,30,0,0.38523306861349726,0.38295882678144877,-0.002274241832048459,0.0042860511566082029,0.0027164083460367279,0.38010271339799062,0.40297737127832889,0.37999959760293789,0.39362104698160516,0.38397989914667119,0.38249830363901516,-0.0013651875348514309,0.0042884373929136278,-0.021575781803386818,0.0051419509286491083,-0.0039964914893922242,-0.0010114784360421214,10000,1956729774,21,8,1,0.69999999999999996,available,
xerces,coupling,secondary,lower,30,0,0.20991900311526471,0.20980877066858372,-0.00011023244668101525,0.0029530511532639327,0.0018926848039201192,0.208253055355859,0.21932422717469441,0.2085981308411215,0.21751258087706685,0.2087994248741912,0.20904385334291875,7.1890726096354718e-05,0.0033883907663359715,-0.010381020848310524,0.004888569374550733,-0.0013908698777857339,0.00099213994728016052,10000,2280557098,6,8,16,0.20000000000000001,available,
xerces,cohesion,secondary,higher,30,0,8.0466009802666267,8.1778425216829316,0.13124154141630473,0.89069956851427623,0.17495867410319449,3.4573180814214917,8.9308619118886181,8.0148640780127298,8.6328326146695016,8.0687653361834233,8.0709479238671591,0,0.88182887052343595,-0.86260401138359377,4.6145947652514385,-0.090330475954021605,0.48688860001057599,10000,3863760268,12,7,11,0.40000000000000002,available,
xerces,imbalance,secondary,lower,30,0,1.296070512377882,1.302221569435263,0.0061510570573807856,0.023886498696441417,0.022401160125055598,1.2198986269944041,1.3192513138601829,1.2321493744045986,1.320704529534962,1.3098194550186948,1.314526165589089,0.00042514247369251912,0.029712809959434934,-0.069752447797642336,0.098394816349098191,-0.0041275251973766089,0.016980181808233071,10000,3253979921,7,7,16,0.23333333333333334,available,
xerces,weighted_modularity,secondary,higher,30,0,0.66052430960527786,0.66047372860658438,-5.0580998693276298e-05,0.0027020520792700249,0.0018837354313347859,0.65210526208073682,0.66264036537649373,0.65361669146580204,0.66204481412553806,0.66151914293439007,0.66127100612391043,-6.2559506243176077e-05,0.0031914410624863049,-0.0051869248806504231,0.0092373275669161981,-0.0010865409462731054,0.0011186386925084867,10000,1997701326,6,8,16,0.20000000000000001,available,
xerces,internal_edge_weight_ratio,secondary,higher,30,0,0.79008099688473521,0.79019122933141617,0.00011023244668105781,0.0029530511532639371,0.0018926848039201125,0.78067577282530554,0.79174694464414086,0.78248741912293318,0.79140186915887856,0.79120057512580877,0.79095614665708125,-7.1890726096313085e-05,0.0033883907663359676,-0.004888569374550622,0.010381020848310607,-0.00098447160316318498,0.0013947759405703447,10000,547270299,6,8,16,0.20000000000000001,available,
xerces,internal_external_edge_ratio,secondary,higher,30,0,3.764623482295264,3.7666113683498925,0.0019878860546289029,0.064814042858517731,0.042019305163935892,3.5594598138193261,3.8018503175918257,3.597435219460603,3.7939068100358422,3.789285222421154,3.7836858260960264,-0.0016482040337606474,0.074492822587973531,-0.10570245973874792,0.2265297265054742,-0.022340466315617119,0.029257346713518616,10000,2653789077,6,8,16,0.20000000000000001,available,
xerces,max_cluster_ratio,secondary,lower,30,0,0.14516789516789513,0.14520884520884522,4.0950040950096801e-05,0.00056650250292065042,0.00098913488927874289,0.14496314496314491,0.14742014742014739,0.14373464373464373,0.14864864864864866,0.14496314496314491,0.14496314496314497,5.5511151231257827e-17,0.00099350967793799725,-0.0024570024570024218,0.0036855036855037437,-0.0002866502866502335,0.00040950040950046563,10000,694284508,4,22,4,0.13333333333333333,available,
xerces,singleton_ratio,secondary,lower,30,0,0.012612612612612567,0.012694512694512692,8.1900081900128117e-05,0.0013275864855798198,0.0014901190045776976,0.0073710073710073001,0.0135135135135135,0.0061425061425061421,0.013513513513513514,0.01289926289926285,0.013513513513513514,1.3877787807814457e-17,0.0019606534902960426,-0.0061425061425060571,0.0061425061425062141,-0.00061425061425056761,0.00077805077805082772,10000,2059519095,7,15,8,0.23333333333333334,available,
xerces,cluster_size_cv,secondary,lower,30,0,1.296070512377882,1.302221569435263,0.0061510570573807856,0.023886498696441417,0.022401160125055598,1.2198986269944041,1.3192513138601829,1.2321493744045986,1.320704529534962,1.3098194550186948,1.314526165589089,0.00042514247369251912,0.029712809959434934,-0.069752447797642336,0.098394816349098191,-0.0040184220323132396,0.016742698956088316,10000,3201859383,7,7,16,0.23333333333333334,available,
xerces,cluster_count,descriptive,descriptive_only,30,0,30.466666666666665,30.600000000000001,0.13333333333333333,0.73029674334022154,0.62145546626586523,28,31,29,31,31,31,0,0.86036613430415254,-2,3,-0.16666666666666666,0.43333333333333335,10000,2382001573,,,,,available,
xerces,average_cluster_size,descriptive,descriptive_only,30,0,26.733138584317672,26.612196267457669,-0.12094231686000316,0.66567490153808473,0.5547664924013781,26.258064516129032,29.071428571428573,26.258064516129032,28.068965517241381,26.258064516129032,26.258064516129032,0,0.78015091255804081,-2.8133640552995409,1.8109010011123488,-0.40227872238995727,0.14789024842417503,10000,1543723507,,,,,available,
xerces,max_cluster_size,descriptive,descriptive_only,30,0,118.16666666666667,118.2,0.033333333333333333,0.46113303737741407,0.80515579987289776,118,120,117,121,118,118,0,0.8087168778415269,-2,3,-0.23333333333333334,0.33333333333333331,10000,1499423983,,,,,available,
xerces,min_cluster_size,descriptive,descriptive_only,30,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,10000,3430306444,,,,,available,
xerces,mojofm_vs_reference,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
xerces,pairwise_precision,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
xerces,pairwise_recall,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
xerces,pairwise_f1,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
xerces,ari_vs_reference,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
xerces,nmi_vs_reference,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
xerces,reference_coverage_ratio,external_descriptive,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
