condition,seed,status,runtime_sec,initial_seed_records,initial_seed_categories,repaired_individuals,repair_failures,exact_leiden_in_initial_population,final_population_size,final_feasible_count,pareto_front_size,unique_final_partitions,bound_violations,fallback_used,selector_success,selected_solution_id,selected_provenance,selected_equals_leiden,weighted_modularity,coupling,cohesion,imbalance,cluster_count,singleton_count,singleton_ratio,max_cluster_size,max_cluster_ratio,hypervolume,front_dominates_paired_leiden,n_front_dominating_leiden,before_repair_population_size,before_repair_feasible,before_repair_infeasible,before_repair_unique_partitions,before_repair_unique_partition_ratio,before_repair_cluster_count_min,before_repair_cluster_count_median,before_repair_cluster_count_max,before_repair_singleton_count_min,before_repair_singleton_count_median,before_repair_singleton_count_max,before_repair_imbalance_min,before_repair_imbalance_median,before_repair_imbalance_max,after_repair_population_size,after_repair_feasible,after_repair_infeasible,after_repair_unique_partitions,after_repair_unique_partition_ratio,after_repair_cluster_count_min,after_repair_cluster_count_median,after_repair_cluster_count_max,after_repair_singleton_count_min,after_repair_singleton_count_median,after_repair_singleton_count_max,after_repair_imbalance_min,after_repair_imbalance_median,after_repair_imbalance_max,initial_algorithm_population_population_size,initial_algorithm_population_feasible,initial_algorithm_population_infeasible,initial_algorithm_population_unique_partitions,initial_algorithm_population_unique_partition_ratio,initial_algorithm_population_cluster_count_min,initial_algorithm_population_cluster_count_median,initial_algorithm_population_cluster_count_max,initial_algorithm_population_singleton_count_min,initial_algorithm_population_singleton_count_median,initial_algorithm_population_singleton_count_max,initial_algorithm_population_imbalance_min,initial_algorithm_population_imbalance_median,initial_algorithm_population_imbalance_max
random_only,0,completed,7.700022874982096,0,{},10,0,False,100,100,90,90,0,False,True,seed0_solution053,evolved_or_random,False,0.1546476295597825,0.5207564575645757,45.339616864616865,0.4103502485081423,6,0,0.0,14,0.2641509433962264,0.2249204461167241,True,8,100,90,10,100,1.0,2,9.0,15,0,0.0,4,0.0188679245283018,0.3682792654156021,0.6883560885643282,100,100,0,100,1.0,3,9.0,15,0,0.0,4,0.053366549523513,0.3939738305249264,0.6883560885643282,100,100,0,100,1.0,3,9.0,15,0,0.0,4,0.053366549523513,0.3939738305249264,0.6883560885643282
random_only,1,completed,7.838304749981035,0,{},10,0,False,100,100,100,100,0,False,True,seed1_solution058,evolved_or_random,False,0.1732517428956577,0.4884686346863469,23.103443223443225,0.4941811642908979,5,0,0.0,15,0.2830188679245283,0.2057475302198934,True,15,100,90,10,100,1.0,2,9.0,15,0,0.0,3,0.0566037735849056,0.3624406618388889,0.692224012371477,100,100,0,100,1.0,3,9.0,15,0,0.0,3,0.1449272782616718,0.3914730296783906,0.692224012371477,100,100,0,100,1.0,3,9.0,15,0,0.0,3,0.1449272782616718,0.3914730296783906,0.692224012371477
random_only,2,completed,7.566686916979961,0,{},9,0,False,100,100,100,100,0,False,True,seed2_solution021,evolved_or_random,False,0.1950052805993931,0.4211254612546125,4.041178298825358,0.4488821605045403,5,0,0.0,18,0.3396226415094339,0.190309562895439,True,1,100,91,9,100,1.0,2,8.0,15,0,0.0,3,0.0266832747617565,0.3624409945716706,0.7442672801251329,100,100,0,100,1.0,3,8.0,15,0,0.0,3,0.0266832747617565,0.3839054707429397,0.7442672801251329,100,100,0,100,1.0,3,8.0,15,0,0.0,3,0.0266832747617565,0.3839054707429397,0.7442672801251329
random_only,3,completed,7.656960458960384,0,{},10,0,False,100,100,96,96,0,False,True,seed3_solution047,evolved_or_random,False,0.1580376807573426,0.4935424354243542,21.690248114458644,0.5118739609905864,5,0,0.0,19,0.3584905660377358,0.213441730910788,True,8,100,90,10,100,1.0,2,8.0,15,0,0.0,3,0.0188679245283018,0.3054018142063115,0.91251338032783,100,100,0,100,1.0,3,8.0,15,0,0.0,3,0.0705973091844139,0.326801585270642,0.91251338032783,100,100,0,100,1.0,3,8.0,15,0,0.0,3,0.0705973091844139,0.326801585270642,0.91251338032783
random_only,4,completed,7.705145625048317,0,{},11,0,False,100,100,100,100,0,False,True,seed4_solution022,evolved_or_random,False,0.1642436615786823,0.3436346863468634,3.162521499828001,0.0705973091844139,3,0,0.0,19,0.3584905660377358,0.2204932227233156,True,10,100,89,11,100,1.0,2,8.0,15,0,0.0,3,0.0188679245283018,0.3297840083123479,0.6119726317066738,100,100,0,100,1.0,3,8.0,15,0,0.0,3,0.0705973091844139,0.3607138707805565,0.6140052866140747,100,100,0,100,1.0,3,8.0,15,0,0.0,3,0.0705973091844139,0.3607138707805565,0.6140052866140747
random_only,5,completed,7.607494665950071,0,{},7,0,False,100,100,100,100,0,False,True,seed5_solution047,evolved_or_random,False,0.1492596948570962,0.5525830258302583,5.500463821892394,0.3145911698213786,7,0,0.0,11,0.2075471698113207,0.1788759798483558,True,4,100,93,7,100,1.0,2,9.0,15,0,0.0,2,0.0188679245283018,0.3594655313753259,0.7074842739340632,100,100,0,100,1.0,3,9.0,15,0,0.0,2,0.0625778262331207,0.3843685660730844,0.7074842739340632,100,100,0,100,1.0,3,9.0,15,0,0.0,2,0.0625778262331207,0.3843685660730844,0.7074842739340632
random_only,6,completed,7.549347041989677,0,{},11,0,False,100,100,100,100,0,False,True,seed6_solution051,evolved_or_random,False,0.1687823814354381,0.5608856088560885,23.58775252525253,0.536658968050109,6,0,0.0,16,0.3018867924528302,0.2029955976114296,False,0,100,89,11,100,1.0,2,8.5,15,0,0.0,2,0.0188679245283018,0.3468791559466274,0.6014104698305368,100,100,0,100,1.0,3,8.5,15,0,0.0,2,0.0266832747617565,0.3658545432094467,0.6322866445326807,100,100,0,100,1.0,3,8.5,15,0,0.0,2,0.0266832747617565,0.3658545432094467,0.6322866445326807
random_only,7,completed,7.512788082996849,0,{},5,0,False,100,100,100,100,0,False,True,seed7_solution066,evolved_or_random,False,0.1450057486621915,0.5046125461254612,30.175148925148928,0.7528278242739622,9,1,0.0188679245283018,14,0.2641509433962264,0.2325294625345844,True,15,100,95,5,100,1.0,2,10.0,15,0,0.0,3,0.0943396226415094,0.3529865459220699,0.6342542005272307,100,100,0,100,1.0,3,10.0,15,0,0.0,3,0.0962079153508072,0.3631768334521656,0.6342542005272307,100,100,0,100,1.0,3,10.0,15,0,0.0,3,0.0962079153508072,0.3631768334521656,0.6342542005272307
random_only,8,completed,7.4766352089936845,0,{},9,0,False,100,100,99,99,0,False,True,seed8_solution055,evolved_or_random,False,0.1381889458885364,0.551660516605166,14.19270253555968,0.3984662656970354,7,0,0.0,11,0.2075471698113207,0.1859749696687036,True,5,100,91,9,100,1.0,2,9.0,15,0,0.0,5,0.0188679245283018,0.3557385559799029,0.6308774904641694,100,100,0,100,1.0,3,9.0,15,0,0.0,5,0.0625778262331207,0.3845751868650772,0.6322866445326807,100,100,0,100,1.0,3,9.0,15,0,0.0,5,0.0625778262331207,0.3845751868650772,0.6322866445326807
random_only,9,completed,7.383264540985692,0,{},13,0,False,100,100,100,100,0,False,True,seed9_solution066,evolved_or_random,False,0.1707361181084137,0.5502767527675276,23.603349373937608,0.6710724242935373,6,1,0.0188679245283018,18,0.3396226415094339,0.2089352130762526,True,7,100,87,13,100,1.0,2,7.0,15,0,0.0,3,0.0188679245283018,0.331930770731038,0.6729265849104532,100,100,0,100,1.0,3,7.0,15,0,0.0,3,0.0625778262331207,0.3646422614521089,0.6729265849104532,100,100,0,100,1.0,3,7.0,15,0,0.0,3,0.0625778262331207,0.3646422614521089,0.6729265849104532
