condition,seed,pareto_solutions,unique_partitions,coupling_min,coupling_median,coupling_max,cohesion_min,cohesion_median,cohesion_max,imbalance_min,imbalance_median,imbalance_max
current_warm_start,0,100,100,0.1743542435424354,0.5149907749077491,0.8620848708487084,1.1337662337662338,4.843190177555503,48.851444086406495,0.0266832747617565,0.6538749399995456,1.4013165756699728
current_warm_start,1,100,100,0.1743542435424354,0.5583487084870848,0.856549815498155,1.0905695611577966,9.435716619981326,49.05442176870748,0.0730751574756116,0.7005079228629221,1.4268692498531796
current_warm_start,2,100,100,0.1743542435424354,0.46563653136531363,0.7744464944649446,1.3218045112781955,5.18128172996594,48.68759337068161,0.0326802039163939,0.6883521543475654,1.3665901103571183
current_warm_start,3,100,100,0.1743542435424354,0.46863468634686345,0.7933579335793358,1.3748917748917748,4.489747540041657,66.03272058823529,0.0266832747617565,0.6197276205385422,1.4662453411685228
current_warm_start,4,100,100,0.1743542435424354,0.5161439114391144,0.8302583025830258,1.1228070175438598,7.934087301587302,53.08035714285714,0.0266832747617565,0.7069805019947916,1.4662453411685228
current_warm_start,5,100,100,0.1743542435424354,0.5133763837638377,0.7666051660516605,1.472607376283847,6.622859011028654,37.944579725829726,0.0326802039163939,0.605792706066682,1.4013165756699728
current_warm_start,6,100,100,0.1743542435424354,0.5138376383763837,0.7430811808118081,1.2415204678362572,5.813818681318681,53.06730984701572,0.0266832747617565,0.5691517064609244,1.3626769875673803
current_warm_start,7,100,100,0.1743542435424354,0.5269833948339484,0.8694649446494465,1.2934609250398723,5.928843995510663,44.86623482726424,0.0266832747617565,0.6426135179427572,1.404108298501061
current_warm_start,8,100,100,0.1743542435424354,0.48431734317343167,0.9072878228782288,0.7486868686868686,4.408139589169,34.65165598290598,0.0462167875996826,0.6247760503801967,1.4013165756699728
current_warm_start,9,100,100,0.1743542435424354,0.4797047970479704,0.8007380073800738,1.682056277056277,9.4058608815427,53.764075573549256,0.0266832747617565,0.746218451276301,1.4228717095171977
random_only,0,90,90,0.2343173431734317,0.4833948339483395,0.7859778597785978,1.4305555555555556,6.9194017094017095,66.10238095238095,0.0266832747617565,0.40773088419354175,0.8869931527202384
random_only,1,100,100,0.2214022140221402,0.44949261992619927,0.7583025830258303,2.2520095693779907,12.984803397854868,49.83232798947085,0.0326802039163939,0.37093583280466513,0.6283330492583664
random_only,2,100,100,0.2845940959409594,0.5555811808118081,0.7716789667896679,1.7632700632700633,7.80475674108027,53.41168534080299,0.0266832747617565,0.3825049031507644,0.8095636963367899
random_only,3,96,96,0.2435424354243542,0.4942343173431734,0.7629151291512916,2.5863512949039262,10.257224164724164,54.280510992275694,0.0326802039163939,0.3557174378517082,0.6579470103457621
random_only,4,100,100,0.2075645756457564,0.5518911439114391,0.809040590405904,2.4471356094885506,8.45744134642161,66.23376433508012,0.0266832747617565,0.43580293442628565,0.9467863615316514
random_only,5,100,100,0.2421586715867158,0.5666512915129152,0.8131918819188192,1.2289115646258504,5.608351569065855,46.020594220594226,0.0326802039163939,0.34662124712374004,1.0438925429149473
random_only,6,100,100,0.3297970479704797,0.5567343173431734,0.7656826568265682,1.858688860159448,10.272865892277657,66.05555555555556,0.0266832747617565,0.39192747548035056,0.7202013088298986
random_only,7,100,100,0.2121771217712177,0.4460332103321033,0.7061808118081181,2.202232854864434,8.571208791208791,65.9179774473892,0.0266832747617565,0.4327104451771844,0.8603028766172073
random_only,8,99,99,0.2481549815498155,0.5216789667896679,0.7716789667896679,1.2236842105263157,8.131725417439702,53.292464920700205,0.0326802039163939,0.4327299977803666,0.8496853018262418
random_only,9,100,100,0.2130996309963099,0.4695571955719557,0.7190959409594095,1.4188311688311688,8.164635364635364,59.55,0.0266832747617565,0.4170181838793296,1.0207878486584134
