metric,warm_start_mean,random_only_mean,warm_wins,ties,warm_losses,paired_median_difference_warm_minus_random,exploratory_wilcoxon_p,rank_biserial_warm_minus_random,nonzero_paired_differences
weighted_modularity,0.28646320898748645,0.16171588843425339,9,0,1,0.13607128085810355,0.00390625,0.9636363636363636,10
coupling,0.45618081180811815,0.4987546125461254,8,0,2,-0.050046125461254615,0.083984375,-0.6363636363636364,10
cohesion,7.481785355077021,19.439642518296324,3,0,7,-13.011582757293544,0.02734375,-0.7818181818181819,10
imbalance,0.6306109330052493,0.46095014956146035,3,0,7,0.2463169617092728,0.064453125,0.6727272727272727,10
pareto_front_size,100.0,98.5,3,7,0,0.0,0.25,1.0,3
unique_final_partitions,100.0,98.5,3,7,0,0.0,0.25,1.0,3
runtime_sec,7.586576720804442,7.599665016686776,5,0,5,-0.01812012545997277,0.76953125,-0.12727272727272726,10
hypervolume,0.1775385147612367,0.2064223715605486,0,0,10,-0.024560842826056195,0.001953125,-1.0,10
