source_class_id,rank,target_class_id,weight
org.apache.xerces.dom.DOMImplementationSourceImpl,1,org.apache.xerces.dom.DOMXSImplementationSourceImpl,0.91300293014242262
org.apache.xerces.dom.DOMImplementationSourceImpl,2,org.apache.xerces.dom.DOMImplementationListImpl,0.70078783553312907
org.apache.xerces.dom.DOMImplementationSourceImpl,3,org.apache.xerces.dom.DOMImplementationImpl,0.70064601752945077
org.apache.xerces.dom.DOMInputImpl,1,org.apache.xerces.dom.DOMOutputImpl,0.75586944444901549
org.apache.xerces.dom.DOMInputImpl,2,org.apache.xerces.util.DOMInputSource,0.7383685230342828
org.apache.xerces.dom.DOMInputImpl,3,org.apache.xerces.xni.parser.XMLInputSource,0.69205927263454137
org.apache.xerces.dom.DOMLocatorImpl,1,org.apache.xerces.xni.XMLLocator,0.73854541642290017
org.apache.xerces.dom.DOMLocatorImpl,2,org.apache.xerces.impl.xs.util.SimpleLocator,0.71009436490591149
org.apache.xerces.dom.DOMLocatorImpl,3,org.apache.xerces.util.LocatorProxy,0.70629961463192403
org.apache.xerces.dom.DOMMessageFormatter,1,org.apache.xerces.util.SAXMessageFormatter,0.79695243788085335
org.apache.xerces.dom.DOMMessageFormatter,2,org.apache.xerces.impl.msg.XMLMessageFormatter,0.77933373690455532
org.apache.xerces.dom.DOMMessageFormatter,3,org.apache.xerces.util.MessageFormatter,0.75941310497342474
org.apache.xerces.dom.DOMNormalizer,1,org.apache.xerces.jaxp.validation.DOMDocumentHandler,0.71052213521018059
org.apache.xerces.dom.DOMNormalizer,2,org.apache.xerces.parsers.AbstractDOMParser,0.70931010315051424
org.apache.xerces.dom.DOMNormalizer,3,org.apache.xerces.jaxp.validation.DOMResultAugmentor,0.67970576103183067
org.apache.xerces.dom.DOMNormalizer$1,1,org.apache.xerces.parsers.AbstractDOMParser$Abort,0.69456497033851083
org.apache.xerces.dom.DOMNormalizer$1,2,org.apache.xerces.impl.XMLEntityScanner$1,0.6185428769543303
