source,target,type_weight,call_weight,return_flow_weight,argument_flow_weight,ssa_flow_weight,g_ssa_weight
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Order,1.0,34.0,0.0,0.0,0.0,35.0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.mapper.AccountMapper,8.0,0.0,0.0,18.0,36.0,44.0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.AccountService,5.0,2.0,6.0,12.0,36.0,43.0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.CatalogService,0.0,0.0,9.0,9.0,36.0,36.0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.service.OrderService,0.0,0.0,3.0,3.0,12.0,12.0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.web.actions.AccountActionBean,2.0,26.0,0.0,0.0,0.0,28.0
org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.web.actions.OrderActionBean,0.0,4.0,0.0,0.0,0.0,4.0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,1.0,20.0,0.0,0.0,0.0,21.0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item,2.0,6.0,3.0,3.0,12.0,20.0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Order,1.0,4.0,0.0,0.0,0.0,5.0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.service.CatalogService,0.0,0.0,3.0,3.0,12.0,12.0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.web.actions.CartActionBean,3.0,16.0,0.0,0.0,0.0,19.0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Item,3.0,0.0,0.0,3.0,6.0,9.0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.LineItem,1.0,8.0,0.0,3.0,6.0,15.0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Order,1.0,0.0,0.0,3.0,6.0,7.0
