subject,seed,solution_id,baseline_profile,ari,nmi,changed_class_count,changed_partition_ratio
jpetstore,0,seed0_solution053,raw_reference_leiden,0.7159090909090909,0.830432472609043,17,0.7083333333333334
jpetstore,0,seed0_solution054,raw_reference_leiden,0.5883668903803132,0.7546177847829061,24,1.0
jpetstore,0,seed0_solution055,raw_reference_leiden,0.7133956386292835,0.826282953978481,18,0.75
jpetstore,0,seed0_solution056,raw_reference_leiden,0.4421537715255882,0.6262452114518654,24,1.0
jpetstore,0,seed0_solution057,raw_reference_leiden,0.7416335127545051,0.8368916249977371,11,0.4583333333333333
jpetstore,0,seed0_solution058,raw_reference_leiden,0.5708323103363614,0.7527392193239402,20,0.8333333333333334
jpetstore,0,seed0_solution059,raw_reference_leiden,0.6155015197568389,0.7689073369210606,24,1.0
jpetstore,0,seed0_solution060,raw_reference_leiden,0.5453230472516876,0.7075056705490288,24,1.0
jpetstore,0,seed0_solution061,raw_reference_leiden,0.6063428139944625,0.7653021185411607,20,0.8333333333333334
jpetstore,0,seed0_solution062,raw_reference_leiden,0.6542118063232367,0.8029285782408959,13,0.5416666666666666
jpetstore,0,seed0_solution063,raw_reference_leiden,0.7545476594712588,0.858510683847795,14,0.5833333333333334
jpetstore,0,seed0_solution064,raw_reference_leiden,0.6520253782332845,0.7853774993756583,18,0.75
jpetstore,0,seed0_solution065,raw_reference_leiden,0.5621890547263682,0.7213402704028504,24,1.0
jpetstore,0,seed0_solution066,raw_reference_leiden,0.4591905946190369,0.6073041069720526,24,1.0
jpetstore,0,seed0_solution067,raw_reference_leiden,0.7054653555911273,0.8249450576806097,13,0.5416666666666666
jpetstore,0,seed0_solution068,raw_reference_leiden,0.803930854842529,0.8696144144008858,11,0.4583333333333333
jpetstore,0,seed0_solution069,raw_reference_leiden,0.6693026599568656,0.7879295961657743,24,1.0
jpetstore,0,seed0_solution070,raw_reference_leiden,0.6340405014464803,0.7787120016177601,20,0.8333333333333334
jpetstore,0,seed0_solution071,raw_reference_leiden,0.819297814878468,0.9014017213077729,7,0.2916666666666667
jpetstore,0,seed0_solution072,raw_reference_leiden,0.7159090909090909,0.830432472609043,17,0.7083333333333334
jpetstore,0,seed0_solution073,raw_reference_leiden,0.5602489995553579,0.6817707132090569,24,1.0
jpetstore,0,seed0_solution074,raw_reference_leiden,0.6633889778184313,0.7639387767047106,17,0.7083333333333334
jpetstore,0,seed0_solution075,raw_reference_leiden,0.5397639815289892,0.7414281842005985,20,0.8333333333333334
jpetstore,0,seed0_solution076,raw_reference_leiden,0.6216096042685638,0.7485255584224686,20,0.8333333333333334
jpetstore,0,seed0_solution077,raw_reference_leiden,0.70205875549387,0.7911521551223324,18,0.75
jpetstore,0,seed0_solution078,raw_reference_leiden,0.4402059443014275,0.6104598537704015,24,1.0
jpetstore,0,seed0_solution079,raw_reference_leiden,0.7123561780890445,0.8330620285166408,14,0.5833333333333334
jpetstore,0,seed0_solution080,raw_reference_leiden,0.654843110504775,0.7612724013780934,18,0.75
jpetstore,0,seed0_solution081,raw_reference_leiden,0.6160078566167444,0.760410661058386,18,0.75
jpetstore,0,seed0_solution082,raw_reference_leiden,0.34464697255394927,0.5347244628845123,24,1.0
jpetstore,0,seed0_solution083,raw_reference_leiden,0.5173255246461689,0.6872574293075981,24,1.0
jpetstore,0,seed0_solution084,raw_reference_leiden,0.5825965565379246,0.7104671591794491,24,1.0
jpetstore,0,seed0_solution085,raw_reference_leiden,0.39793606846211926,0.6209196124975694,24,1.0
jpetstore,0,seed0_solution086,raw_reference_leiden,0.62477695641091,0.773413063835876,20,0.8333333333333334
jpetstore,0,seed0_solution087,raw_reference_leiden,0.5908972011509287,0.800946182632538,20,0.8333333333333334
jpetstore,0,seed0_solution088,raw_reference_leiden,0.5276461295418641,0.7525837149926378,20,0.8333333333333334
jpetstore,0,seed0_solution089,raw_reference_leiden,0.45238095238095233,0.6720879244968622,24,1.0
jpetstore,0,seed0_solution090,raw_reference_leiden,0.46205821205821207,0.7203569090810342,24,1.0
jpetstore,0,seed0_solution091,raw_reference_leiden,0.37477976340297003,0.6378838358018402,24,1.0
jpetstore,0,seed0_solution092,raw_reference_leiden,0.4659090909090909,0.6373412521099165,24,1.0
jpetstore,0,seed0_solution093,raw_reference_leiden,0.35863671572424477,0.5807849823825633,24,1.0
jpetstore,0,seed0_solution094,raw_reference_leiden,0.280143663417137,0.5455867039409098,20,0.8333333333333334
jpetstore,0,seed0_solution095,raw_reference_leiden,0.33681332339050457,0.6119315408754464,24,1.0
jpetstore,1,seed1_solution000,raw_reference_leiden,1.0,1.0,0,0.0
jpetstore,1,seed1_solution001,raw_reference_leiden,0.8959981912728917,0.9184081788437434,11,0.4583333333333333
jpetstore,1,seed1_solution002,raw_reference_leiden,0.899409577957577,0.9187178055896645,11,0.4583333333333333
jpetstore,1,seed1_solution003,raw_reference_leiden,0.9089709762532981,0.921086242255828,10,0.4166666666666667
jpetstore,1,seed1_solution004,raw_reference_leiden,0.8779571081140836,0.9122628240160634,13,0.5416666666666666
jpetstore,1,seed1_solution005,raw_reference_leiden,0.7828237410071942,0.8333091794498707,17,0.7083333333333334
jpetstore,1,seed1_solution006,raw_reference_leiden,0.8670520231213873,0.9099163148222206,14,0.5833333333333334
jpetstore,1,seed1_solution007,raw_reference_leiden,0.7711960208003618,0.831198956910694,18,0.75
jpetstore,1,seed1_solution008,raw_reference_leiden,0.7611940298507462,0.8251452317951341,18,0.75
jpetstore,1,seed1_solution009,raw_reference_leiden,0.8246876984967182,0.8816491614626806,11,0.4583333333333333
jpetstore,1,seed1_solution010,raw_reference_leiden,0.6579925650557621,0.7412339506289288,24,1.0
jpetstore,1,seed1_solution011,raw_reference_leiden,0.7787010715066696,0.8299758781092966,24,1.0
jpetstore,1,seed1_solution012,raw_reference_leiden,0.7531857813547954,0.8246017778318405,20,0.8333333333333334
