arm,generation,seed_count,feasible_individual_count_mean,nondominated_front_size_mean,hypervolume_mean,best_so_far_hypervolume_mean,seeded_reference_seed_count,seeded_hypervolume_mean,seeded_best_so_far_hypervolume_mean,seeded_front_size_mean
random_with_repair,1,10,100.0,6.2,0.01234675413794715,0.01234675413794715,3,0.11119221366878274,0.11119221366878274,15.666666666666666
random_with_repair,2,10,100.0,10.0,0.01301071982284308,0.01301071982284308,3,0.11376525903923956,0.11376525903923956,29.0
random_with_repair,3,10,100.0,11.8,0.013234553580470659,0.013234553580470659,3,0.11470280031312945,0.11470280031312945,39.333333333333336
random_with_repair,4,10,100.0,12.7,0.013538005733293801,0.013538005733293801,3,0.11539518812221662,0.11539518812221662,49.0
random_with_repair,5,10,100.0,14.2,0.01376611520468086,0.01376611520468086,3,0.1160765934533274,0.1160765934533274,61.666666666666664
random_with_repair,6,10,100.0,16.7,0.01395048940527473,0.01395048940527473,3,0.11654869807958818,0.11654869807958818,70.0
random_with_repair,7,10,100.0,17.8,0.01409480143853124,0.01409480143853124,3,0.11662974506663537,0.11662974506663537,79.33333333333333
random_with_repair,8,10,100.0,20.1,0.014129447664989669,0.014129447664989669,3,0.11793499604511697,0.11793499604511697,90.33333333333333
random_with_repair,9,10,100.0,20.8,0.01421829053877153,0.01421829053877153,3,0.11809251553477486,0.11809251553477486,95.33333333333333
random_with_repair,10,10,100.0,22.6,0.01436402980430985,0.01436402980430985,3,0.1193950549989502,0.1193950549989502,97.33333333333333
random_with_repair,11,10,100.0,22.3,0.01454273747757267,0.01454273747757267,3,0.11934709492447143,0.11943015505759742,100.0
random_with_repair,12,10,100.0,22.9,0.01462809292039836,0.01462809292039836,3,0.11947156179062361,0.11950911223649978,100.0
random_with_repair,13,10,100.0,25.3,0.014795727128326311,0.014795727128326311,3,0.11949857797418277,0.11951258253180837,100.0
random_with_repair,14,10,100.0,26.2,0.01491634454609537,0.01491634454609537,3,0.11937636998309216,0.11954266198293594,100.0
random_with_repair,15,10,100.0,26.9,0.015090856048470611,0.015090856048470611,3,0.11959504785623472,0.1197566092790628,100.0
random_with_repair,16,10,100.0,27.2,0.0151260034296346,0.0151260034296346,3,0.11981992359633693,0.11993095303181422,100.0
random_with_repair,17,10,100.0,27.1,0.015210658564964771,0.015210658564964771,3,0.11985767849532182,0.11994261283074592,100.0
random_with_repair,18,10,100.0,27.0,0.015294404314883839,0.015294404314883839,3,0.11989426945843894,0.11997273270806276,100.0
random_with_repair,19,10,100.0,26.8,0.01542992245278986,0.01542992245278986,3,0.1200212641300283,0.12005355895007014,100.0
random_with_repair,20,10,100.0,29.0,0.01563320832483197,0.01563320832483197,3,0.12043331869701245,0.12043331869701245,100.0
random_with_repair,21,10,100.0,29.3,0.01567406913765168,0.01567406913765168,3,0.12045356053323653,0.12045356053323653,100.0
random_with_repair,22,10,100.0,28.8,0.015783635221942698,0.015783635221942698,3,0.12071186558432738,0.12072716484734418,100.0
random_with_repair,23,10,100.0,29.3,0.0158601725283318,0.0158601725283318,3,0.12078885843512148,0.12080665342635462,100.0
random_with_repair,24,10,100.0,29.3,0.01588518186309697,0.01588518186309697,3,0.12086464701939013,0.12086464701939013,100.0
random_with_repair,25,10,100.0,31.2,0.01592505105679821,0.01592505105679821,3,0.12094478627007284,0.12094478627007284,100.0
random_with_repair,26,10,100.0,32.3,0.01597221858848448,0.01597221858848448,3,0.12103616631341174,0.12103616631341174,100.0
random_with_repair,27,10,100.0,34.6,0.01603279440440506,0.01603279440440506,3,0.12118662442030174,0.12118662442030174,100.0
random_with_repair,28,10,100.0,33.1,0.01611280526584098,0.01611280526584098,3,0.1213046027832801,0.12130539413936148,100.0
random_with_repair,29,10,100.0,34.0,0.016200334429268458,0.016200334429268458,3,0.12150481658239183,0.12150481658239183,100.0
