subject,repetition,random_seed,edge_count,structural_overlap,same_reference_service_ratio,same_leiden_cluster_ratio
daytrader,0,52000,111,0.16216216216216217,0.12612612612612611,0.14414414414414414
daytrader,1,52001,111,0.0990990990990991,0.090090090090090086,0.12612612612612611
daytrader,2,52002,111,0.14414414414414414,0.1981981981981982,0.12612612612612611
daytrader,3,52003,111,0.081081081081081086,0.16216216216216217,0.0990990990990991
daytrader,4,52004,111,0.16216216216216217,0.1891891891891892,0.17117117117117117
daytrader,5,52005,111,0.072072072072072071,0.15315315315315314,0.10810810810810811
daytrader,6,52006,111,0.090090090090090086,0.15315315315315314,0.13513513513513514
daytrader,7,52007,111,0.13513513513513514,0.17117117117117117,0.0990990990990991
daytrader,8,52008,111,0.10810810810810811,0.13513513513513514,0.15315315315315314
daytrader,9,52009,111,0.10810810810810811,0.13513513513513514,0.15315315315315314
daytrader,10,52010,111,0.12612612612612611,0.15315315315315314,0.17117117117117117
daytrader,11,52011,111,0.081081081081081086,0.15315315315315314,0.15315315315315314
daytrader,12,52012,111,0.13513513513513514,0.13513513513513514,0.090090090090090086
daytrader,13,52013,111,0.13513513513513514,0.17117117117117117,0.17117117117117117
daytrader,14,52014,111,0.072072072072072071,0.12612612612612611,0.090090090090090086
daytrader,15,52015,111,0.081081081081081086,0.10810810810810811,0.11711711711711711
daytrader,16,52016,111,0.11711711711711711,0.2072072072072072,0.13513513513513514
daytrader,17,52017,111,0.054054054054054057,0.12612612612612611,0.17117117117117117
daytrader,18,52018,111,0.0990990990990991,0.18018018018018017,0.14414414414414414
daytrader,19,52019,111,0.11711711711711711,0.16216216216216217,0.15315315315315314
daytrader,20,52020,111,0.14414414414414414,0.14414414414414414,0.1981981981981982
daytrader,21,52021,111,0.090090090090090086,0.12612612612612611,0.1891891891891892
daytrader,22,52022,111,0.17117117117117117,0.13513513513513514,0.17117117117117117
daytrader,23,52023,111,0.063063063063063057,0.10810810810810811,0.10810810810810811
daytrader,24,52024,111,0.13513513513513514,0.16216216216216217,0.1891891891891892
daytrader,25,52025,111,0.13513513513513514,0.17117117117117117,0.16216216216216217
daytrader,26,52026,111,0.13513513513513514,0.14414414414414414,0.11711711711711711
daytrader,27,52027,111,0.14414414414414414,0.0990990990990991,0.16216216216216217
daytrader,28,52028,111,0.0990990990990991,0.10810810810810811,0.13513513513513514
daytrader,29,52029,111,0.16216216216216217,0.072072072072072071,0.14414414414414414
daytrader,30,52030,111,0.12612612612612611,0.12612612612612611,0.12612612612612611
daytrader,31,52031,111,0.13513513513513514,0.10810810810810811,0.15315315315315314
daytrader,32,52032,111,0.10810810810810811,0.072072072072072071,0.15315315315315314
daytrader,33,52033,111,0.16216216216216217,0.14414414414414414,0.17117117117117117
daytrader,34,52034,111,0.054054054054054057,0.090090090090090086,0.0990990990990991
daytrader,35,52035,111,0.14414414414414414,0.14414414414414414,0.0990990990990991
daytrader,36,52036,111,0.10810810810810811,0.0990990990990991,0.17117117117117117
daytrader,37,52037,111,0.0990990990990991,0.081081081081081086,0.11711711711711711
daytrader,38,52038,111,0.15315315315315314,0.10810810810810811,0.17117117117117117
daytrader,39,52039,111,0.13513513513513514,0.10810810810810811,0.11711711711711711
daytrader,40,52040,111,0.13513513513513514,0.14414414414414414,0.090090090090090086
daytrader,41,52041,111,0.063063063063063057,0.10810810810810811,0.16216216216216217
daytrader,42,52042,111,0.15315315315315314,0.0990990990990991,0.14414414414414414
daytrader,43,52043,111,0.063063063063063057,0.12612612612612611,0.14414414414414414
daytrader,44,52044,111,0.1981981981981982,0.10810810810810811,0.12612612612612611
daytrader,45,52045,111,0.11711711711711711,0.15315315315315314,0.12612612612612611
daytrader,46,52046,111,0.14414414414414414,0.11711711711711711,0.17117117117117117
daytrader,47,52047,111,0.11711711711711711,0.13513513513513514,0.18018018018018017
daytrader,48,52048,111,0.090090090090090086,0.0990990990990991,0.16216216216216217
daytrader,49,52049,111,0.0990990990990991,0.11711711711711711,0.15315315315315314
daytrader,50,52050,111,0.12612612612612611,0.14414414414414414,0.18018018018018017
daytrader,51,52051,111,0.11711711711711711,0.090090090090090086,0.23423423423423423
daytrader,52,52052,111,0.081081081081081086,0.11711711711711711,0.15315315315315314
daytrader,53,52053,111,0.12612612612612611,0.090090090090090086,0.16216216216216217
daytrader,54,52054,111,0.11711711711711711,0.14414414414414414,0.16216216216216217
daytrader,55,52055,111,0.13513513513513514,0.16216216216216217,0.17117117117117117
daytrader,56,52056,111,0.12612612612612611,0.12612612612612611,0.17117117117117117
daytrader,57,52057,111,0.10810810810810811,0.11711711711711711,0.12612612612612611
daytrader,58,52058,111,0.13513513513513514,0.13513513513513514,0.13513513513513514
daytrader,59,52059,111,0.0990990990990991,0.14414414414414414,0.17117117117117117
daytrader,60,52060,111,0.11711711711711711,0.10810810810810811,0.13513513513513514
daytrader,61,52061,111,0.0990990990990991,0.2072072072072072,0.15315315315315314
daytrader,62,52062,111,0.12612612612612611,0.14414414414414414,0.16216216216216217
daytrader,63,52063,111,0.090090090090090086,0.14414414414414414,0.15315315315315314
daytrader,64,52064,111,0.0990990990990991,0.081081081081081086,0.16216216216216217
