subject,seed,front_size,leiden_in_retained_front,leiden_dominated,leiden_dominator_solution_ids,selected_solution_id,selected_by_modularity_max,selected_equals_leiden,another_retained_higher_modularity,population_size_limit_plausible,classification,classification_definition
jpetstore,15,76,True,False,,seed15_solution000,True,True,False,False,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,16,100,True,False,,seed16_solution000,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,17,87,True,False,,seed17_solution000,True,True,False,False,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,18,96,True,False,,seed18_solution000,True,True,False,False,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,19,100,True,False,,seed19_solution000,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,20,100,True,False,,seed20_solution000,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,21,85,True,False,,seed21_solution000,True,True,False,False,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,22,100,True,False,,seed22_solution000,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,23,100,True,False,,seed23_solution000,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,24,100,True,False,,seed24_solution000,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,25,76,True,False,,seed25_solution000,True,True,False,False,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,26,96,True,False,,seed26_solution000,True,True,False,False,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,27,100,True,False,,seed27_solution000,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,28,96,True,False,,seed28_solution000,True,True,False,False,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
jpetstore,29,85,True,False,,seed29_solution000,True,True,False,False,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
daytrader,0,100,False,False,,seed0_solution054,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
