subject,stage,seed,four_d_front_size,projected_3d_front_size,population_size_limit_plausible,leiden_in_four_d_front,leiden_dominated_in_four_d,leiden_four_d_dominator_solution_ids,leiden_in_projected_3d_front,leiden_dominated_in_projected_3d,leiden_projected_dominator_solution_ids,leiden_eligible_for_projected_selector,another_eligible_solution_higher_modularity,selected_solution_id,selected_equals_leiden,selected_weighted_modularity,four_d_classification,projected_selection_classification
jpetstore,stage3,0,100,61,True,True,False,,True,False,,True,False,seed0_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,1,100,51,True,True,False,,True,False,,True,False,seed1_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,2,100,41,True,True,False,,True,False,,True,False,seed2_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,3,100,69,True,True,False,,True,False,,True,False,seed3_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,4,100,51,True,True,False,,True,False,,True,False,seed4_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,5,100,45,True,True,False,,True,False,,True,False,seed5_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,6,100,43,True,True,False,,True,False,,True,False,seed6_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,7,100,49,True,True,False,,True,False,,True,False,seed7_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,8,100,51,True,True,False,,True,False,,True,False,seed8_solution001,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,9,100,52,True,True,False,,True,False,,True,False,seed9_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,10,100,60,True,True,False,,True,False,,True,False,seed10_solution002,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,11,100,45,True,True,False,,True,False,,True,False,seed11_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,12,100,50,True,False,False,,False,False,,False,False,seed12_solution002,False,0.43705532693187010285,absent_not_dominated,absent_or_not_selected
jpetstore,stage3,13,100,52,True,True,False,,True,False,,True,False,seed13_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,14,100,52,True,False,False,,False,False,,False,False,seed14_solution003,False,0.43989330894680678252,absent_not_dominated,absent_or_not_selected
jpetstore,stage3,15,100,59,True,True,False,,True,False,,True,False,seed15_solution001,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,16,99,45,False,False,False,,False,False,,False,False,seed16_solution008,False,0.43768632830361220432,absent_not_dominated,absent_or_not_selected
jpetstore,stage3,17,100,48,True,True,False,,True,False,,True,False,seed17_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,18,100,47,True,True,False,,True,False,,True,False,seed18_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,19,100,62,True,False,False,,False,False,,False,False,seed19_solution002,False,0.43991159884163999472,absent_not_dominated,absent_or_not_selected
jpetstore,stage3,20,100,61,True,True,False,,True,False,,True,False,seed20_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,21,100,42,True,True,False,,True,False,,True,False,seed21_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,22,100,44,True,True,False,,True,False,,True,False,seed22_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,23,100,58,True,True,False,,True,False,,True,False,seed23_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,24,100,55,True,True,False,,True,False,,True,False,seed24_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,25,100,53,True,True,False,,True,False,,True,False,seed25_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,26,100,65,True,True,False,,True,False,,True,False,seed26_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,27,100,46,True,True,False,,True,False,,True,False,seed27_solution000,True,0.44206980643194632163,present,present_selected
jpetstore,stage3,28,100,48,True,True,False,,True,False,,True,False,seed28_solution000,True,0.44206980643194632163,present,present_selected
