profile_family,stage,subject,metric,reference,n,median_change,mean_change,iqr_change,std_change
stage2_balance,stage2,daytrader,coupling,leiden,13,0.0069188191881918003484,0.0065285268237296996754,0.010608856088560799161,0.0055760517747272001984
stage2_balance,stage2,daytrader,coupling,conservative,13,0,0.0019159806982684999491,0.00046125461254610002331,0.003665190381692000083
stage2_balance,stage2,daytrader,cohesion,leiden,13,0.55700814337178083946,0.66209288531549648216,0.80517439350772601614,0.57013991475913605722
stage2_balance,stage2,daytrader,cohesion,conservative,13,0,-0.11159610095507530025,0.094350094350095198292,0.21676235332261239996
stage2_balance,stage2,daytrader,imbalance,leiden,13,-0.14872589468235630772,-0.1211257440570120969,0.11310943797765579677,0.075457188568289701447
stage2_balance,stage2,daytrader,imbalance,conservative,13,0,-0.0099394298978573002862,0.016872610213906000243,0.018358656550224901338
stage2_balance,stage2,daytrader,weighted_modularity,leiden,13,-0.0061852371291240002341,-0.005969838229641100287,0.010274084809575000088,0.0049934825978657001316
stage2_balance,stage2,daytrader,weighted_modularity,conservative,13,0,-0.0019222815436356999012,0.00014999285140450001243,0.0037780651565195999542
stage2_balance,stage2,daytrader,cluster_count,leiden,13,-1,-1.3846153846153845812,1,0.86971849262290401583
stage2_balance,stage2,daytrader,cluster_count,conservative,13,0,0,0,0
stage2_balance,stage2,daytrader,max_cluster_ratio,leiden,13,0,-0.0014513788098693000076,0,0.012085143683402799208
stage2_balance,stage2,daytrader,max_cluster_ratio,conservative,13,0,-0.0043541364296080997329,0,0.011304616783307099709
stage2_balance,stage2,daytrader,singleton_ratio,leiden,13,-0.037735849056603702756,-0.037735849056603702756,0.037735849056603702756,0.020379687730842300369
stage2_balance,stage2,daytrader,singleton_ratio,conservative,13,0,0,0,0
stage2_balance,stage2,jpetstore,coupling,leiden,30,0.022222222222222198784,0.020329218106995901316,0,0.0071233555872507996892
stage2_balance,stage2,jpetstore,coupling,conservative,30,0.022222222222222198784,0.020329218106995901316,0,0.0071233555872507996892
stage2_balance,stage2,jpetstore,cohesion,leiden,30,-0.57738095238095255013,-0.5681349206349211034,8.8817841970012523234e-16,0.059850240660442401153
stage2_balance,stage2,jpetstore,cohesion,conservative,30,-0.57738095238095155093,-0.56813492063492032624,8.8817841970012523234e-16,0.059850240660442401153
stage2_balance,stage2,jpetstore,imbalance,leiden,30,-0.20412414523193139759,-0.18841066120556379526,0,0.040746545505426501332
stage2_balance,stage2,jpetstore,imbalance,conservative,30,-0.20412414523193139759,-0.18841066120556379526,0,0.040746545505426501332
stage2_balance,stage2,jpetstore,weighted_modularity,leiden,30,-0.014333180917543000832,-0.011124726921709099381,0.006383173296753400297,0.0038372889805984001198
stage2_balance,stage2,jpetstore,weighted_modularity,conservative,30,-0.014333180917543000832,-0.011124726921709099381,0.006383173296753400297,0.0038372889805984001198
stage2_balance,stage2,jpetstore,cluster_count,leiden,30,0,0,0,0
stage2_balance,stage2,jpetstore,cluster_count,conservative,30,0,0,0,0
stage2_balance,stage2,jpetstore,max_cluster_ratio,leiden,30,-0.041666666666666601904,-0.03611111111111110078,0,0.014406079318406600151
stage2_balance,stage2,jpetstore,max_cluster_ratio,conservative,30,-0.041666666666666601904,-0.03611111111111110078,0,0.014406079318406600151
stage2_balance,stage2,jpetstore,singleton_ratio,leiden,30,0,0,0,0
stage2_balance,stage2,jpetstore,singleton_ratio,conservative,30,0,0,0,0
stage2_balance,stage2,xerces,coupling,leiden,30,0.029015097052480200851,0.026679127725856600917,0.011452192667145899216,0.0073235005845135999966
stage2_balance,stage2,xerces,coupling,conservative,30,0.02871315600287559916,0.025559549484783099932,0.010654205607476600198,0.0089440722041044997542
stage2_balance,stage2,xerces,cohesion,leiden,30,0.20611064245445559484,-1.9664983055831335435,4.9336853187918006114,2.9252237787444794748
stage2_balance,stage2,xerces,cohesion,conservative,30,0.081328799302228901857,-1.9443339496663372135,5.06237683061901933,3.0023313068286943128
stage2_balance,stage2,xerces,imbalance,leiden,30,-0.10433198735427620663,-0.098837364711662906158,0.042969365401761897005,0.033645319544281598878
stage2_balance,stage2,xerces,imbalance,conservative,30,-0.084922655338283900561,-0.080381711500455796382,0.060248188508705800837,0.036897117511679101975
stage2_balance,stage2,xerces,weighted_modularity,leiden,30,-0.025511882332815198626,-0.023907285212888998438,0.0095264231753787002865,0.0066019019714488999181
stage2_balance,stage2,xerces,weighted_modularity,conservative,30,-0.025284786816346799254,-0.02291245188377639963,0.0093646439238381992687,0.0081129414169841991555
stage2_balance,stage2,xerces,cluster_count,leiden,30,-2,-2.1666666666666665186,1,0.83390784793679384457
stage2_balance,stage2,xerces,cluster_count,conservative,30,-2,-1.6333333333333333037,1,0.92785749995884880814
stage2_balance,stage2,xerces,max_cluster_ratio,leiden,30,-0.0012285012285012000648,-0.0020884520884519998211,0.004606879606879599881,0.0025021273486155000063
stage2_balance,stage2,xerces,max_cluster_ratio,conservative,30,-0.0018427518427518000971,-0.0022932022932022001933,0.004606879606879599881,0.0024085136012459000023
stage2_balance,stage2,xerces,singleton_ratio,leiden,30,-0.0079852579852579003844,-0.0081490581490580998869,0.0036855036855036001943,0.0028029614779369999532
stage2_balance,stage2,xerces,singleton_ratio,conservative,30,-0.0073710073710073001352,-0.0072481572481572003816,0.004606879606879599881,0.003083513611304899895
stage3_balance,stage3,daytrader,coupling,leiden,19,0.010608856088560799161,0.0084239658186054996308,0.011070110701106999906,0.0074784629392684997401
stage3_balance,stage3,daytrader,coupling,conservative,19,0,-0.013522043115167900473,0,0.057376327247746897187
stage3_balance,stage3,daytrader,cohesion,leiden,19,0.48548522184885811726,0.35364681747456910843,0.97244069062250915181,1.0499614246298067943
stage3_balance,stage3,daytrader,cohesion,conservative,19,0,-0.017287197562317200422,0,0.70884003170039022734
stage3_balance,stage3,daytrader,imbalance,leiden,19,-0.1057235127310715006,-0.1200797478904054999,0.073111141446778396547,0.081932889192603594597
stage3_balance,stage3,daytrader,imbalance,conservative,19,0,0.03113188869288429847,0,0.13136409205022989144
stage3_balance,stage3,daytrader,weighted_modularity,leiden,19,-0.01052407289524920006,-0.0076170445896776997965,0.0088997886058195998377,0.0052686428015885997805
stage3_balance,stage3,daytrader,weighted_modularity,conservative,19,0,0.010458644882501399662,0,0.040077474558807300864
stage3_balance,stage3,daytrader,cluster_count,leiden,19,-1,-1.2105263157894736725,1.5,0.97632800547203679731
stage3_balance,stage3,daytrader,cluster_count,conservative,19,0,0.21052631578947358926,0,0.71328250351775857041
stage3_balance,stage3,daytrader,max_cluster_ratio,leiden,19,0,-0.0019860973187686000938,0.028301886792452799618,0.015269861098537899219
stage3_balance,stage3,daytrader,max_cluster_ratio,conservative,19,0,0,0,0.015405595866560799906
stage3_balance,stage3,daytrader,singleton_ratio,leiden,19,-0.037735849056603702756,-0.033763654419066500834,0.028301886792452799618,0.020456159623277500592
stage3_balance,stage3,daytrader,singleton_ratio,conservative,19,0,0.0019860973187686000938,0,0.015269861098537899219
stage3_balance,stage3,jpetstore,coupling,leiden,30,0.0061728395061728001322,0.009794238683127499262,0.022222222222222198784,0.010762387884996600304
stage3_balance,stage3,jpetstore,coupling,conservative,30,0,0.0088888888888888004103,0.021604938271604898908,0.01062708073167390084
stage3_balance,stage3,jpetstore,cohesion,leiden,30,-0.51250000000000062172,-0.46547619047619109844,0.31428571428571422386,0.24885420439321198627
stage3_balance,stage3,jpetstore,cohesion,conservative,30,-0.52142857142857179653,-0.49400793650793617395,0.33779761904761917979,0.3213074839326185983
stage3_balance,stage3,jpetstore,imbalance,leiden,30,-0.086273015034173505811,-0.080145742385358903492,0.048815536468908703183,0.0649174547915359057
stage3_balance,stage3,jpetstore,imbalance,conservative,30,-0.086273015034173505811,-0.083539118171943899105,0.048815536468908703183,0.071489446313178703352
stage3_balance,stage3,jpetstore,weighted_modularity,leiden,30,-0.0052781588172534001785,-0.006938474825991899908,0.0093987197073617002874,0.0056591300918318997865
stage3_balance,stage3,jpetstore,weighted_modularity,conservative,30,-0.0050144795000761997056,-0.0064807194025300997667,0.0080170705685108003408,0.0055306226262511002517
stage3_balance,stage3,jpetstore,cluster_count,leiden,30,0,0,0,0
stage3_balance,stage3,jpetstore,cluster_count,conservative,30,0,0,0,0
stage3_balance,stage3,jpetstore,max_cluster_ratio,leiden,30,0,-0.0069444444444443998235,0,0.015793709241227100321
stage3_balance,stage3,jpetstore,max_cluster_ratio,conservative,30,0,-0.009722222222222199825,0,0.021000288874738700512
stage3_balance,stage3,jpetstore,singleton_ratio,leiden,30,0,0,0,0
stage3_balance,stage3,jpetstore,singleton_ratio,conservative,30,0,0,0,0
stage3_balance,stage3,xerces,coupling,leiden,30,0.029130122214234298317,0.025858614905343798446,0.012063263838964699212,0.0077576793641873998189
stage3_balance,stage3,xerces,coupling,conservative,30,0.027275341480948900319,0.024739995207284898315,0.012257368799424800052,0.0075151488226368997128
stage3_balance,stage3,xerces,cohesion,leiden,30,-5.6265315801136521756,-4.3018365988488165286,2.2679726573437868353,2.904370393266505701
stage3_balance,stage3,xerces,cohesion,conservative,30,-5.689016523674207626,-4.4022190592666312625,2.2862710406136788066,2.9267038668202443041
stage3_balance,stage3,xerces,imbalance,leiden,30,-0.10860478164116560418,-0.10695229627231479796,0.045412965545291797409,0.030678298559290901465
stage3_balance,stage3,xerces,imbalance,conservative,30,-0.094774172139130502535,-0.095949218246082199069,0.058373240484956102903,0.034154755001490601229
stage3_balance,stage3,xerces,weighted_modularity,leiden,30,-0.025978204757811901304,-0.023709555622972798561,0.011100220943820199998,0.0070555018498287000797
stage3_balance,stage3,xerces,weighted_modularity,conservative,30,-0.023435368686756299222,-0.022533753204115998525,0.010656144434722399778,0.0066799183444663998155
stage3_balance,stage3,xerces,cluster_count,leiden,30,-3,-2.4666666666666667851,1,0.81930724872668592162
stage3_balance,stage3,xerces,cluster_count,conservative,30,-2,-2.1000000000000000888,2,0.88473646962790863935
stage3_balance,stage3,xerces,max_cluster_ratio,leiden,30,-0.0012285012285012000648,-0.0015970515970515999395,0.0024570024570024001295,0.0017117123873433000118
stage3_balance,stage3,xerces,max_cluster_ratio,conservative,30,-0.0012285012285012000648,-0.0016380016380015999418,0.0024570024570024001295,0.0015246437155674000437
stage3_balance,stage3,xerces,singleton_ratio,leiden,30,-0.0092137592137591997621,-0.0088042588042588007524,0.0024570024570024001295,0.0024587669114179999154
