stage,subject,baseline,weighted_modularity,imbalance,coupling,cohesion,cluster_count,max_cluster_ratio,singleton_ratio,semantic_objective,relative_modularity_loss_definition,reference_status,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
stage2,jpetstore,raw_leiden,0.44206980643194632163,0.20412414523193139759,0.25185185185185182677,5.4773809523809529054,4,0.29166666666666657415,0,,"(Q_L-Q(x))/abs(Q_L), unclamped",unavailable,,,,,,,
stage2,daytrader,raw_leiden,0.32459676389891201076,0.89299317480748896525,0.41789667896678961423,6.5407774044137676484,11,0.24528301886792450159,0.075471698113207502656,,"(Q_L-Q(x))/abs(Q_L), unclamped",available,23.91304347826086385,0.1674876847290640014,0.18888888888888880069,0.17754569190600510975,0.045357977013112102393,0.42103708599805811374,1
stage2,xerces,raw_leiden,0.66151914293437164005,1.3145261655890891905,0.20879942487419120289,8.0687653361834232868,31,0.14496314496314491316,0.013513513513513500386,,"(Q_L-Q(x))/abs(Q_L), unclamped",unavailable,,,,,,,
stage3,jpetstore,raw_leiden,0.44206980643194632163,0.20412414523193139759,0.25185185185185182677,5.4773809523809529054,4,0.29166666666666657415,0,0.512260068537518376,"(Q_L-Q(x))/abs(Q_L), unclamped",unavailable,,,,,,,
stage3,daytrader,raw_leiden,0.32459676389891201076,0.89299317480748896525,0.41789667896678961423,6.5407774044137676484,11,0.24528301886792450159,0.075471698113207502656,0.56870880469639772947,"(Q_L-Q(x))/abs(Q_L), unclamped",available,23.91304347826086385,0.1674876847290640014,0.18888888888888880069,0.17754569190600510975,0.045357977013112102393,0.42103708599805811374,1
stage3,xerces,raw_leiden,0.66151914293437164005,1.3145261655890891905,0.20879942487419120289,8.0687653361834232868,31,0.14496314496314491316,0.013513513513513500386,0.38873194738704031082,"(Q_L-Q(x))/abs(Q_L), unclamped",unavailable,,,,,,,
