subject,class_id,model_token_count,model_max_sequence_length,tokenizer_truncated,declaration_token_count,body_section_token_count,contract_body_tokens_truncated,declaration_section_affected,body_section_affected
jfreechart,org.jfree.chart.ChartColor,53,32768,false,16,28,0,false,false
jfreechart,org.jfree.chart.ChartFactory,1432,32768,false,1290,133,0,false,false
jfreechart,org.jfree.chart.ChartFrame,35,32768,false,15,11,0,false,false
jfreechart,org.jfree.chart.ChartHints,22,32768,false,6,7,0,false,false
jfreechart,org.jfree.chart.ChartHints$Key,39,32768,false,20,10,0,false,false
jfreechart,org.jfree.chart.ChartMouseEvent,45,32768,false,29,7,0,false,false
jfreechart,org.jfree.chart.ChartMouseListener,37,32768,false,26,3,0,false,false
jfreechart,org.jfree.chart.ChartPanel,1238,32768,false,957,272,35,false,true
jfreechart,org.jfree.chart.ChartRenderingInfo,121,32768,false,80,32,0,false,false
jfreechart,org.jfree.chart.ChartTheme,24,32768,false,13,3,0,false,false
jfreechart,org.jfree.chart.ChartTransferable,110,32768,false,62,39,0,false,false
jfreechart,org.jfree.chart.ChartUtilities,532,32768,false,486,37,0,false,false
jfreechart,org.jfree.chart.ClipPath,205,32768,false,163,33,0,false,false
jfreechart,org.jfree.chart.DrawableLegendItem,134,32768,false,106,19,0,false,false
jfreechart,org.jfree.chart.Effect3D,28,32768,false,17,3,0,false,false
jfreechart,org.jfree.chart.HashUtilities,125,32768,false,101,15,0,false,false
jfreechart,org.jfree.chart.JFreeChart,721,32768,false,550,162,0,false,false
jfreechart,org.jfree.chart.JFreeChart$1,32,32768,false,20,3,0,false,false
jfreechart,org.jfree.chart.JFreeChartInfo,430,32768,false,15,406,0,false,false
jfreechart,org.jfree.chart.LegendItem,395,32768,false,319,67,0,false,false
jfreechart,org.jfree.chart.LegendItemCollection,76,32768,false,51,16,0,false,false
jfreechart,org.jfree.chart.LegendItemSource,26,32768,false,15,3,0,false,false
jfreechart,org.jfree.chart.LegendRenderingOrder,51,32768,false,23,19,0,false,false
jfreechart,org.jfree.chart.MouseWheelHandler,83,32768,false,47,27,0,false,false
jfreechart,org.jfree.chart.PaintMap,96,32768,false,60,27,0,false,false
jfreechart,org.jfree.chart.PolarChartPanel,101,32768,false,54,38,0,false,false
jfreechart,org.jfree.chart.StandardChartTheme,966,32768,false,756,201,0,false,false
jfreechart,org.jfree.chart.StandardChartTheme$1,30,32768,false,19,2,0,false,false
jfreechart,org.jfree.chart.StrokeMap,96,32768,false,60,27,0,false,false
jfreechart,org.jfree.chart.annotations.AbstractAnnotation,123,32768,false,80,34,0,false,false
jfreechart,org.jfree.chart.annotations.AbstractXYAnnotation,119,32768,false,90,20,0,false,false
jfreechart,org.jfree.chart.annotations.Annotation,32,32768,false,21,3,0,false,false
jfreechart,org.jfree.chart.annotations.CategoryAnnotation,39,32768,false,28,3,0,false,false
jfreechart,org.jfree.chart.annotations.CategoryLineAnnotation,202,32768,false,140,53,0,false,false
jfreechart,org.jfree.chart.annotations.CategoryPointerAnnotation,231,32768,false,170,52,0,false,false
jfreechart,org.jfree.chart.annotations.CategoryTextAnnotation,130,32768,false,89,32,0,false,false
jfreechart,org.jfree.chart.annotations.TextAnnotation,152,32768,false,106,37,0,false,false
jfreechart,org.jfree.chart.annotations.XYAnnotation,45,32768,false,34,3,0,false,false
jfreechart,org.jfree.chart.annotations.XYAnnotationBoundsInfo,37,32768,false,26,3,0,false,false
jfreechart,org.jfree.chart.annotations.XYBoxAnnotation,131,32768,false,73,49,0,false,false
jfreechart,org.jfree.chart.annotations.XYDataImageAnnotation,161,32768,false,115,37,0,false,false
jfreechart,org.jfree.chart.annotations.XYDrawableAnnotation,100,32768,false,59,32,0,false,false
jfreechart,org.jfree.chart.annotations.XYImageAnnotation,128,32768,false,91,28,0,false,false
jfreechart,org.jfree.chart.annotations.XYLineAnnotation,129,32768,false,73,47,0,false,false
jfreechart,org.jfree.chart.annotations.XYPointerAnnotation,236,32768,false,176,51,0,false,false
jfreechart,org.jfree.chart.annotations.XYPolygonAnnotation,153,32768,false,99,45,0,false,false
jfreechart,org.jfree.chart.annotations.XYShapeAnnotation,116,32768,false,73,34,0,false,false
jfreechart,org.jfree.chart.annotations.XYTextAnnotation,279,32768,false,217,53,0,false,false
jfreechart,org.jfree.chart.annotations.XYTitleAnnotation,163,32768,false,109,45,0,false,false
jfreechart,org.jfree.chart.axis.Axis,846,32768,false,709,128,0,false,false
