stage,subject,profile,metric,reference_status,available_n,median,mean,iqr,median_delta_vs_leiden,mean_delta_vs_leiden,median_delta_vs_conservative,mean_delta_vs_conservative,mean_delta_vs_stage2_conservative,mean_delta_vs_stage3_conservative
stage3,jpetstore,conservative,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,conservative,pairwise_precision,unavailable,0,,,,,,,,,
stage3,jpetstore,conservative,pairwise_recall,unavailable,0,,,,,,,,,
stage3,jpetstore,conservative,pairwise_f1,unavailable,0,,,,,,,,,
stage3,jpetstore,conservative,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,conservative,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,conservative,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_balance,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_balance,pairwise_precision,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_balance,pairwise_recall,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_balance,pairwise_f1,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_balance,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_balance,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_balance,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_semantic,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_semantic,pairwise_precision,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_semantic,pairwise_recall,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_semantic,pairwise_f1,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_semantic,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_semantic,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,extreme_semantic,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,jpetstore,knee_native,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,knee_native,pairwise_precision,unavailable,0,,,,,,,,,
stage3,jpetstore,knee_native,pairwise_recall,unavailable,0,,,,,,,,,
stage3,jpetstore,knee_native,pairwise_f1,unavailable,0,,,,,,,,,
stage3,jpetstore,knee_native,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,knee_native,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,jpetstore,knee_native,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_balance_0.050,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_balance_0.050,pairwise_precision,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_balance_0.050,pairwise_recall,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_balance_0.050,pairwise_f1,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_balance_0.050,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_balance_0.050,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_balance_0.050,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_semantic_0.050,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_semantic_0.050,pairwise_precision,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_semantic_0.050,pairwise_recall,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_semantic_0.050,pairwise_f1,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_semantic_0.050,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_semantic_0.050,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,budgeted_semantic_0.050,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,xerces,conservative,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,conservative,pairwise_precision,unavailable,0,,,,,,,,,
stage3,xerces,conservative,pairwise_recall,unavailable,0,,,,,,,,,
stage3,xerces,conservative,pairwise_f1,unavailable,0,,,,,,,,,
stage3,xerces,conservative,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,conservative,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,conservative,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,xerces,extreme_balance,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,extreme_balance,pairwise_precision,unavailable,0,,,,,,,,,
stage3,xerces,extreme_balance,pairwise_recall,unavailable,0,,,,,,,,,
stage3,xerces,extreme_balance,pairwise_f1,unavailable,0,,,,,,,,,
stage3,xerces,extreme_balance,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,extreme_balance,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,extreme_balance,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,xerces,extreme_semantic,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,extreme_semantic,pairwise_precision,unavailable,0,,,,,,,,,
stage3,xerces,extreme_semantic,pairwise_recall,unavailable,0,,,,,,,,,
stage3,xerces,extreme_semantic,pairwise_f1,unavailable,0,,,,,,,,,
stage3,xerces,extreme_semantic,ari_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,extreme_semantic,nmi_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,extreme_semantic,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,xerces,knee_native,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage3,xerces,knee_native,pairwise_precision,unavailable,0,,,,,,,,,
stage3,xerces,knee_native,pairwise_recall,unavailable,0,,,,,,,,,
stage3,xerces,knee_native,pairwise_f1,unavailable,0,,,,,,,,,
