subject,seed,final_hypervolume,best_hypervolume,plateau_generation_1pct_best_so_far,last_20_relative_best_hv_gain,formal_final_hypervolume,final_hv_abs_difference,final_hv_matches_formal
xerces-j,0,0.1345042131321827,0.1345042131321827,93,0.027726621587567262,0.1345042131321827,0.0,True
xerces-j,15,0.13481229828570823,0.13481229828570823,79,0.003805023060637838,0.1348122982857082,2.7755575615628914e-17,True
xerces-j,29,0.12242843448868099,0.12444610864234394,24,0.0,0.1224284344886809,8.326672684688674e-17,True
