class_id_a,class_id_b,weight,selected_by
org.jfree.chart.LegendItem,org.jfree.chart.title.LegendItemBlockContainer,0.63215387586335414,b
org.jfree.chart.LegendItem,org.jfree.chart.title.LegendTitle,0.71062726317036995,both
org.jfree.chart.LegendItemCollection,org.jfree.chart.LegendItemSource,0.64999356516354634,both
org.jfree.chart.LegendItemCollection,org.jfree.chart.entity.LegendItemEntity,0.67851798756488013,both
org.jfree.chart.LegendRenderingOrder,org.jfree.chart.plot.DatasetRenderingOrder,0.73142164792130271,both
org.jfree.chart.LegendRenderingOrder,org.jfree.chart.plot.SeriesRenderingOrder,0.77149694939702829,both
org.jfree.chart.LegendRenderingOrder,org.jfree.data.DomainOrder,0.6350690012339304,both
org.jfree.chart.PaintMap,org.jfree.chart.StrokeMap,0.82221585944855424,both
org.jfree.chart.PaintMap,org.jfree.chart.renderer.LookupPaintScale,0.61605379030412821,a
org.jfree.chart.PaintMap,org.jfree.chart.util.CloneUtils,0.50663503419311018,b
org.jfree.chart.PaintMap,org.jfree.data.KeyToGroupMap,0.63018178299397953,both
org.jfree.chart.PolarChartPanel,org.jfree.chart.editor.DefaultPolarPlotEditor,0.58689250595320197,a
org.jfree.chart.PolarChartPanel,org.jfree.chart.plot.PolarPlot,0.63937475137233613,a
org.jfree.chart.StandardChartTheme,org.jfree.chart.StandardChartTheme$1,0.75726583671053416,both
org.jfree.chart.StrokeMap,org.jfree.chart.util.CloneUtils,0.50152604956739544,b
org.jfree.chart.StrokeMap,org.jfree.data.KeyToGroupMap,0.60446004745142712,both
org.jfree.chart.StrokeMap,org.jfree.data.KeyedObjects,0.55396545189579438,a
org.jfree.chart.annotations.AbstractAnnotation,org.jfree.chart.annotations.Annotation,0.76750791230735982,both
org.jfree.chart.annotations.AbstractAnnotation,org.jfree.chart.event.AnnotationChangeListener,0.69116145563533327,a
org.jfree.chart.annotations.AbstractAnnotation,org.jfree.chart.panel.AbstractOverlay,0.67197490735427323,a
org.jfree.chart.annotations.AbstractAnnotation,org.jfree.data.general.AbstractDataset,0.66815890163964686,b
org.jfree.chart.annotations.AbstractXYAnnotation,org.jfree.chart.annotations.XYAnnotation,0.77077882673953169,both
org.jfree.chart.annotations.AbstractXYAnnotation,org.jfree.chart.annotations.XYDrawableAnnotation,0.76299454026950442,a
org.jfree.chart.annotations.AbstractXYAnnotation,org.jfree.chart.annotations.XYShapeAnnotation,0.7790458623829194,a
org.jfree.chart.annotations.AbstractXYAnnotation,org.jfree.chart.entity.XYAnnotationEntity,0.66166640144259881,b
org.jfree.chart.annotations.Annotation,org.jfree.chart.event.AnnotationChangeEvent,0.66963707747412249,a
org.jfree.chart.annotations.Annotation,org.jfree.chart.event.AnnotationChangeListener,0.8800202265002578,both
org.jfree.chart.annotations.CategoryAnnotation,org.jfree.chart.annotations.CategoryLineAnnotation,0.71201106942383374,a
org.jfree.chart.annotations.CategoryAnnotation,org.jfree.chart.annotations.CategoryTextAnnotation,0.71919328303014041,a
org.jfree.chart.annotations.CategoryAnnotation,org.jfree.chart.annotations.XYAnnotation,0.74710202130250281,both
