subject,stage,seed,four_d_front_size,projected_3d_front_size,population_size_limit_plausible,leiden_in_four_d_front,leiden_dominated_in_four_d,leiden_four_d_dominator_solution_ids,leiden_in_projected_3d_front,leiden_dominated_in_projected_3d,leiden_projected_dominator_solution_ids,leiden_eligible_for_projected_selector,another_eligible_solution_higher_modularity,selected_solution_id,selected_equals_leiden,selected_weighted_modularity,four_d_classification,projected_selection_classification
daytrader,stage3a,15,100,68,True,False,True,seed15_solution035,False,True,seed15_solution035,False,False,seed15_solution035,False,0.32068269512261544,absent_dominated,absent_or_not_selected
daytrader,stage3a,16,100,75,True,False,False,,False,True,seed16_solution031,False,False,seed16_solution040,False,0.26221941762775558,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,17,100,72,True,False,False,,False,False,,False,False,seed17_solution037,False,0.3035422354338857,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,18,100,67,True,False,False,,False,False,,False,False,seed18_solution027,False,0.31638438933974211,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,19,100,78,True,False,False,,False,False,,False,False,seed19_solution037,False,0.25644352269168447,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,20,100,68,True,False,False,,False,False,,False,False,seed20_solution048,False,0.12611175552484305,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,21,100,69,True,False,True,seed21_solution026,False,True,seed21_solution026,False,False,seed21_solution027,False,0.3239338167712858,absent_dominated,absent_or_not_selected
daytrader,stage3a,22,100,66,True,False,False,,False,False,,False,False,seed22_solution029,False,0.32286216571805942,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,23,100,72,True,False,True,seed23_solution030,False,True,seed23_solution030,False,False,seed23_solution030,False,0.32459676389891207,absent_dominated,absent_or_not_selected
daytrader,stage3a,24,100,71,True,False,False,,False,False,,False,False,seed24_solution031,False,0.30665081068476735,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,25,100,64,True,False,False,,False,False,,False,False,seed25_solution033,False,0.31378174742310155,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,26,100,74,True,False,False,,False,False,,False,False,seed26_solution032,False,0.31491552317506571,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,27,100,70,True,False,True,seed27_solution025,False,True,seed27_solution025,False,False,seed27_solution027,False,0.31200651288108822,absent_dominated,absent_or_not_selected
daytrader,stage3a,28,100,56,True,False,False,,False,False,,False,False,seed28_solution037,False,0.26485524945194105,absent_not_dominated,absent_or_not_selected
daytrader,stage3a,29,100,72,True,False,False,,False,True,seed29_solution034,False,False,seed29_solution040,False,0.21855937078743481,absent_not_dominated,absent_or_not_selected
xerces,stage3a,0,100,76,True,False,False,,False,False,,False,False,seed0_solution014,False,0.66066819406464794,absent_not_dominated,absent_or_not_selected
xerces,stage3a,1,100,84,True,False,True,seed1_solution012,False,True,seed1_solution012,False,False,seed1_solution012,False,0.66151914293437164,absent_dominated,absent_or_not_selected
xerces,stage3a,2,100,81,True,False,False,,False,False,,False,False,seed2_solution013,False,0.66032633531467833,absent_not_dominated,absent_or_not_selected
xerces,stage3a,3,100,78,True,True,False,,True,False,,True,False,seed3_solution009,True,0.66151914293437164,present,present_selected
xerces,stage3a,4,100,90,True,False,False,,False,False,,False,False,seed4_solution014,False,0.65633221805372011,absent_not_dominated,absent_or_not_selected
xerces,stage3a,5,100,82,True,False,False,,False,False,,False,False,seed5_solution017,False,0.66114924649112783,absent_not_dominated,absent_or_not_selected
xerces,stage3a,6,100,83,True,False,False,,False,False,,False,False,seed6_solution014,False,0.6577246203771705,absent_not_dominated,absent_or_not_selected
xerces,stage3a,7,100,82,True,False,False,,False,False,,False,True,seed7_solution013,False,0.66160148970401789,absent_not_dominated,absent_or_not_selected
xerces,stage3a,8,100,81,True,False,True,seed8_solution014,False,True,seed8_solution014,False,True,seed8_solution014,False,0.66160148970401789,absent_dominated,absent_or_not_selected
xerces,stage3a,9,100,77,True,False,False,,False,False,,False,False,seed9_solution016,False,0.65857917380965547,absent_not_dominated,absent_or_not_selected
xerces,stage3a,10,100,83,True,False,False,,False,False,,False,False,seed10_solution013,False,0.66067126608819871,absent_not_dominated,absent_or_not_selected
xerces,stage3a,11,100,81,True,False,False,,False,False,,False,False,seed11_solution013,False,0.65765948934327223,absent_not_dominated,absent_or_not_selected
