profile_family,stage,subject,seed,budget,solution_id,status,coupling_change_vs_leiden,coupling_change_vs_conservative,cohesion_change_vs_leiden,cohesion_change_vs_conservative,imbalance_change_vs_leiden,imbalance_change_vs_conservative,weighted_modularity_change_vs_leiden,weighted_modularity_change_vs_conservative,cluster_count_change_vs_leiden,cluster_count_change_vs_conservative,max_cluster_ratio_change_vs_leiden,max_cluster_ratio_change_vs_conservative,singleton_ratio_change_vs_leiden,singleton_ratio_change_vs_conservative
stage2_balance,stage2,jpetstore,0,0.050000000000000003,seed0_solution006,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,1,0.050000000000000003,seed1_solution007,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,2,0.050000000000000003,seed2_solution008,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,3,0.050000000000000003,seed3_solution007,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,4,0.050000000000000003,seed4_solution007,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,5,0.050000000000000003,seed5_solution009,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,6,0.050000000000000003,seed6_solution011,selected,0.032098765432098775,0.032098765432098775,-0.64404761904761898,-0.64404761904761809,-0.20412414523193148,-0.20412414523193148,-0.017570492303002616,-0.017570492303002616,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,7,0.050000000000000003,seed7_solution007,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,8,0.050000000000000003,seed8_solution009,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095344,-0.57738095238095255,-0.20412414523193148,-0.20412414523193148,-0.0079500076207895676,-0.0079500076207895676,0,0,-0.041666666666666685,-0.041666666666666685,0,0
stage2_balance,stage2,jpetstore,9,0.050000000000000003,seed9_solution008,selected,0.022222222222222254,0.022222222222222254,-0.57738095238095255,-0.57738095238095166,-0.20412414523193148,-0.20412414523193148,-0.014333180917543042,-0.014333180917543042,0,0,-0.041666666666666685,-0.041666666666666685,0,0
