stage,subject,profile,metric,reference_status,available_n,median,mean,iqr
stage2,daytrader,budgeted_balance_0.050,mojofm_vs_reference,available,13,23.913043478260864,24.080267558528426,0
stage2,daytrader,budgeted_balance_0.050,pairwise_precision,available,13,0.16666666666666666,0.16430633148797644,0.012011371712864261
stage2,daytrader,budgeted_balance_0.050,pairwise_recall,available,13,0.18888888888888888,0.18974358974358971,0.016666666666666691
stage2,daytrader,budgeted_balance_0.050,pairwise_f1,available,13,0.17676767676767674,0.17603387916382282,0.011392116655274537
stage2,daytrader,budgeted_balance_0.050,ari_vs_reference,available,13,0.043003770045276613,0.041970966295746738,0.013918869015193555
stage2,daytrader,budgeted_balance_0.050,nmi_vs_reference,available,13,0.39837909539312877,0.39938316658680112,0.0191643565754131
stage2,daytrader,budgeted_balance_0.050,reference_coverage_ratio,available,13,1,1,0
stage2,daytrader,conservative,mojofm_vs_reference,available,30,23.913043478260864,23.55072463768116,3.8043478260869641
stage2,daytrader,conservative,pairwise_precision,available,30,0.16088981492830004,0.15511996123417868,0.024689108245348146
stage2,daytrader,conservative,pairwise_recall,available,30,0.18333333333333332,0.17870370370370373,0.027777777777777762
stage2,daytrader,conservative,pairwise_f1,available,30,0.16982841719683822,0.16544765411682466,0.031956808590415553
stage2,daytrader,conservative,ari_vs_reference,available,30,0.0371383045824598,0.029603356355566511,0.030731472573456358
stage2,daytrader,conservative,nmi_vs_reference,available,30,0.39021503485715503,0.37608399151557553,0.041819221012354191
stage2,daytrader,conservative,reference_coverage_ratio,available,30,1,1,0
stage2,daytrader,extreme_balance,mojofm_vs_reference,available,30,17.391304347826086,17.60869565217391,2.1739130434782581
stage2,daytrader,extreme_balance,pairwise_precision,available,30,0.13235294117647059,0.13771271877662536,0.021380090497737564
stage2,daytrader,extreme_balance,pairwise_recall,available,30,0.29999999999999999,0.3053703703703704,0.049999999999999989
stage2,daytrader,extreme_balance,pairwise_f1,available,30,0.18470917831332972,0.18877240922289559,0.025389194868039866
stage2,daytrader,extreme_balance,ari_vs_reference,available,30,0.0030172092676748769,0.011433192377286652,0.03619239521694706
stage2,daytrader,extreme_balance,nmi_vs_reference,available,30,0.19597401232528117,0.19825830437957465,0.052501893059220095
stage2,daytrader,extreme_balance,reference_coverage_ratio,available,30,1,1,0
stage2,daytrader,knee_native,mojofm_vs_reference,available,30,19.565217391304344,20.724637681159422,4.3478260869565197
