stage,subject,seed,profile,status,realised_modularity_loss,gain_imbalance,gain_semantic,cluster_count,reference_status,reference_path,evaluation_policy,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio,mojofm_vs_reference_delta_vs_leiden,mojofm_vs_reference_delta_vs_conservative,pairwise_precision_delta_vs_leiden,pairwise_precision_delta_vs_conservative,pairwise_recall_delta_vs_leiden,pairwise_recall_delta_vs_conservative,pairwise_f1_delta_vs_leiden,pairwise_f1_delta_vs_conservative,ari_vs_reference_delta_vs_leiden,ari_vs_reference_delta_vs_conservative,nmi_vs_reference_delta_vs_leiden,nmi_vs_reference_delta_vs_conservative,reference_coverage_ratio_delta_vs_leiden,reference_coverage_ratio_delta_vs_conservative
stage2,jpetstore,7,budgeted_balance_0.050,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,7,knee_native,selected,0.10786713648368174,-1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,7,extreme_balance,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,8,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,8,budgeted_balance_0.050,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,8,knee_native,selected,0.1381041366422793,-0.63299316185545251,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,8,extreme_balance,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,9,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,9,budgeted_balance_0.050,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,9,knee_native,selected,0.02698919466835847,-0.50000000000000033,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,9,extreme_balance,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,10,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,10,budgeted_balance_0.050,selected,0.012163755594017452,0.4226497308103741,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,10,knee_native,selected,0.041042331800222258,-0.75594229214212338,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,10,extreme_balance,selected,0.11330772784631192,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,11,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,11,budgeted_balance_0.050,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,11,knee_native,selected,0.02698919466835847,-0.50000000000000033,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,11,extreme_balance,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,12,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,12,budgeted_balance_0.050,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,12,knee_native,selected,0.02698919466835847,-0.50000000000000033,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,12,extreme_balance,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,13,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,13,budgeted_balance_0.050,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,13,knee_native,selected,0.02698919466835847,-0.50000000000000033,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,13,extreme_balance,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,14,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,14,budgeted_balance_0.050,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,14,knee_native,selected,0.1539708042283531,-0.97905701450631999,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,14,extreme_balance,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,15,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,15,budgeted_balance_0.050,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,15,knee_native,selected,0.014825439074341019,-0.75594229214212338,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,15,extreme_balance,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,16,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,16,budgeted_balance_0.050,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,16,knee_native,selected,0.15889422911164591,-0.97905701450631966,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,16,extreme_balance,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,17,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,17,budgeted_balance_0.050,selected,0.012163755594017452,0.4226497308103741,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,17,knee_native,selected,0.046489818715910118,-0.63299316185545251,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,17,extreme_balance,selected,0.10235069403741535,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,18,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,18,budgeted_balance_0.050,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,18,knee_native,selected,0.12876755780197363,-0.75594229214212361,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,18,extreme_balance,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,19,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,19,budgeted_balance_0.050,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,19,knee_native,selected,0.046489818715910118,-0.63299316185545251,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,19,extreme_balance,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,20,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,20,budgeted_balance_0.050,selected,0.012163755594017452,0.4226497308103741,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,20,knee_native,selected,0.14011074258210868,-0.63299316185545251,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,20,extreme_balance,selected,0.09783410678453465,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,21,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,21,budgeted_balance_0.050,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,21,knee_native,selected,0.02698919466835847,-0.50000000000000033,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,21,extreme_balance,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,22,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,22,budgeted_balance_0.050,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,22,knee_native,selected,0.02698919466835847,-0.50000000000000033,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,22,extreme_balance,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,23,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,23,budgeted_balance_0.050,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,23,knee_native,selected,0.12876755780197363,-0.75594229214212361,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,23,extreme_balance,selected,0.032422890477930746,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,24,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,24,budgeted_balance_0.050,selected,0.012536115459140486,0.4226497308103741,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,24,knee_native,selected,0.018066349011522449,-0.50000000000000033,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,24,extreme_balance,selected,0.069431323739320594,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,25,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,25,budgeted_balance_0.050,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,25,knee_native,selected,0.046489818715910118,-0.63299316185545251,,5,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,25,extreme_balance,selected,0.017983602374828593,1,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
stage2,jpetstore,26,conservative,selected,0,0,,4,unavailable,,post-hoc only; external metrics did not influence selection,,,,,,,,,,,,,,,,,,,,,
