profile_family,stage,subject,budget,permitted_loss,selected_count,median_realised_loss,mean_realised_loss,iqr_realised_loss,maximum_realised_loss,solutions_above_leiden,solutions_equal_leiden_within_tolerance
stage2_balance,stage2,daytrader,0,0,6,0,0,0,0,0,6
stage2_balance,stage2,daytrader,0.0050000000000000001,0.0050000000000000001,6,0,0,0,0,0,6
stage2_balance,stage2,daytrader,0.01,0.01,8,0,0.0023171672912525947,0.0022186864524121404,0.0096625925203721961,0,6
stage2_balance,stage2,daytrader,0.025000000000000001,0.025000000000000001,9,0,0.0057969874585771563,0.0096625925203721961,0.019055141076669203,0,5
stage2_balance,stage2,daytrader,0.050000000000000003,0.050000000000000003,13,0.019055141076669203,0.018391551899452512,0.031651839920297707,0.041599551674583977,0,4
stage2_balance,stage2,daytrader,0.10000000000000001,0.10000000000000001,16,0.059810969225147559,0.051287911436066966,0.071497580583052445,0.096392258521214455,0,3
stage2_balance,stage2,daytrader,0.14999999999999999,0.14999999999999999,18,0.0905838553691721,0.078720073176962044,0.099769610550067084,0.14617997578125139,0,2
stage2_balance,stage2,daytrader,0.20000000000000001,0.20000000000000001,22,0.14969398840842846,0.12161166551789741,0.093125185368467409,0.19000116341756385,0,2
stage2_balance,stage2,jpetstore,0,0,30,0,0,0,0,0,30
stage2_balance,stage2,jpetstore,0.0050000000000000001,0.0050000000000000001,30,0,0.000756212318675696,0,0.0032409099371815543,0,23
stage2_balance,stage2,jpetstore,0.01,0.01,30,0,0.000756212318675696,0,0.0032409099371815543,0,23
stage2_balance,stage2,jpetstore,0.025000000000000001,0.025000000000000001,30,0.012163755594017452,0.01355849612584851,0.0058198467808111415,0.017983602374828593,0,0
stage2_balance,stage2,jpetstore,0.050000000000000003,0.050000000000000003,30,0.032422890477930746,0.025165091032792974,0.014439288103102153,0.039745967825349483,0,0
stage2_balance,stage2,jpetstore,0.10000000000000001,0.10000000000000001,30,0.032422890477930746,0.029917276348482888,0.014439288103102153,0.09783410678453465,0,0
stage2_balance,stage2,jpetstore,0.14999999999999999,0.14999999999999999,30,0.032422890477930746,0.036294973371672631,0.014439288103102153,0.11330772784631192,0,0
stage2_balance,stage2,jpetstore,0.20000000000000001,0.20000000000000001,30,0.032422890477930746,0.036294973371672631,0.014439288103102153,0.11330772784631192,0,0
stage2_balance,stage2,xerces,0,0,24,0,-0.00010891851615129552,0,0,3,21
stage2_balance,stage2,xerces,0.0050000000000000001,0.0050000000000000001,26,0,0.00093445896319768913,0.0012649891884878492,0.004528376107932254,1,13
stage2_balance,stage2,xerces,0.01,0.01,27,0.0010258457748568304,0.0027729817293563378,0.004963200354858901,0.0099135046899866148,1,9
stage2_balance,stage2,xerces,0.025000000000000001,0.025000000000000001,30,0.017397660958154763,0.015456257971736116,0.008435882274311586,0.024790707562570086,0,0
stage2_balance,stage2,xerces,0.050000000000000003,0.050000000000000003,30,0.038565599507293782,0.036139974886956271,0.014400827666333875,0.048643527667577409,0,0
stage2_balance,stage2,xerces,0.10000000000000001,0.10000000000000001,30,0.088314774454852571,0.077676195050401894,0.028019302323319978,0.099906283631458953,0,0
stage2_balance,stage2,xerces,0.14999999999999999,0.14999999999999999,30,0.13147629057490906,0.12674891389665149,0.016663721930698705,0.14746404994023843,0,0
stage2_balance,stage2,xerces,0.20000000000000001,0.20000000000000001,30,0.18359560369443456,0.18029052842604529,0.018911032124304616,0.1998178693002069,0,0
stage3_balance,stage3a,daytrader,0,0,5,0,0,0,0,0,5
stage3_balance,stage3a,daytrader,0.0050000000000000001,0.0050000000000000001,6,0,0.00034039522332428778,0,0.0020423713399457268,0,5
stage3_balance,stage3a,daytrader,0.01,0.01,8,0,0.0020059530929701867,0.0052760167204406521,0.0054503654933628484,0,5
stage3_balance,stage3a,daytrader,0.025000000000000001,0.025000000000000001,15,0.010964964745170698,0.010804161866886495,0.016260972584310862,0.024594319572779941,0,4
stage3_balance,stage3a,daytrader,0.050000000000000003,0.050000000000000003,20,0.020950036950797352,0.019999836138371356,0.017182448453228118,0.049331854209031856,0,2
stage3_balance,stage3a,daytrader,0.10000000000000001,0.10000000000000001,24,0.043571134790937112,0.044451918355397357,0.059154293748187259,0.096223153320410218,0,2
