subject,seed,budget,source_stage,evaluation_graph,solution_id,f_semantic,semantic_improvement_vs_same_graph_leiden,evaluation_policy
jpetstore,2,0.10000000000000001,stage3a,stage3b,seed2_solution001,0.46566906033572097,0.090951864225554277,post-hoc matched partition; no reselection
jpetstore,2,0.14999999999999999,stage3a,stage3a,seed2_solution020,0.5033284443783983,0.15941797526005855,post-hoc matched partition; no reselection
jpetstore,2,0.14999999999999999,stage3a,stage3b,seed2_solution020,0.47554195538513322,0.071678655838261954,post-hoc matched partition; no reselection
jpetstore,2,0.20000000000000001,stage3a,stage3a,seed2_solution022,0.45172225961147494,0.24560271559210264,post-hoc matched partition; no reselection
jpetstore,2,0.20000000000000001,stage3a,stage3b,seed2_solution022,0.40352317553338057,0.2122689229214709,post-hoc matched partition; no reselection
jpetstore,3,0,stage3a,stage3a,seed3_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,3,0,stage3a,stage3b,seed3_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,3,0.0050000000000000001,stage3a,stage3a,seed3_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,3,0.0050000000000000001,stage3a,stage3b,seed3_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,3,0.01,stage3a,stage3a,seed3_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,3,0.01,stage3a,stage3b,seed3_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,3,0.025000000000000001,stage3a,stage3a,seed3_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,3,0.025000000000000001,stage3a,stage3b,seed3_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,3,0.050000000000000003,stage3a,stage3a,seed3_solution009,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,3,0.050000000000000003,stage3a,stage3b,seed3_solution009,0.48394775749914676,0.055269408601771784,post-hoc matched partition; no reselection
jpetstore,3,0.10000000000000001,stage3a,stage3a,seed3_solution012,0.53279126000691179,0.11021369624073761,post-hoc matched partition; no reselection
jpetstore,3,0.10000000000000001,stage3a,stage3b,seed3_solution012,0.46396599485771828,0.094276475263195533,post-hoc matched partition; no reselection
jpetstore,3,0.14999999999999999,stage3a,stage3a,seed3_solution018,0.47150585301170655,0.21256319004425514,post-hoc matched partition; no reselection
jpetstore,3,0.14999999999999999,stage3a,stage3b,seed3_solution018,0.43889510188380654,0.14321820333012864,post-hoc matched partition; no reselection
jpetstore,3,0.20000000000000001,stage3a,stage3a,seed3_solution018,0.47150585301170655,0.21256319004425514,post-hoc matched partition; no reselection
jpetstore,3,0.20000000000000001,stage3a,stage3b,seed3_solution018,0.43889510188380654,0.14321820333012864,post-hoc matched partition; no reselection
jpetstore,4,0,stage3a,stage3a,seed4_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,4,0,stage3a,stage3b,seed4_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,4,0.0050000000000000001,stage3a,stage3a,seed4_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,4,0.0050000000000000001,stage3a,stage3b,seed4_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,4,0.01,stage3a,stage3a,seed4_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
