stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
11,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
12,same_seed_cluster_count_delta_le_1,True,seed12_solution034,0.5115261023292814,0.3000581461649487,0.4372693726937269,5.671807359307359,8.0,12.0,0.75,1.254113913802556,0.3041230588159199,0.316420664206642,6.256465237166992,9.0,0.7425878114732747,-1.0,-0.0040649126509711975,0.1208487084870849,-0.584657877859633,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
13,same_seed_cluster_count_delta_le_1,True,seed13_solution033,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9.0,13.0,0.75,1.254113913802556,0.3041230588159199,0.316420664206642,6.256465237166992,9.0,0.5098466336774233,0.0,0.020473705082992122,0.10147601476014761,1.693270212568458,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
14,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
15,same_seed_cluster_count_delta_le_1,True,seed15_solution030,0.6662808899248897,0.196940826649964,0.3920664206642066,6.6310356310356315,8.0,15.0,0.75,1.1912221975595922,0.3074697078266906,0.3279520295202952,5.494911707373008,9.0,0.5249413076347026,-1.0,-0.11052888117672657,0.06411439114391143,1.1361239236626233,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
16,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
17,same_seed_cluster_count_delta_le_1,True,seed17_solution037,0.7011661953230961,0.3008659800043571,0.4515682656826568,5.277792207792208,10.0,17.0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,0.1918269794843932,-1.0,-0.023730783894554908,0.033671586715867174,-1.2629851966215604,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
18,same_seed_cluster_count_delta_le_1,True,seed18_solution034,0.835531691527718,0.3133921915210848,0.4285055350553505,6.866421911421912,10.0,18.0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,0.0574614832797713,-1.0,-0.011204572377827238,0.01060885608856088,0.3256445070081435,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
19,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
20,same_seed_cluster_count_delta_le_1,True,seed20_solution038,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9.0,20.0,0.75,1.184478952129774,0.3004470637995124,0.3118081180811808,6.9185672514619885,10.0,0.4402116720046413,-1.0,0.024149700099399596,0.1060885608856088,1.0311681982734617,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
21,same_seed_cluster_count_delta_le_1,True,seed21_solution030,0.8524043017416241,0.324596763898912,0.4178966789667896,7.0977855477855485,10.0,21.0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,0.04058887306586523,-1.0,0.0,0.0,0.55700814337178,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
22,same_seed_cluster_count_delta_le_1,True,seed22_solution037,0.8433772316463023,0.3145546893084243,0.4308118081180812,6.26741440377804,11.0,22.0,1.0,0.8342524894126091,0.3153739055840741,0.4142066420664206,7.082885632885632,12.0,0.009124742233693195,-1.0,-0.0008192162756497923,0.01660516605166057,-0.8154712291075921,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
23,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
24,same_seed_cluster_count_delta_le_1,True,seed24_solution029,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,24.0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,0.0,0.0,0.0,0.0,0.0,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
25,same_seed_cluster_count_delta_le_1,True,seed25_solution047,0.6860248665168998,0.3045667610735147,0.441420664206642,7.212802012802012,9.0,25.0,0.75,1.254113913802556,0.3041230588159199,0.316420664206642,6.256465237166992,9.0,0.5680890472856563,0.0,0.0004437022575948246,0.125,0.9563367756350196,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
26,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
27,same_seed_cluster_count_delta_le_1,True,seed27_solution030,0.8051542752208253,0.2697474630996311,0.4372693726937269,7.028957708957708,10.0,27.0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,0.08783889958666402,-1.0,-0.05484930079928091,0.019372693726937285,0.48818030454393924,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
28,same_seed_cluster_count_delta_le_1,True,seed28_solution041,0.7406711859015291,0.3217160501286746,0.422970479704797,7.104285714285714,10.0,28.0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11.0,0.15232198890596016,-1.0,-0.0028807137702374086,0.005073800738007395,0.5635083098719456,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
29,same_seed_cluster_count_delta_le_1,True,seed29_solution040,0.6906794421782311,0.3140104599270162,0.4285055350553505,7.350953984287319,9.0,29.0,0.75,1.110004987176055,0.3058079785133643,0.3265682656826568,6.306470588235294,10.0,0.4193255449978238,-1.0,0.00820248141365193,0.1019372693726937,1.0444833960520246,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
