seed,eligible_solution_count,has_candidate,solution_id,same_as_selected,weighted_modularity,modularity_delta_vs_leiden,coupling,coupling_delta_vs_leiden,cohesion,cohesion_delta_vs_leiden,imbalance,imbalance_delta_vs_leiden,cluster_count,singleton_ratio,max_cluster_ratio,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
0,0,False,,False,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
11,2,True,seed11_solution041,False,0.1435871992483763,-0.1810095646505357,0.4114391143911439,-0.0064575645756457,8.319241314241314,1.7784639098275452,0.4606247402163662,-0.4323684345911231,5.0,0.0,0.3018867924528302,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
12,2,True,seed12_solution030,False,0.2268698257785157,-0.0977269381203963,0.3833025830258302,-0.0345940959409594,8.483840240641712,1.9430628362279432,0.7694320190227805,-0.1235611557847088,8.0,0.0,0.320754716981132,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
13,3,True,seed13_solution033,True,0.324596763898912,0.0,0.4178966789667896,-5.551115123125783e-17,7.94973544973545,1.4089580453216817,0.7442672801251328,-0.1487258946823565,9.0,0.0188679245283018,0.2452830188679245,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
14,2,True,seed14_solution039,False,0.0940548790866138,-0.2305418848122982,0.4031365313653136,-0.014760147601476,10.873099415204678,4.332322010790909,0.7984944894150501,-0.0944986853924392,8.0,0.0,0.3584905660377358,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
15,2,True,seed15_solution030,True,0.196940826649964,-0.127655937248948,0.3920664206642066,-0.025830258302583,6.6310356310356315,0.090258226621863,0.6662808899248897,-0.2267122848825996,8.0,0.0,0.2641509433962264,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
16,3,True,seed16_solution028,False,0.1412901810637111,-0.1833065828352009,0.3703874538745387,-0.0475092250922509,11.96549243479068,5.424715030376911,0.8857882712683396,-0.0072049035391497,9.0,0.0,0.3584905660377358,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
17,0,False,,False,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
18,1,True,seed18_solution033,False,0.324596763898912,0.0,0.4178966789667896,-5.551115123125783e-17,7.0977855477855485,0.55700814337178,0.8524043017416241,-0.0405888730658652,10.0,0.0566037735849056,0.2641509433962264,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
19,3,True,seed19_solution022,False,0.1724075278114407,-0.1521892360874713,0.3851476014760147,-0.0327490774907749,11.32333488951136,4.782557485097591,0.7696633228064581,-0.1233298520010311,9.0,0.0188679245283018,0.320754716981132,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
20,4,True,seed20_solution038,True,0.324596763898912,0.0,0.4178966789667896,-5.551115123125783e-17,7.94973544973545,1.4089580453216817,0.7442672801251328,-0.1487258946823565,9.0,0.0188679245283018,0.2452830188679245,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
21,1,True,seed21_solution030,True,0.324596763898912,0.0,0.4178966789667896,-5.551115123125783e-17,7.0977855477855485,0.55700814337178,0.8524043017416241,-0.0405888730658652,10.0,0.0566037735849056,0.2641509433962264,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
22,0,False,,False,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
23,5,True,seed23_solution040,False,0.1495139380591222,-0.1750828258397898,0.41190036900369,-0.0059963099630996,13.133536221506146,6.592758817092378,0.6579470103457621,-0.2350461644617272,7.0,0.0,0.3584905660377358,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
24,1,True,seed24_solution029,True,0.324596763898912,0.0,0.4178966789667896,-5.551115123125783e-17,6.5407774044137685,0.0,0.8929931748074893,0.0,11.0,0.0754716981132075,0.2452830188679245,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
25,0,False,,False,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
26,6,True,seed26_solution037,False,0.1438560162239077,-0.1807407476750043,0.3837638376383764,-0.0341328413284132,6.567460317460317,0.0266829130465486,0.5861216817739271,-0.3068714930335622,6.0,0.0,0.3018867924528302,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
27,0,False,,False,,,,,,,,,,,,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
28,1,True,seed28_solution036,False,0.0944692210413801,-0.2301275428575319,0.3837638376383764,-0.0341328413284132,9.330000000000002,2.7892225955862333,0.8397816258214296,-0.0532115489860597,10.0,0.0188679245283018,0.3018867924528302,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
29,1,True,seed29_solution036,False,0.0818741830176604,-0.2427225808812516,0.3846863468634686,-0.033210332103321,8.198262032085562,1.6574846276717938,0.8480077378960087,-0.0449854369114806,11.0,0.0188679245283018,0.320754716981132,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
