metric_left,metric_right,pooled_spearman_rho_descriptive,pooled_solution_count_descriptive,defined_seed_count,median_seed_rho,seed_rho_iqr,min_seed_rho,max_seed_rho,positive_seed_count,negative_seed_count,zero_seed_count,undefined_seed_count
weighted_modularity,coupling,-0.18265071694725496,2980,30,-0.19210540549072205,0.26898868730004516,-0.49824028709491963,0.5723321012365511,4,26,0,0
weighted_modularity,imbalance,0.1131250415702412,2980,30,0.038452314511486604,0.3091359853719014,-0.47334895566887675,0.592848399063385,23,7,0,0
coupling,imbalance,-0.7665602399640222,2980,30,-0.7957761042695946,0.07358235374803246,-0.9319561338449338,-0.6887562069669009,0,30,0,0
weighted_modularity,cohesion,0.1605055964449112,2980,30,0.1469426942694269,0.23503143133330603,-0.13363336333633363,0.7896789678967896,25,5,0,0
coupling,cohesion,0.6777354867914663,2980,30,0.7075655578275695,0.10572348005435905,0.4888018136914215,0.814802369065789,30,0,0,0
imbalance,cohesion,-0.22590602956518976,2980,30,-0.2385976484896413,0.19458087415116954,-0.4374276165296221,0.03072953389985595,1,29,0,0
