seed,metric_left,metric_right,spearman_rho,n_solutions
0,weighted_modularity,coupling,-0.10528147568511402,100
1,weighted_modularity,coupling,-0.0956704691167659,97
2,weighted_modularity,coupling,-0.25659842963940765,100
3,weighted_modularity,coupling,0.23781720862839575,100
4,weighted_modularity,coupling,-0.49824028709491963,100
5,weighted_modularity,coupling,-0.4267905201686191,100
6,weighted_modularity,coupling,-0.05794248956300338,100
7,weighted_modularity,coupling,-0.013579561650139802,100
8,weighted_modularity,coupling,0.5723321012365511,100
9,weighted_modularity,coupling,0.04828740819319472,100
10,weighted_modularity,coupling,-0.3005514650945234,100
11,weighted_modularity,coupling,-0.14017527911110084,100
12,weighted_modularity,coupling,-0.1798477615864367,100
13,weighted_modularity,coupling,-0.11125246028356284,100
14,weighted_modularity,coupling,-0.2587333067871788,100
15,weighted_modularity,coupling,-0.4650340838508775,100
16,weighted_modularity,coupling,-0.05282344081464163,100
17,weighted_modularity,coupling,-0.3694771645860974,100
18,weighted_modularity,coupling,-0.2043630493950074,100
19,weighted_modularity,coupling,-0.4602005121166501,85
20,weighted_modularity,coupling,-0.026444803149609914,100
21,weighted_modularity,coupling,-0.32649656763908597,100
22,weighted_modularity,coupling,-0.4025250828382629,100
23,weighted_modularity,coupling,-0.28504029378761603,98
24,weighted_modularity,coupling,-0.38759541071390996,100
25,weighted_modularity,coupling,-0.0295591332686586,100
26,weighted_modularity,coupling,-0.312877858289851,100
27,weighted_modularity,coupling,-0.12235480493635327,100
28,weighted_modularity,coupling,-0.2379612238940165,100
29,weighted_modularity,coupling,0.12493999328149667,100
0,weighted_modularity,imbalance,-0.11804099124892001,100
1,weighted_modularity,imbalance,0.3383937670608005,97
2,weighted_modularity,imbalance,0.46464125198107437,100
3,weighted_modularity,imbalance,-0.4514907575587071,100
4,weighted_modularity,imbalance,0.43889573980833774,100
5,weighted_modularity,imbalance,0.1521908716927479,100
6,weighted_modularity,imbalance,0.00268830108991565,100
7,weighted_modularity,imbalance,0.21456131825100383,100
8,weighted_modularity,imbalance,-0.47334895566887675,100
9,weighted_modularity,imbalance,0.035835906115218065,100
10,weighted_modularity,imbalance,0.03434515576771219,100
11,weighted_modularity,imbalance,0.008166963703040164,100
12,weighted_modularity,imbalance,0.02573703697082588,100
13,weighted_modularity,imbalance,0.014689733390920145,100
14,weighted_modularity,imbalance,0.004986543533447123,100
15,weighted_modularity,imbalance,0.5585742360999982,100
16,weighted_modularity,imbalance,-0.19216494598689607,100
17,weighted_modularity,imbalance,0.45774652113948106,100
18,weighted_modularity,imbalance,0.2205233754817709,100
19,weighted_modularity,imbalance,0.23441408710839837,85
20,weighted_modularity,imbalance,-0.007422853629002502,100
21,weighted_modularity,imbalance,0.22692877763252742,100
22,weighted_modularity,imbalance,0.592848399063385,100
23,weighted_modularity,imbalance,0.016902198695458327,98
24,weighted_modularity,imbalance,0.47369763306119045,100
25,weighted_modularity,imbalance,0.04106872290775515,100
26,weighted_modularity,imbalance,0.19177835592111406,100
27,weighted_modularity,imbalance,-0.035350065257663724,100
28,weighted_modularity,imbalance,0.5362124471784613,100
29,weighted_modularity,imbalance,-0.2512864056833608,100
0,coupling,imbalance,-0.7349439524966167,100
1,coupling,imbalance,-0.8240233013794102,97
2,coupling,imbalance,-0.8487265111935398,100
3,coupling,imbalance,-0.8095143800259483,100
4,coupling,imbalance,-0.8161709992705939,100
5,coupling,imbalance,-0.8304874720023862,100
6,coupling,imbalance,-0.7236657345510844,100
7,coupling,imbalance,-0.72569616341602,100
8,coupling,imbalance,-0.9319561338449338,100
9,coupling,imbalance,-0.8285022487758305,100
10,coupling,imbalance,-0.7830381440766863,100
11,coupling,imbalance,-0.7880710850597235,100
12,coupling,imbalance,-0.7969792163640652,100
13,coupling,imbalance,-0.7538780041541115,100
14,coupling,imbalance,-0.8153920010188482,100
15,coupling,imbalance,-0.7466778280875276,100
16,coupling,imbalance,-0.7800633671111591,100
17,coupling,imbalance,-0.7945729921751238,100
18,coupling,imbalance,-0.8059658502813078,100
19,coupling,imbalance,-0.8459700589885425,85
20,coupling,imbalance,-0.8060955375926996,100
21,coupling,imbalance,-0.6955144168867162,100
22,coupling,imbalance,-0.746543571402854,100
23,coupling,imbalance,-0.8134796791229091,98
24,coupling,imbalance,-0.789905578578563,100
25,coupling,imbalance,-0.8580258211591145,100
26,coupling,imbalance,-0.7448722411050932,100
27,coupling,imbalance,-0.7786415515664113,100
28,coupling,imbalance,-0.6887562069669009,100
29,coupling,imbalance,-0.881613965009266,100
0,weighted_modularity,cohesion,0.14319831983198317,100
1,weighted_modularity,cohesion,0.36662371134020616,97
2,weighted_modularity,cohesion,0.2747194719471947,100
3,weighted_modularity,cohesion,0.33267326732673264,100
4,weighted_modularity,cohesion,-0.10820346956972225,100
5,weighted_modularity,cohesion,-0.03217531405749272,100
6,weighted_modularity,cohesion,0.08337233723372336,100
7,weighted_modularity,cohesion,0.34363739465319576,100
8,weighted_modularity,cohesion,0.7896789678967896,100
9,weighted_modularity,cohesion,0.26738673867386736,100
10,weighted_modularity,cohesion,0.007782801628602771,100
11,weighted_modularity,cohesion,0.15068706870687065,100
12,weighted_modularity,cohesion,0.21890320374353744,100
13,weighted_modularity,cohesion,0.1419381938193819,100
14,weighted_modularity,cohesion,-0.08759102187564739,100
15,weighted_modularity,cohesion,0.06903090309030903,100
16,weighted_modularity,cohesion,0.027710771077107708,100
