stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
11,same_seed,True,seed11_solution061,0.6040683242861177,0.172390932857668,0.5770295202952029,23.90138888888889,6,11,2.5,0.6014104698305369,0.2859247772021078,0.5618081180811808,11.107843137254903,17,0.002657854455580755,-11.0,-0.1135338443444398,0.015221402214022128,12.793545751633985,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
12,same_seed,True,seed12_solution034,0.5115261023292814,0.3000581461649487,0.4372693726937269,5.671807359307359,8,12,2.75,0.5719813732537403,0.2234805192263177,0.6605166051660517,9.5625,16,0.060455270924458904,-8.0,0.07657762693863099,-0.2232472324723248,-3.8906926406926408,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
13,same_seed,True,seed13_solution033,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9,13,1.25,0.7356071203629408,0.3191142592353044,0.4833948339483395,7.97039072039072,13,0.008660159762191921,-4.0,0.0054825046636076125,-0.06549815498154987,-0.020655270655269398,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
14,same_seed,True,seed14_solution042,0.631159572968971,0.3163976865783416,0.4248154981549815,8.089528527028527,8,14,2.0,0.610224967124386,0.2967887275159651,0.5424354243542435,9.547407407407407,15,0.020934605844584953,-7.0,0.01960895906237653,-0.11761992619926204,-1.45787888037888,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
15,same_seed,True,seed15_solution030,0.6662808899248897,0.196940826649964,0.3920664206642066,6.6310356310356315,8,15,1.5,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.026714116573486102,-6.0,-0.1114635174834219,-0.12638376383763839,-1.9796786546786542,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
16,same_seed,True,seed16_solution039,0.6034787015743198,0.282244527069348,0.4571033210332103,5.441818598068598,8,16,2.5,0.6014104698305369,0.2859247772021078,0.5618081180811808,11.107843137254903,17,0.0020682317437829,-9.0,-0.003680250132759799,-0.10470479704797053,-5.6660245391863056,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
17,same_seed,True,seed17_solution037,0.7011661953230961,0.3008659800043571,0.4515682656826568,5.277792207792208,10,17,1.5,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.008171188824720343,-4.0,-0.007538364129028807,-0.0668819188191882,-3.3329220779220776,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
18,same_seed,True,seed18_solution034,0.835531691527718,0.3133921915210848,0.4285055350553505,6.866421911421912,10,18,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11,0.0574614832797713,-1.0,-0.011204572377827238,0.01060885608856088,0.3256445070081435,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
19,same_seed,True,seed19_solution030,0.5059278368978084,0.2663247538840703,0.4358856088560885,14.142612942612944,8,19,3.0,0.5517053402722055,0.220255885676938,0.6642066420664207,10.03690476190476,16,0.04577750337439712,-8.0,0.046068868207132296,-0.22832103321033215,4.105708180708184,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
20,same_seed,True,seed20_solution038,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9,20,1.25,0.7356071203629408,0.3191142592353044,0.4833948339483395,7.97039072039072,13,0.008660159762191921,-4.0,0.0054825046636076125,-0.06549815498154987,-0.020655270655269398,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
21,same_seed,True,seed21_solution030,0.8524043017416241,0.324596763898912,0.4178966789667896,7.0977855477855485,10,21,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11,0.04058887306586523,-1.0,0.0,0.0,0.55700814337178,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
22,same_seed,True,seed22_solution037,0.8433772316463023,0.3145546893084243,0.4308118081180812,6.26741440377804,11,22,1.0,0.8342524894126091,0.3153739055840741,0.4142066420664206,7.082885632885632,12,0.009124742233693195,-1.0,-0.0008192162756497923,0.01660516605166057,-0.8154712291075921,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
23,same_seed,True,seed23_solution055,0.5597130933657104,0.1908154802834928,0.4824723247232472,17.90077541506113,7,23,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.03690476190476,16,0.008007753093504877,-9.0,-0.029440405393445196,-0.18173431734317347,7.86387065315637,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
24,same_seed,True,seed24_solution029,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11,24,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11,0.0,0.0,0.0,0.0,0.0,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
25,same_seed,True,seed25_solution047,0.6860248665168998,0.3045667610735147,0.441420664206642,7.212802012802012,9,25,1.75,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.006970139981475998,-5.0,-0.003837583059871197,-0.07702952029520299,-1.397912272912274,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
26,same_seed,True,seed26_solution052,0.4103502485081423,0.1414578326479759,0.5216789667896679,15.911111111111111,6,26,3.0,0.5517053402722055,0.220255885676938,0.6642066420664207,10.03690476190476,16,0.14135509176406325,-10.0,-0.07879805302896209,-0.1425276752767528,5.874206349206352,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
27,same_seed,True,seed27_solution030,0.8051542752208253,0.2697474630996311,0.4372693726937269,7.028957708957708,10,27,1.25,0.7356071203629408,0.3191142592353044,0.4833948339483395,7.97039072039072,13,0.06954715485788443,-3.0,-0.049366796135673296,-0.04612546125461259,-0.9414330114330118,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
28,same_seed,True,seed28_solution041,0.7406711859015291,0.3217160501286746,0.422970479704797,7.104285714285714,10,28,1.25,0.7356071203629408,0.3191142592353044,0.4833948339483395,7.97039072039072,13,0.0050640655385882916,-3.0,0.002601790893370204,-0.06042435424354248,-0.8661050061050055,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
29,same_seed,True,seed29_solution040,0.6906794421782311,0.3140104599270162,0.4285055350553505,7.350953984287319,9,29,1.5,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.0023155643201446807,-5.0,0.005606115793630295,-0.0899446494464945,-1.259760301426967,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
