stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
11,pooled,True,seed11_solution061,0.6040683242861177,0.172390932857668,0.5770295202952029,23.90138888888889,6,0,2.5,0.6014104698305369,0.2859247772021078,0.5618081180811808,11.107843137254903,17,0.002657854455580755,-11.0,-0.1135338443444398,0.015221402214022128,12.793545751633985,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
12,pooled,True,seed12_solution034,0.5115261023292814,0.3000581461649487,0.4372693726937269,5.671807359307359,8,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.03690476190476,16,0.040179237942924106,-8.0,0.0798022604880107,-0.22693726937269376,-4.3650974025974,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
13,pooled,True,seed13_solution033,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9,0,1.25,0.7356071203629408,0.3191142592353044,0.4833948339483395,7.97039072039072,13,0.008660159762191921,-4.0,0.0054825046636076125,-0.06549815498154987,-0.020655270655269398,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
14,pooled,True,seed14_solution042,0.631159572968971,0.3163976865783416,0.4248154981549815,8.089528527028527,8,7,2.5,0.6212104767228048,0.2843410228959301,0.5622693726937269,11.771708683473392,17,0.009949096246166134,-9.0,0.0320566636824115,-0.1374538745387454,-3.682180156444865,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
15,pooled,True,seed15_solution030,0.6662808899248897,0.196940826649964,0.3920664206642066,6.6310356310356315,8,29,1.75,0.6484090670731918,0.3061187083849621,0.5202952029520295,8.181009070294785,14,0.01787182285169786,-6.0,-0.10917788173499807,-0.12822878228782286,-1.549973439259153,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
16,pooled,True,seed16_solution039,0.6034787015743198,0.282244527069348,0.4571033210332103,5.441818598068598,8,0,2.5,0.6014104698305369,0.2859247772021078,0.5618081180811808,11.107843137254903,17,0.0020682317437829,-9.0,-0.003680250132759799,-0.10470479704797053,-5.6660245391863056,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
17,pooled,True,seed17_solution037,0.7011661953230961,0.3008659800043571,0.4515682656826568,5.277792207792208,10,2,1.75,0.7072326344902382,0.3055102267466401,0.5216789667896679,8.767857142857142,14,0.0060664391671421125,-4.0,-0.004644246742282976,-0.07011070110701106,-3.490064935064934,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
18,pooled,True,seed18_solution034,0.835531691527718,0.3133921915210848,0.4285055350553505,6.866421911421912,10,22,1.0,0.8342524894126091,0.3153739055840741,0.4142066420664206,7.082885632885632,12,0.0012792021151089017,-2.0,-0.0019817140629893037,0.01429889298892989,-0.21646372146371995,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
19,pooled,True,seed19_solution030,0.5059278368978084,0.2663247538840703,0.4358856088560885,14.142612942612944,8,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.03690476190476,16,0.04577750337439712,-8.0,0.046068868207132296,-0.22832103321033215,4.105708180708184,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
20,pooled,True,seed20_solution038,0.7442672801251328,0.324596763898912,0.4178966789667896,7.94973544973545,9,0,1.25,0.7356071203629408,0.3191142592353044,0.4833948339483395,7.97039072039072,13,0.008660159762191921,-4.0,0.0054825046636076125,-0.06549815498154987,-0.020655270655269398,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
21,pooled,True,seed21_solution030,0.8524043017416241,0.324596763898912,0.4178966789667896,7.0977855477855485,10,29,1.0,0.8544899527716416,0.3125031913372638,0.4174354243542435,8.53566341066341,12,0.0020856510300175657,-2.0,0.012093572561648225,0.00046125461254609146,-1.437877862877862,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
22,pooled,True,seed22_solution037,0.8433772316463023,0.3145546893084243,0.4308118081180812,6.26741440377804,11,22,1.0,0.8342524894126091,0.3153739055840741,0.4142066420664206,7.082885632885632,12,0.009124742233693195,-1.0,-0.0008192162756497923,0.01660516605166057,-0.8154712291075921,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
23,pooled,True,seed23_solution055,0.5597130933657104,0.1908154802834928,0.4824723247232472,17.90077541506113,7,6,2.75,0.5597130933657104,0.2799045322095289,0.5701107011070111,11.566106442577032,17,0.0,-10.0,-0.08908905192603608,-0.08763837638376393,6.334668972484097,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
24,pooled,True,seed24_solution029,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11,0,1.0,0.8929931748074893,0.324596763898912,0.4178966789667896,6.5407774044137685,11,0.0,0.0,0.0,0.0,0.0,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
25,pooled,True,seed25_solution047,0.6860248665168998,0.3045667610735147,0.441420664206642,7.212802012802012,9,8,1.25,0.690163817289505,0.313341130124862,0.5055350553505535,7.716910866910867,13,0.004138950772605288,-4.0,-0.008774369051347264,-0.06411439114391154,-0.5041088541088552,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
26,pooled,True,seed26_solution052,0.4103502485081423,0.1414578326479759,0.5216789667896679,15.911111111111111,6,0,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.03690476190476,16,0.14135509176406325,-10.0,-0.07879805302896209,-0.1425276752767528,5.874206349206352,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
27,pooled,True,seed27_solution030,0.8051542752208253,0.2697474630996311,0.4372693726937269,7.028957708957708,10,22,1.0,0.8342524894126091,0.3153739055840741,0.4142066420664206,7.082885632885632,12,0.029098214191783822,-2.0,-0.045626442484442975,0.023062730627306294,-0.053927923927924226,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
28,pooled,True,seed28_solution041,0.7406711859015291,0.3217160501286746,0.422970479704797,7.104285714285714,10,0,1.25,0.7356071203629408,0.3191142592353044,0.4833948339483395,7.97039072039072,13,0.0050640655385882916,-3.0,0.002601790893370204,-0.06042435424354248,-0.8661050061050055,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
29,pooled,True,seed29_solution040,0.6906794421782311,0.3140104599270162,0.4285055350553505,7.350953984287319,9,8,1.25,0.690163817289505,0.313341130124862,0.5055350553505535,7.716910866910867,13,0.0005156248887260295,-4.0,0.0006693298021542282,-0.07702952029520305,-0.3659568826235482,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/stage2/cross_subject/operating_profile/canonical_operating_profile_metrics_per_seed.csv,1b483c1a5249de5542387b734f4b20209585cd410d4dc10efec72e0a3b130b09,recomputed_from_frozen_front_and_labels
