subject,seed,generation,hypervolume,best_so_far_hypervolume,front_solution_count
jpetstore,0,1,0.21162442169978557,0.21162442169978557,5
jpetstore,0,2,0.21162442169978557,0.21162442169978557,5
jpetstore,0,3,0.21268433291721253,0.21268433291721253,6
jpetstore,0,4,0.21286390476790973,0.21286390476790973,8
jpetstore,0,5,0.21935925990308913,0.21935925990308913,8
jpetstore,0,6,0.2380785657348672,0.2380785657348672,8
jpetstore,0,7,0.24318877680193415,0.24318877680193415,8
jpetstore,0,8,0.2522228321048226,0.2522228321048226,9
jpetstore,0,9,0.25682828891822723,0.25682828891822723,14
jpetstore,0,10,0.261687816808296,0.261687816808296,19
jpetstore,0,11,0.2655858769116035,0.2655858769116035,21
jpetstore,0,12,0.2659580287514777,0.2659580287514777,22
jpetstore,0,13,0.26748001541914584,0.26748001541914584,21
jpetstore,0,14,0.28101281458307287,0.28101281458307287,24
jpetstore,0,15,0.29318766807428925,0.29318766807428925,18
jpetstore,0,16,0.2953629268140717,0.2953629268140717,19
jpetstore,0,17,0.2968373079763107,0.2968373079763107,17
jpetstore,0,18,0.30377402020106425,0.30377402020106425,20
jpetstore,0,19,0.31374824554118197,0.31374824554118197,23
jpetstore,0,20,0.3161111514806297,0.3161111514806297,25
jpetstore,0,21,0.322559145507444,0.322559145507444,29
jpetstore,0,22,0.3236685958592052,0.3236685958592052,29
jpetstore,0,23,0.33676616537303405,0.33676616537303405,30
jpetstore,0,24,0.33745842159811645,0.33745842159811645,34
jpetstore,0,25,0.33791584810378295,0.33791584810378295,36
jpetstore,0,26,0.33863203975479683,0.33863203975479683,38
jpetstore,0,27,0.33864223168559665,0.33864223168559665,39
jpetstore,0,28,0.3386742467230855,0.3386742467230855,40
jpetstore,0,29,0.3393357551538347,0.3393357551538347,40
jpetstore,0,30,0.34331134519019824,0.34331134519019824,42
jpetstore,0,31,0.3440870531687762,0.3440870531687762,40
jpetstore,0,32,0.34432784544886513,0.34432784544886513,43
jpetstore,0,33,0.3468091992921127,0.3468091992921127,42
jpetstore,0,34,0.34775668977242996,0.34775668977242996,41
jpetstore,0,35,0.34873354479288243,0.34873354479288243,41
jpetstore,0,36,0.3489594339156484,0.3489594339156484,43
jpetstore,0,37,0.349048113106394,0.349048113106394,47
jpetstore,0,38,0.3495777711284566,0.3495777711284566,50
jpetstore,0,39,0.35565693607299176,0.35565693607299176,52
jpetstore,0,40,0.3563235377525324,0.3563235377525324,54
jpetstore,0,41,0.3610371268845323,0.3610371268845323,55
jpetstore,0,42,0.3620504917212609,0.3620504917212609,59
jpetstore,0,43,0.3687470807683096,0.3687470807683096,58
jpetstore,0,44,0.3688060857741569,0.3688060857741569,58
jpetstore,0,45,0.368820810709974,0.368820810709974,58
jpetstore,0,46,0.3691276276061941,0.3691276276061941,59
jpetstore,0,47,0.37675711146598273,0.37675711146598273,61
jpetstore,0,48,0.37697559326271696,0.37697559326271696,64
jpetstore,0,49,0.37923617834994794,0.37923617834994794,65
jpetstore,0,50,0.3792908329901683,0.3792908329901683,68
jpetstore,0,51,0.37957592065875884,0.37957592065875884,70
jpetstore,0,52,0.37994167282040153,0.37994167282040153,72
jpetstore,0,53,0.38031551174159034,0.38031551174159034,73
jpetstore,0,54,0.3805303107437051,0.3805303107437051,77
jpetstore,0,55,0.3805416530364011,0.3805416530364011,79
jpetstore,0,56,0.3805498662200777,0.3805498662200777,80
jpetstore,0,57,0.3823198274551191,0.3823198274551191,82
jpetstore,0,58,0.3824538157407172,0.3824538157407172,77
jpetstore,0,59,0.3824870994649378,0.3824870994649378,79
jpetstore,0,60,0.38260217833958116,0.38260217833958116,81
jpetstore,0,61,0.38260294177851933,0.38260294177851933,82
jpetstore,0,62,0.38284586919034513,0.38284586919034513,84
jpetstore,0,63,0.3833150254734772,0.3833150254734772,86
jpetstore,0,64,0.38346285155601434,0.38346285155601434,85
jpetstore,0,65,0.38407478091911795,0.38407478091911795,88
jpetstore,0,66,0.3843678093955153,0.3843678093955153,92
jpetstore,0,67,0.38450083816461694,0.38450083816461694,94
jpetstore,0,68,0.38450255578107567,0.38450255578107567,94
jpetstore,0,69,0.3845603979435908,0.3845603979435908,96
jpetstore,0,70,0.3847156991854669,0.3847156991854669,95
jpetstore,0,71,0.38478888882454165,0.38478888882454165,95
