seed,selected_stage2_imbalance,candidate_min_imbalance,candidate_max_imbalance,within_candidate_range,nearest_candidate_gap,nearest_candidate_resolution,nearest_candidate_stage2_feasible
0,0.6670818690439126,0.5517053402722055,1.96643243783606,True,0.02591313745446311,1.5,True
1,0.731238580191551,0.5517053402722055,1.96643243783606,True,0.004368540171389879,1.25,True
2,0.7044586680224328,0.5719813732537403,1.96643243783606,True,0.0027739664678053666,1.75,True
3,0.4769518739533788,0.5719813732537403,1.96643243783606,False,0.09502949930036153,2.75,True
4,0.7827346608562845,0.5719813732537403,1.96643243783606,True,0.04712754049334367,1.25,True
5,0.6998957355091098,0.5517053402722055,1.96643243783606,True,0.006900729010734019,1.5,True
6,0.335933845561601,0.5597130933657104,1.96643243783606,False,0.2237792478041094,2.75,True
7,0.5027514186594048,0.5517053402722055,1.96643243783606,False,0.048953921612800766,2.75,True
8,0.6960704432338384,0.5517053402722055,1.96643243783606,True,0.003075436735462622,1.5,True
9,0.7089922350209786,0.5517053402722055,1.96643243783606,True,0.01599722852260288,1.5,True
10,0.6220694913899825,0.5719813732537403,1.96643243783606,True,0.011844524265596457,2.0,True
11,0.9358186239726222,0.5517053402722055,1.96643243783606,True,0.04282544916513287,1.0,True
12,0.5228832626623026,0.5719813732537403,1.96643243783606,False,0.04909811059143776,2.75,True
13,0.5552429799834777,0.5517053402722055,1.96643243783606,True,0.003537639711272189,2.75,True
14,0.653331686535124,0.5517053402722055,1.96643243783606,True,0.039663319963251786,1.5,True
15,0.8095636963367899,0.5517053402722055,1.96643243783606,True,0.07395657597384908,1.25,True
16,0.6426183534311849,0.5719813732537403,1.96643243783606,True,0.03239338630679889,2.0,True
17,0.8312600291287053,0.5517053402722055,1.96643243783606,True,0.06173314567878396,1.0,True
18,0.4180852793615158,0.5719813732537403,1.96643243783606,False,0.15389609389222453,2.75,True
19,0.4059893356858493,0.5517053402722055,1.96643243783606,False,0.14571600458635625,3.0,True
20,0.4116495137598382,0.5517053402722055,1.96643243783606,False,0.1400558265123673,2.75,True
21,0.5987408170800917,0.5517053402722055,1.96643243783606,True,0.002669652750445173,2.5,True
22,0.6203502725574942,0.5517053402722055,1.96643243783606,True,0.01012530543310819,2.0,True
23,0.8482176148297745,0.5517053402722055,1.96643243783606,True,0.04477555997771476,1.0,True
24,0.52729013632008,0.5719813732537403,1.96643243783606,False,0.04469123693366028,3.0,True
25,0.6525138288977578,0.5719813732537403,1.96643243783606,True,0.04048117760061798,1.75,True
26,0.2467301288796607,0.5517053402722055,1.96643243783606,False,0.3049752113925448,3.0,True
27,1.0861764501603213,0.5719813732537403,1.96643243783606,True,0.10504574739927097,0.75,True
28,0.3692525620902061,0.5719813732537403,1.96643243783606,False,0.2027288111635342,2.75,True
29,0.6574057128371451,0.5552429799834778,1.96643243783606,True,0.008996645763953315,1.75,True
