subject,seed,n_structural_candidates,has_structural_candidate,leiden_coupling,leiden_cohesion,leiden_imbalance,leiden_weighted_modularity,leiden_cluster_count,leiden_singleton_count,leiden_singleton_ratio,leiden_max_cluster_size,leiden_max_cluster_ratio,current_selected_solution_id,current_selected_coupling,current_selected_cohesion,current_selected_imbalance,current_selected_weighted_modularity,current_selected_cluster_count,current_selected_singleton_count,current_selected_singleton_ratio,current_selected_max_cluster_size,current_selected_max_cluster_ratio,structural_solution_id,structural_coupling,structural_cohesion,structural_imbalance,structural_weighted_modularity,structural_cluster_count,structural_singleton_count,structural_singleton_ratio,structural_max_cluster_size,structural_max_cluster_ratio,structural_is_injected_seed,modularity_minus_leiden,modularity_loss_vs_leiden,modularity_minus_current_selected,coupling_minus_current_selected,cohesion_minus_current_selected,imbalance_minus_current_selected,same_as_current_selected,structural_mojofm_vs_reference,structural_pairwise_f1,structural_reference_coverage_ratio,structural_ari_vs_reference,structural_nmi_vs_reference,structural_pairwise_precision,structural_pairwise_recall,current_selected_mojofm_vs_reference,current_selected_pairwise_f1,current_selected_reference_coverage_ratio,current_selected_ari_vs_reference,current_selected_nmi_vs_reference,current_selected_pairwise_precision,current_selected_pairwise_recall
daytrader,0,4,True,0.4178966789667896,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.0754716981132075,13,0.2452830188679245,seed0_solution039,0.4225092250922509,7.351755651755651,0.6670818690439126,0.3216794561280484,9,1,0.0188679245283018,12,0.2264150943396226,seed0_solution037,0.4059040590405904,8.849517149517151,0.7551885319316793,0.1615305993927097,11.0,0.0,0.0,13.0,0.24528301886792453,False,-0.16306616450620232,0.16306616450620232,-0.16014885673533868,-0.016605166051660514,1.4977614977615001,0.0881066628877667,False,19.565217391304344,0.11864406779661019,1.0,-0.011204877085038532,0.35181840340067005,0.1206896551724138,0.11666666666666667,30.434782608695656,0.21108179419525067,1.0,0.08565937748267949,0.43191756436883844,0.20100502512562815,0.2222222222222222
daytrader,1,0,False,0.4178966789667896,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.0754716981132075,13,0.2452830188679245,seed1_solution029,0.4303505535055351,5.668242251575585,0.731238580191551,0.3144780972140901,9,2,0.0377358490566037,13,0.2452830188679245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daytrader,2,2,True,0.4178966789667896,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.0754716981132075,13,0.2452830188679245,seed2_solution042,0.4178966789667896,7.772061272061273,0.7044586680224328,0.324596763898912,9,1,0.0188679245283018,13,0.2452830188679245,seed2_solution042,0.4178966789667896,7.772061272061273,0.7044586680224328,0.324596763898912,9.0,1.0,0.018867924528301886,13.0,0.24528301886792453,False,0.0,0.0,0.0,0.0,0.0,0.0,True,26.086956521739136,0.19121447028423774,1.0,0.05983878491431361,0.41561892771707537,0.178743961352657,0.20555555555555555,26.086956521739136,0.19121447028423774,1.0,0.05983878491431361,0.41561892771707537,0.178743961352657,0.20555555555555555
daytrader,3,2,True,0.4178966789667896,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.0754716981132075,13,0.2452830188679245,seed3_solution047,0.4515682656826568,5.040611471861472,0.4769518739533788,0.2915974855666451,8,0,0.0,12,0.2264150943396226,seed3_solution040,0.4160516605166052,9.545238095238094,0.7917786889946146,0.1131074816859793,10.0,1.0,0.018867924528301886,16.0,0.3018867924528302,False,-0.21148928221293273,0.21148928221293273,-0.17849000388066583,-0.035516605166051596,4.504626623376622,0.3148268150412358,False,28.260869565217394,0.1518324607329843,1.0,0.015879173683421642,0.3709886539222109,0.14356435643564355,0.16111111111111112,26.086956521739136,0.18970189701897017,1.0,0.06452608970080055,0.4155966830295237,0.18518518518518517,0.19444444444444445
daytrader,4,1,True,0.4178966789667896,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.0754716981132075,13,0.2452830188679245,seed4_solution036,0.4220479704797047,6.9924525474525465,0.7827346608562845,0.3202020797306681,10,2,0.0377358490566037,13,0.2452830188679245,seed4_solution035,0.4146678966789668,7.8375,0.8342524894126091,0.0946841044171512,12.0,0.0,0.0,16.0,0.3018867924528302,False,-0.22991265948176082,0.22991265948176082,-0.22551797531351692,-0.007380073800737907,0.8450474525474538,0.051517828556324585,False,23.913043478260864,0.09659090909090909,1.0,-0.03561030023444,0.3730444044473814,0.09883720930232558,0.09444444444444444,23.913043478260864,0.17368421052631577,1.0,0.04195376848817642,0.4016084860897256,0.165,0.18333333333333332
daytrader,5,0,False,0.4178966789667896,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.0754716981132075,13,0.2452830188679245,seed5_solution036,0.422970479704797,7.744797178130511,0.6998957355091098,0.2639563561226019,9,1,0.0188679245283018,15,0.2830188679245283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daytrader,6,2,True,0.4178966789667896,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.0754716981132075,13,0.2452830188679245,seed6_solution069,0.613929889298893,13.658417508417507,0.335933845561601,0.1629220224397815,6,0,0.0,12,0.2264150943396226,seed6_solution039,0.41190036900369,11.02438271604938,0.7696633228064581,0.1377651362998871,9.0,1.0,0.018867924528301886,16.0,0.3018867924528302,False,-0.1868316275990249,0.1868316275990249,-0.02515688613989439,-0.20202952029520305,-2.6340347923681264,0.4337294772448571,False,15.217391304347828,0.11940298507462686,1.0,-0.02906108396830621,0.32802386367600833,0.10810810810810811,0.13333333333333333,23.913043478260864,0.16908212560386474,1.0,0.02513100203186824,0.2907157518727903,0.14957264957264957,0.19444444444444445
daytrader,7,3,True,0.4178966789667896,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.0754716981132075,13,0.2452830188679245,seed7_solution046,0.5027675276752768,6.024138207471541,0.5027514186594048,0.2542787322476545,9,0,0.0,11,0.2075471698113207,seed7_solution034,0.3962177121771217,7.427838827838828,0.8245952220155531,0.1111793820890238,13.0,1.0,0.018867924528301886,15.0,0.2830188679245283,False,-0.21341738180988823,0.21341738180988823,-0.14309935015863073,-0.10654981549815506,1.403700620367287,0.3218438033561484,False,23.913043478260864,0.10149253731343283,1.0,-0.02204864105660006,0.4029758451995563,0.10967741935483871,0.09444444444444444,19.565217391304344,0.1489971346704871,1.0,0.025747354088011383,0.38585995804470585,0.15384615384615385,0.14444444444444443
daytrader,8,0,False,0.4077490774907749,6.322857950130677,0.8797391114622466,0.3222938949292629,11,4,0.0754716981132075,13,0.2452830188679245,seed8_solution044,0.4428044280442804,7.055858585858585,0.6960704432338384,0.3016022215111449,10,1,0.0188679245283018,12,0.2264150943396226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daytrader,9,2,True,0.4178966789667896,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.0754716981132075,13,0.2452830188679245,seed9_solution045,0.4349630996309963,7.509518876185543,0.7089922350209786,0.3093188750153183,9,1,0.0188679245283018,13,0.2452830188679245,seed9_solution038,0.3837638376383764,9.34529411764706,0.7917786889946146,0.1205025547718578,10.0,1.0,0.018867924528301886,17.0,0.32075471698113206,False,-0.20409420912705423,0.20409420912705423,-0.1888163202434605,-0.05119926199261987,1.8357752414615165,0.08278645397363593,False,17.391304347826086,0.10471204188481677,1.0,-0.03879420555638827,0.33886102953358915,0.09900990099009901,0.1111111111111111,23.913043478260864,0.1752577319587629,1.0,0.04094096358289979,0.39400921669758393,0.16346153846153846,0.18888888888888888
