stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,stage2_singleton_ratio,stage2_max_cluster_ratio,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,leiden_singleton_ratio,leiden_max_cluster_ratio,leiden_stage2_feasible,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion
0,same_seed_cluster_count_delta_le_1,True,seed0_solution039,0.6670818690439126,0.3216794561280484,0.4225092250922509,7.351755651755651,9.0,0.0188679245283018,0.2264150943396226,0.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.07547169811320754,0.32075471698113206,True,0.44292311813214225,-1.0,0.015871477614684104,0.09594095940959407,1.0452850635203568
1,same_seed_cluster_count_delta_le_1,True,seed1_solution029,0.731238580191551,0.3144780972140901,0.4303505535055351,5.668242251575585,9.0,0.0377358490566037,0.2452830188679245,1.0,0.75,1.184478952129774,0.30044706379951247,0.3118081180811808,6.9185672514619885,10.0,0.07547169811320754,0.3584905660377358,True,0.4532403719382231,-1.0,0.01403103341457762,0.11854243542435428,-1.2503249998864039
2,same_seed_cluster_count_delta_le_1,True,seed2_solution042,0.7044586680224328,0.324596763898912,0.4178966789667896,7.772061272061273,9.0,0.0188679245283018,0.2452830188679245,2.0,0.75,1.1912221975595922,0.30746970782669064,0.32795202952029523,5.494911707373008,9.0,0.07547169811320754,0.37735849056603776,True,0.4867635295371594,0.0,0.01712705607222137,0.08994464944649438,2.2771495646882647
3,same_seed_cluster_count_delta_le_1,True,seed3_solution047,0.4769518739533788,0.2915974855666451,0.4515682656826568,5.040611471861472,8.0,0.0,0.2264150943396226,3.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.07547169811320754,0.37735849056603776,True,0.7771620398491771,-1.0,-0.012525573249274835,0.13514760147601473,-1.2158537653055204
4,same_seed_cluster_count_delta_le_1,True,seed4_solution036,0.7827346608562845,0.3202020797306681,0.4220479704797047,6.9924525474525465,10.0,0.0377358490566037,0.2452830188679245,4.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.07547169811320754,0.24528301886792453,True,0.11025851395120478,-1.0,-0.004394684168243901,0.004151291512915045,0.451675143038778
5,same_seed_cluster_count_delta_le_1,True,seed5_solution036,0.6998957355091098,0.2639563561226019,0.422970479704797,7.744797178130511,9.0,0.0188679245283018,0.2830188679245283,5.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.07547169811320754,0.32075471698113206,True,0.4101092516669451,-1.0,-0.0418516223907624,0.09640221402214016,1.4383265898952171
6,same_seed_cluster_count_delta_le_1,True,seed6_solution069,0.335933845561601,0.1629220224397815,0.613929889298893,13.658417508417507,6.0,0.0,0.2264150943396226,6.0,0.25,1.96643243783606,0.036333161993981615,0.0009225092250922509,4.892479613409846,7.0,0.07547169811320754,0.8301886792452831,False,1.630498592274459,-1.0,0.12658886044579987,0.6130073800738007,8.76593789500766
7,same_seed_cluster_count_delta_le_1,True,seed7_solution046,0.5027514186594048,0.2542787322476545,0.5027675276752768,6.024138207471541,9.0,0.0,0.2075471698113207,7.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.07547169811320754,0.32075471698113206,True,0.6072535685166501,-1.0,-0.05152924626570976,0.17619926199261993,-0.2823323807637532
8,same_seed_cluster_count_delta_le_1,True,seed8_solution044,0.6960704432338384,0.3016022215111449,0.4428044280442804,7.055858585858585,10.0,0.0188679245283018,0.2264150943396226,8.0,1.0,0.8797391114622466,0.3222938949292629,0.4077490774907749,6.322857950130677,11.0,0.07547169811320754,0.24528301886792453,True,0.18366866822840822,-1.0,-0.020691673418118006,0.035055350553505504,0.7330006357279082
9,same_seed_cluster_count_delta_le_1,True,seed9_solution045,0.7089922350209786,0.3093188750153183,0.4349630996309963,7.509518876185543,9.0,0.0188679245283018,0.2452830188679245,9.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.07547169811320754,0.32075471698113206,True,0.40101275215507626,-1.0,0.0035108965019540195,0.10839483394833943,1.2030482879502484
10,same_seed_cluster_count_delta_le_1,True,seed10_solution034,0.6220694913899825,0.2952269934369086,0.4547970479704797,6.240295121545122,8.0,0.0188679245283018,0.2452830188679245,10.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.07547169811320754,0.37735849056603776,True,0.6320444224125734,-1.0,-0.008896065379011331,0.13837638376383765,-0.016170115621870096
11,same_seed_cluster_count_delta_le_1,True,seed11_solution037,0.9358186239726222,0.316515234167563,0.415590405904059,6.772379136015499,11.0,0.0754716981132075,0.2641509433962264,11.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.07547169811320754,0.24528301886792453,True,0.04282544916513287,0.0,-0.008081529731349013,-0.0023062730627306793,0.2316017316017307
12,same_seed_cluster_count_delta_le_1,True,seed12_solution041,0.5228832626623026,0.2774492236965729,0.4663284132841328,7.500559757702613,7.0,0.0,0.2641509433962264,12.0,0.5,1.9106976204879758,0.09660858716520754,0.03505535055350553,5.83798076923077,8.0,0.07547169811320754,0.7547169811320755,False,1.3878143578256732,-1.0,0.18084063653136534,0.43127306273062727,1.662578988471843
13,same_seed_cluster_count_delta_le_1,True,seed13_solution041,0.5552429799834777,0.2799032556746231,0.4460332103321033,5.716221873364731,7.0,0.0,0.2641509433962264,13.0,0.25,1.96643243783606,0.036333161993981615,0.0009225092250922509,4.892479613409846,7.0,0.07547169811320754,0.8301886792452831,False,1.4111894578525823,0.0,0.24357009368064148,0.44511070110701106,0.8237422599548845
14,same_seed_cluster_count_delta_le_1,True,seed14_solution036,0.653331686535124,0.3233561847265152,0.4188191881918819,8.68452380952381,8.0,0.0,0.2452830188679245,14.0,0.5,1.9106976204879758,0.09660858716520754,0.03505535055350553,5.83798076923077,8.0,0.07547169811320754,0.7547169811320755,False,1.2573659339528518,0.0,0.22674759756130763,0.3837638376383764,2.8465430402930405
15,same_seed_cluster_count_delta_le_1,True,seed15_solution035,0.8095636963367899,0.1426988373320081,0.415590405904059,4.4393939393939394,10.0,0.0,0.2830188679245283,15.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.07547169811320754,0.24528301886792453,True,0.08342947847069937,-1.0,-0.1818979265669039,-0.0023062730627306793,-2.101383465019829
16,same_seed_cluster_count_delta_le_1,True,seed16_solution042,0.6426183534311849,0.3126535033223947,0.4358856088560885,7.639658489658491,9.0,0.0377358490566037,0.2075471698113207,16.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.07547169811320754,0.32075471698113206,True,0.46738663374487,-1.0,0.0068455248090304455,0.10931734317343167,1.333187901423197
17,same_seed_cluster_count_delta_le_1,True,seed17_solution038,0.8312600291287053,0.324596763898912,0.4178966789667896,7.0012043512043505,10.0,0.0566037735849056,0.2452830188679245,17.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.07547169811320754,0.24528301886792453,True,0.06173314567878396,-1.0,0.0,-5.551115123125783e-17,0.46042694679058194
18,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,,,,,
19,same_seed_cluster_count_delta_le_1,True,seed19_solution053,0.4059893356858493,0.1722984904549228,0.5046125461254612,5.080898268398268,8.0,0.0,0.2075471698113207,19.0,0.5,1.9106976204879758,0.09660858716520754,0.03505535055350553,5.83798076923077,8.0,0.07547169811320754,0.7547169811320755,False,1.5047082848021265,0.0,0.07568990328971525,0.46955719557195574,-0.7570825008325013
20,same_seed_cluster_count_delta_le_1,True,seed20_solution049,0.4116495137598382,0.269597257492409,0.5009225092250923,5.951851851851852,9.0,0.0,0.1886792452830188,20.0,0.75,1.184478952129774,0.30044706379951247,0.3118081180811808,6.9185672514619885,10.0,0.07547169811320754,0.3584905660377358,True,0.7728294383699359,-1.0,-0.03084980630710349,0.1891143911439115,-0.9667153996101367
21,same_seed_cluster_count_delta_le_1,True,seed21_solution036,0.5987408170800917,0.2908870938916955,0.4363468634686346,7.234480103230103,8.0,0.0,0.2641509433962264,21.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.07547169811320754,0.37735849056603776,True,0.6553730967224641,-1.0,-0.013235964924224464,0.11992619926199255,0.9780148660631109
22,same_seed_cluster_count_delta_le_1,True,seed22_solution044,0.6203502725574942,0.2107927196661266,0.445110701107011,6.386263736263737,10.0,0.0,0.2452830188679245,22.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.07547169811320754,0.37735849056603776,True,0.6337636412450617,1.0,-0.09333033914979336,0.12869003690036895,0.12979849909674446
23,same_seed_cluster_count_delta_le_1,True,seed23_solution029,0.8482176148297745,0.324596763898912,0.4178966789667896,7.154761904761905,10.0,0.0566037735849056,0.2452830188679245,23.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.07547169811320754,0.24528301886792453,True,0.04477555997771476,-1.0,0.0,-5.551115123125783e-17,0.6139845003481366
24,same_seed_cluster_count_delta_le_1,True,seed24_solution051,0.52729013632008,0.1252555197369319,0.4432656826568266,5.611212121212121,10.0,0.0,0.2075471698113207,24.0,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11.0,0.07547169811320754,0.24528301886792453,True,0.36570303848740926,-1.0,-0.19934124416198012,0.025369003690036918,-0.9295652832016472
25,same_seed_cluster_count_delta_le_1,True,seed25_solution039,0.6525138288977578,0.3223032561852371,0.4215867158671587,6.044011544011544,9.0,0.0188679245283018,0.2264150943396226,25.0,0.75,1.2541139138025559,0.30412305881591994,0.31642066420664205,6.256465237166992,9.0,0.07547169811320754,0.37735849056603776,True,0.6016000849047981,0.0,0.01818019736931714,0.10516605166051662,-0.2124536931554486
26,same_seed_cluster_count_delta_le_1,False,,,,,,,,,,,,,,,,,,,,,,,
27,same_seed_cluster_count_delta_le_1,True,seed27_solution043,1.0861764501603213,0.1368551796680328,0.4838560885608856,21.135315664727425,13.0,0.0754716981132075,0.3396226415094339,27.0,1.25,0.7356071203629408,0.31911425923530445,0.4833948339483395,7.9703907203907205,13.0,0.07547169811320754,0.18867924528301888,True,0.3505693297973804,0.0,-0.18225907956727166,0.00046125461254609146,13.164924944336704
28,same_seed_cluster_count_delta_le_1,True,seed28_solution057,0.3692525620902061,0.2221943039310469,0.518450184501845,5.208134920634921,8.0,0.0,0.1886792452830188,28.0,0.5,1.9106976204879758,0.09660858716520754,0.03505535055350553,5.83798076923077,8.0,0.07547169811320754,0.7547169811320755,False,1.5414450583977697,0.0,0.12558571676583935,0.4833948339483395,-0.6298458485958491
29,same_seed_cluster_count_delta_le_1,True,seed29_solution059,0.6574057128371451,0.1658814558625291,0.5465867158671587,15.189810806477473,9.0,0.0,0.2264150943396226,29.0,0.75,1.110004987176055,0.3058079785133643,0.32656826568265684,6.306470588235294,10.0,0.07547169811320754,0.32075471698113206,True,0.4525992743389098,-1.0,-0.1399265226508352,0.22001845018450183,8.883340218242179
