metric_left,metric_right,pooled_spearman_rho,pooled_n,selected_spearman_rho,selected_n,defined_seed_count,median_seed_rho,min_seed_rho,max_seed_rho,seed_rho_iqr,positive_seed_count,negative_seed_count,zero_seed_count
weighted_modularity,coupling,-0.20297596031968498,2994,-0.5371339527785218,30,30,-0.24932527916694144,-0.5858978628907865,0.15607748068064592,0.21301754138408882,7,23,0
weighted_modularity,imbalance,0.20602593395082444,2994,0.4934342799122649,30,30,0.22932980495441896,-0.19929611487384985,0.7048227112200774,0.23849360322048263,25,5,0
coupling,imbalance,-0.7563701021670496,2994,-0.6085699328488771,30,30,-0.7830654040235182,-0.9191552177854887,-0.4390898126057921,0.06226423380452617,0,30,0
weighted_modularity,cohesion,0.17254309595957165,2994,0.20409527951265086,30,30,0.18950851764354465,-0.23770777077707772,0.5878427842784277,0.28728616241882415,24,6,0
coupling,cohesion,0.6523978168903679,2994,-0.0531997856440679,30,30,0.6734384466599652,0.44891493174574326,0.8766021795072273,0.1244026699912335,30,0,0
imbalance,cohesion,-0.16726704434684198,2994,0.3325917686318131,30,30,-0.17772462718182225,-0.41737925078164706,0.08357135999833763,0.13158068717340277,2,28,0
