metric,raw,ssa,delta
cluster_count,31.0,30.0,-1.0
modularity,0.6615191429343901,0.6442682286279218,-0.0172509143064683
average_cluster_size,26.258064516129032,27.133333333333333,0.8752688172043008
max_cluster_size,118.0,153.0,35.0
min_cluster_size,1.0,1.0,0.0
max_cluster_ratio,0.14496314496314497,0.18796068796068796,0.04299754299754299
singleton_ratio,0.013513513513513514,0.013513513513513514,0.0
internal_external_edge_ratio,3.789285222421154,3.656592520954223,-0.1326927014669308
internal_edge_weight_ratio,0.7912005751258088,0.7852506966198792,-0.00594987850592954
