subject,seed,solution_id,baseline_profile,ari,nmi,changed_class_count,changed_partition_ratio
xerces-j,0,seed0_solution000,raw_reference_leiden,0.0839161138690649,0.4719905437752316,752,0.9238329238329238
xerces-j,0,seed0_solution001,raw_reference_leiden,0.08383473878153111,0.4713150316588605,752,0.9238329238329238
xerces-j,0,seed0_solution002,raw_reference_leiden,0.08244904169162656,0.46875028345816405,754,0.9262899262899262
xerces-j,0,seed0_solution003,raw_reference_leiden,0.07931668862495844,0.4529852607897364,791,0.9717444717444718
xerces-j,0,seed0_solution004,raw_reference_leiden,0.07785532819732609,0.451358792522819,791,0.9717444717444718
xerces-j,0,seed0_solution005,raw_reference_leiden,0.07948953377995918,0.4532986364643745,791,0.9717444717444718
xerces-j,0,seed0_solution006,raw_reference_leiden,0.07674928417839857,0.43523676933814565,796,0.9778869778869779
xerces-j,0,seed0_solution007,raw_reference_leiden,0.07689543108926268,0.44263670042433323,791,0.9717444717444718
xerces-j,0,seed0_solution008,raw_reference_leiden,0.07688298270880062,0.44534319659021354,790,0.9705159705159705
xerces-j,0,seed0_solution009,raw_reference_leiden,0.07669464808687569,0.44101800803730556,808,0.9926289926289926
xerces-j,0,seed0_solution010,raw_reference_leiden,0.07739330145606309,0.4455451569244848,811,0.9963144963144963
xerces-j,0,seed0_solution011,raw_reference_leiden,0.07353154206459028,0.411543435191078,808,0.9926289926289926
xerces-j,0,seed0_solution012,raw_reference_leiden,0.07282501986377724,0.41431129464732785,810,0.995085995085995
xerces-j,0,seed0_solution013,raw_reference_leiden,0.07344305105609818,0.41500440166190977,812,0.9975429975429976
xerces-j,0,seed0_solution014,raw_reference_leiden,0.07373722421165749,0.409185802002662,810,0.995085995085995
xerces-j,0,seed0_solution015,raw_reference_leiden,0.07266484854314557,0.41074427946509173,811,0.9963144963144963
xerces-j,0,seed0_solution016,raw_reference_leiden,0.07211552588600595,0.4101055833303565,811,0.9963144963144963
xerces-j,0,seed0_solution017,raw_reference_leiden,0.9980764891050817,0.9977301117617263,102,0.12530712530712532
xerces-j,0,seed0_solution018,raw_reference_leiden,0.9940260482162784,0.9927583970790822,262,0.32186732186732187
xerces-j,0,seed0_solution019,raw_reference_leiden,0.9882717331639861,0.988147560503599,453,0.5565110565110565
xerces-j,0,seed0_solution020,raw_reference_leiden,0.9700840897951866,0.9739175766456777,560,0.687960687960688
xerces-j,0,seed0_solution021,raw_reference_leiden,0.9730905304224959,0.9691435198273172,399,0.49017199017199015
xerces-j,0,seed0_solution022,raw_reference_leiden,0.95580163707426,0.9438928850412581,652,0.800982800982801
