subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_distribution
xerces-j,0,seed0_solution000,0.10794913134192344,0.8712005751258087,6.764009823621344,155,5.251612903225807,325,1,0.39926289926289926,0.14496314496314497,"{""1"": 118, ""10"": 1, ""11"": 2, ""12"": 1, ""15"": 1, ""180"": 1, ""2"": 17, ""23"": 1, ""24"": 1, ""3"": 3, ""325"": 1, ""4"": 2, ""5"": 3, ""6"": 2, ""7"": 1}"
xerces-j,0,seed0_solution001,0.10783426991116879,0.8710855499640546,6.757082310952487,155,5.251612903225807,325,1,0.39926289926289926,0.14373464373464373,"{""1"": 117, ""10"": 1, ""11"": 2, ""12"": 1, ""15"": 1, ""180"": 1, ""2"": 18, ""23"": 1, ""24"": 1, ""3"": 3, ""325"": 1, ""4"": 2, ""5"": 4, ""6"": 1, ""7"": 1}"
xerces-j,0,seed0_solution002,0.1071197093774717,0.8642990654205608,6.369146005509642,152,5.355263157894737,321,1,0.39434889434889436,0.13267813267813267,"{""1"": 108, ""10"": 1, ""11"": 2, ""12"": 1, ""15"": 1, ""180"": 1, ""2"": 23, ""23"": 1, ""24"": 1, ""3"": 4, ""321"": 1, ""4"": 2, ""5"": 3, ""6"": 3}"
xerces-j,0,seed0_solution003,0.10313717070971865,0.864155283968368,6.361346316680779,146,5.575342465753424,324,1,0.39803439803439805,0.11547911547911548,"{""1"": 94, ""10"": 1, ""11"": 1, ""12"": 1, ""180"": 1, ""19"": 1, ""2"": 25, ""24"": 1, ""3"": 6, ""324"": 1, ""4"": 3, ""5"": 7, ""6"": 3, ""7"": 1}"
xerces-j,0,seed0_solution004,0.10104058368447015,0.8620560747663552,6.249322493224932,141,5.773049645390071,324,1,0.39803439803439805,0.0945945945945946,"{""1"": 77, ""10"": 1, ""11"": 1, ""12"": 2, ""180"": 1, ""2"": 35, ""24"": 1, ""3"": 10, ""324"": 1, ""4"": 2, ""5"": 5, ""6"": 4, ""7"": 1}"
xerces-j,0,seed0_solution005,0.10326595795813344,0.8619122933141625,6.241774260724698,146,5.575342465753424,323,1,0.3968058968058968,0.11547911547911548,"{""1"": 94, ""10"": 1, ""11"": 1, ""12"": 1, ""180"": 1, ""19"": 1, ""2"": 24, ""24"": 1, ""3"": 7, ""323"": 1, ""4"": 3, ""5"": 7, ""6"": 3, ""7"": 1}"
xerces-j,0,seed0_solution006,0.09862803428220748,0.8596117900790798,6.123105284719378,133,6.120300751879699,324,1,0.39803439803439805,0.07985257985257985,"{""1"": 65, ""10"": 2, ""11"": 1, ""12"": 1, ""178"": 1, ""2"": 34, ""24"": 1, ""3"": 12, ""324"": 1, ""4"": 5, ""5"": 7, ""6"": 2, ""9"": 1}"
xerces-j,0,seed0_solution007,0.101485154694264,0.856764917325665,5.9815298132905035,138,5.898550724637682,321,1,0.39434889434889436,0.08845208845208845,"{""1"": 72, ""10"": 1, ""11"": 1, ""12"": 1, ""13"": 1, ""180"": 1, ""2"": 31, ""24"": 1, ""3"": 14, ""321"": 1, ""4"": 5, ""5"": 7, ""6"": 2}"
xerces-j,0,seed0_solution008,0.1019272279793903,0.8530265995686557,5.8039522598317355,138,5.898550724637682,318,1,0.3906633906633907,0.085995085995086,"{""1"": 70, ""10"": 1, ""11"": 1, ""12"": 2, ""180"": 1, ""2"": 35, ""24"": 1, ""3"": 11, ""318"": 1, ""4"": 7, ""5"": 5, ""6"": 1, ""7"": 1, ""8"": 1}"
xerces-j,0,seed0_solution009,0.08968611837109904,0.8528253055355859,5.794646346228996,129,6.310077519379845,325,1,0.39926289926289926,0.07616707616707617,"{""1"": 62, ""10"": 1, ""12"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""180"": 1, ""2"": 33, ""3"": 12, ""325"": 1, ""4"": 6, ""5"": 5, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}"
xerces-j,0,seed0_solution010,0.08957866246037427,0.8508411214953271,5.704260651629073,126,6.4603174603174605,324,1,0.39803439803439805,0.06633906633906633,"{""1"": 54, ""10"": 2, ""11"": 1, ""12"": 1, ""13"": 1, ""18"": 1, ""180"": 1, ""2"": 40, ""3"": 11, ""324"": 1, ""4"": 6, ""5"": 3, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}"
xerces-j,0,seed0_solution011,0.08596501841714886,0.84862688713156,5.606193009118541,128,6.359375,324,1,0.39803439803439805,0.06511056511056511,"{""1"": 53, ""10"": 1, ""11"": 1, ""12"": 1, ""179"": 1, ""2"": 34, ""3"": 20, ""324"": 1, ""4"": 6, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 3, ""9"": 2}"
xerces-j,0,seed0_solution012,0.08717847640242016,0.8480517613227894,5.581188493565481,125,6.512,324,1,0.39803439803439805,0.052825552825552825,"{""1"": 43, ""10"": 1, ""11"": 1, ""13"": 1, ""179"": 1, ""2"": 44, ""3"": 18, ""324"": 1, ""4"": 5, ""5"": 1, ""6"": 1, ""7"": 5, ""8"": 1, ""9"": 2}"
xerces-j,0,seed0_solution013,0.08905965710552256,0.8475629043853343,5.560083003206942,120,6.783333333333333,323,1,0.3968058968058968,0.042997542997543,"{""1"": 35, ""10"": 1, ""11"": 1, ""17"": 1, ""179"": 1, ""2"": 32, ""3"": 31, ""323"": 1, ""4"": 9, ""5"": 5, ""6"": 2, ""9"": 1}"
