subject,stage,seed,source_kind,front_path,label_path,front_sha256,label_sha256,front_rows,label_rows,class_count,class_mapping_path,class_mapping_sha256,provenance_status
jpetstore,stage2,11,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_11/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_11/pareto_labels.csv.xz,b350a1bceb3bff51c2763596e594784032dbd3dbc4e986425afa328fe84f9a3e,9f594fe7bf87b18eba855b8384333f56304bb5d6ec9f4f0c68f63905b8aa5456,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,12,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_12/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_12/pareto_labels.csv.xz,a747307c4dbf6637b39265d0280158b293dbbeaeb690d509b3715c43873df5f3,cd6aa3a62c66e937fc45a764419378ebd77145c454ae2f9bea71bfd75eafa2b7,97,2328,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,13,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_13/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_13/pareto_labels.csv.xz,96f4e7291517256be41c73ef5fca1b6dd25cd94b7451489c5bd9e77e35b4f02c,1d4f0d3d24adb261ae6ced1e1e4c30b8cf6b60040f1a7271f2cf34a56b7d4b7a,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,14,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_14/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_14/pareto_labels.csv.xz,4f843a9cc37642e1832422c6a4e2356d3d085748a82f0f50c107ff9887416742,55df1e027ff18b9b16d27d737752b8b6843e217e279cd996892610f26d1305b5,89,2136,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,15,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_15/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_15/pareto_labels.csv.xz,08e39a659889f76664285c21825520d14cfe571552a687801a4b8675bedbb199,124416e9736d8cddb4d945619f84a240d7c1e05c6e7ec0454b242de18098c3a1,76,1824,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,16,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_16/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_16/pareto_labels.csv.xz,4164296fd44cdfe3c50c31d480a45076ded25d0dd08044d6c98f08b3fa0dd428,3a6194582ff2764e70d9b9b8f7d05ddd1a4c0a3d4fa33144414d806b0d73e76c,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,17,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_17/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_17/pareto_labels.csv.xz,9346ecaae9fc86104a0c6acf5454a14187773a8d999bffe11c7a586ff6a4a763,e5ae26ad474001eaf7bb6785109f28042475eb5c97b4322caab1875a219dc419,87,2088,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,18,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_18/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_18/pareto_labels.csv.xz,74db15b711c27e506bf07098dd1d518139de2f7bc2b635f7d7892e2d60cd76b7,2c8a8e984a4976de96add2ecd123b512092a3a291cd9d34fe61b34e331a48ab3,96,2304,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,19,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_19/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_19/pareto_labels.csv.xz,0e4af1f7059d9e31c5b2e427874c400901b26b417387896885e403f57baa717c,67377f4866bf78411be196700dcd47cb73815f3d3ca379653f691ea42925cad9,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
jpetstore,stage2,20,formal,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_20/pareto_front.csv,results/jpetstore/03_stage2_nsga/robustness_final_30seeds/seed_20/pareto_labels.csv.xz,9c395e8612107a721c9910a5883ab00735a81218067518dfa4fbcf8f343fd330,c556f52da98983e9fbc96dcf1079063e5250e7c10188e1b3967a3770d15ce2c5,100,2400,24,data/extracted/jpetstore/class_nodes.csv,69b59fef4e0cf7feb7402d14beac895b1790db0906b2b6dc11c54743f431e7e0,validated_source_scope
