subject,class_id,stage3_declaration_hash,exact_match
jpetstore,org.mybatis.jpetstore.domain.Account,5d95274200b9ab99375a7bc37b5349cfc93695abe59b0a2cd0e43d862583d31f,True
jpetstore,org.mybatis.jpetstore.domain.Cart,ae327ae131da8459f0c754810733634f4636c2e170a0d8a931f5f11d9f3369e3,True
jpetstore,org.mybatis.jpetstore.domain.CartItem,2a2403051db0607a20d67d1c4b1b8f2b126034d4f2c5720a4b43e8876ca8d6d1,True
jpetstore,org.mybatis.jpetstore.domain.Category,bfbe27d957dd8236c5c66e052c5909fa3d85ec699939aa80457af01b52fe5a27,True
jpetstore,org.mybatis.jpetstore.domain.Item,8f2e7798981f368cf27f4eee7ac74d9d8293982b71e3119e5316d51fbf6220cb,True
jpetstore,org.mybatis.jpetstore.domain.LineItem,315d9fdaf0eeb121799f5e34b58d0d8a954a0b265d3cda69ab98d8697da46a15,True
jpetstore,org.mybatis.jpetstore.domain.Order,006b4b1ce25257b9bbce3209473d2582368b7b0f284062a709753303e6921bd1,True
jpetstore,org.mybatis.jpetstore.domain.Product,e5296ac04efff722891302a63489b01a32f0c86595bc4287e74ced19fe8192c5,True
jpetstore,org.mybatis.jpetstore.domain.Sequence,51ff6ed36b9c0f4048b21eba64728837120caf4dfe3e6e7b0fc62550ba24a089,True
jpetstore,org.mybatis.jpetstore.mapper.AccountMapper,fbf942adc8a5c6036a7bf5498e0ad11c4e470a5bfad8f8846740138145f27ea5,True
jpetstore,org.mybatis.jpetstore.mapper.CategoryMapper,77045e6e50f73c3cbd199dc5537096c548999d9dabbdce2d12d5ea9ef68c1fd9,True
jpetstore,org.mybatis.jpetstore.mapper.ItemMapper,46865703180302cba3a502392172882bd12eef02a25d68b8fadea2e950037bdb,True
jpetstore,org.mybatis.jpetstore.mapper.LineItemMapper,40f209695f43ebed808ee266c5265e0d032ff7607933101edec189de1634a1b4,True
jpetstore,org.mybatis.jpetstore.mapper.OrderMapper,be60bbfe64991d122c53390240b91317703e08e794a236aecd63b3a482beec75,True
jpetstore,org.mybatis.jpetstore.mapper.ProductMapper,afd68148ad4082277eb3d9d64fa5785aa184223a17b106720118f27a4211c9aa,True
jpetstore,org.mybatis.jpetstore.mapper.SequenceMapper,397e1f58a092b8af9680028ce2121bbe684304b6880a2851792711c9bccc3bcb,True
jpetstore,org.mybatis.jpetstore.service.AccountService,425e493934670a393d66391ffdcbb23d857c4daae14039582ee91b123d4f6299,True
jpetstore,org.mybatis.jpetstore.service.CatalogService,2eaf41eb5323e93cf5fab878ed1def36c1e531e07ad02f6d860ef4365b2a6386,True
jpetstore,org.mybatis.jpetstore.service.OrderService,2bdfcfd59cb9af71af2221693d603d5e818fbee3f623d987031eb7be80349e6f,True
jpetstore,org.mybatis.jpetstore.web.actions.AbstractActionBean,32836c8944cdd4e745f8b640658a41d2be7ab3cca756bc15792a5fc76df648fa,True
jpetstore,org.mybatis.jpetstore.web.actions.AccountActionBean,384028f5517a4c1b4b78fa9411c0c5f9002cf3bcd068ce35596462980f06fe10,True
jpetstore,org.mybatis.jpetstore.web.actions.CartActionBean,1a7a603e8314ecee38ebe10eaa92d39aed7e4635ea39e2c2aedb544d148ee8e2,True
jpetstore,org.mybatis.jpetstore.web.actions.CatalogActionBean,68da1c85a6cf5cc60a2f9f95190758306deab6f6ee927de687d1f4a5c52c9f55,True
jpetstore,org.mybatis.jpetstore.web.actions.OrderActionBean,d36d1de8b4299553a0a5b42104e3e952a27d318675b564280279f283b851efda,True
daytrader,com.ibm.websphere.samples.daytrader.TradeAction,033fdf6c2fa49a51a305fe52789247c81b8e17bbf41f418a3ea98b0dfa191659,True
daytrader,com.ibm.websphere.samples.daytrader.TradeServices,79faebc4f5a70102505410ea8714fc1c26baa036aa637175132dd4a55b1b8f40,True
daytrader,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,c0e0176c877f840828c4caa0ca1603ddb7225b66f53d5b840fb0c003f3294a71,True
daytrader,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,b6e55ef211e1bcc9532314cbe4d459af83d96d462127bc2abdd9ec76b8570a8d,True
daytrader,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,7b6aafd7330dd4b826621f1e857114857f540c5b2d7441420d524b5e9c4318c6,True
daytrader,com.ibm.websphere.samples.daytrader.direct.TradeDirect,13e953a2da53b4570061f31d0a9e42f4b1125bbc41935c9ed16dff71dfa99ef1,True
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,4912385984127e955b6c0d849843e4f4f52283377581b1410b6de9a3bba22757,True
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,2418cc2f34f28cce50e44343c2514a1659b9a3455a18ea6f45f4b3f3f217290f,True
daytrader,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,c89e34e1575247704b611fd1b4991a46cc4da1f138e95b64c3262e0008131459,True
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,afe397d01db1e331390f5a45f3c9ee5e0718f8e0c4786528e82a9a96a041ebbf,True
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,0f30e2856083ce7809ae33a44b890c6c8ea99f7964d06f567693cbe9834acc7d,True
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,ebb0a71ae821572211f9108ae470bb16755bf374a203a0cabed519823f207842,True
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,3f95dc954e38484462053beb3b05e249e536f1db830393b557d7ccb93dea5c3c,True
daytrader,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,fe52a5446d2684cc6bf34f902d2639c2b5cf29d2cf0d2697f2738fc0ee50e0c8,True
daytrader,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,26bf5ddd5afd93758bea2f0ec580c37da14b40090c1eb538ff4f5f803064b02c,True
daytrader,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,70d9a4e6f0264fe8807e68d1a19767fe1293b6160bd82ed88e8d97a461a283e7,True
daytrader,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,ae0f42373042008c9575a3bf38f5a99e0721d4ef93cf23666a5c7fec29de466c,True
daytrader,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,d97a597b2ca04fc97d5f53c0f0470038c74fad862840cc1e56aad74a5391db40,True
daytrader,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,b427c2f5f157730fc86ef980d45f643a647c07f814fdab3314fcb1e42a37f531,True
daytrader,com.ibm.websphere.samples.daytrader.util.FinancialUtils,2dad4285e08e95ea31d66fcdc09ed215a0fb63a657a79681e349b320c8281737,True
daytrader,com.ibm.websphere.samples.daytrader.util.KeyBlock,64a09d222de48169dff2cfb960584f599f85341ad2addcc5b0e197ea8f0a5c55,True
daytrader,com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,a5582bf8911a310d1794168c8370f56d7720253dacdcf48ac5bb01fef9160dbf,True
daytrader,com.ibm.websphere.samples.daytrader.util.Log,5c88d85e0f49968d803f52175b628c4d465c7d7348b050bedb8c66252dbf3aba,True
daytrader,com.ibm.websphere.samples.daytrader.util.MDBStats,3cf888238d2f47f057ddc8a187c5a4e3a5b4d5615adb164ce99408b0a9f50ed5,True
daytrader,com.ibm.websphere.samples.daytrader.util.TimerStat,69d7f98dab546a408a5670d85feec4ea45c3b2c941cd2e197665e4370bc7ab9f,True
daytrader,com.ibm.websphere.samples.daytrader.util.TradeConfig,e94f37be483cca3b9c8b0bc9d59407688f9d35c2f13aaaeb08c3245d8ba18b52,True
daytrader,com.ibm.websphere.samples.daytrader.util.WebSocketJMSMessage,e95b8733d3181d904136f23d47d135939f19ba98573cc973c9f5610fef33a7da,True
daytrader,com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,92772fd1a525dacc0e70f4670f2949914b10b431daada536adc8c55779ef3351,True
daytrader,com.ibm.websphere.samples.daytrader.web.TradeAppServlet,3d2ab00130a8f8132f5a696c290b47eac5f6a24bcc94ba431756875254fb2dfc,True
daytrader,com.ibm.websphere.samples.daytrader.web.TradeServletAction,bb55e7f4a209cc8d7ab39fdf0df63b8c7a2bd45561128be5de602098b6fe37e8,True
daytrader,com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,54c23417abe0ec6d2f80bccd8b6382753c53345c2fcad75ef19fd3535ff56790,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,cfff56b2a6a4d45897abb39d483bd8221647b52684a93e655e5c2ed620df3c66,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.ExternalContextProducer,cf767647279cb1e18a1974b7e25b0ef85cdbe8365b813a1d15750008a1d91a08,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,0466b8b5e7e9bbbaec557b72974530d8e3a29c86c3ec24b22f32d026cbd120d4,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.JSFLoginFilter,215ce11132c1dc52980218c193843844db4457e16138bb64e44a2650e009350b,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator,c32c34c8b21acf508805d02f76b762068742452c7c38a20fcdfb1002531a68ca,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,b993776901ea25956839514f9bc4167f25110ae7ce97e482fed6583815adc7a9,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,f5d70a04f3e76bbc0a742b4be8eaffc786d4f03bb5cfc3bacc2ca4d129020d84,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,6f6185d3d371430468e930cbf320195ff438ce3f8c518b352be7e58534216c13,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,6d99cfe661cf7fb2d5f26e23b40798585d64319d63a530b9067da8b7ce6ea506,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,0f6f6049b9c714e355cf03efbec5f9e2883315049a6506c8fc8bc7ffc40be36d,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,b0c3916f092940e14d25e45ab633463056cf3477245e18d2784f37cfc38c145b,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer,4277db18ed7ead0dbd11694747de529e6445a9913d4128db077bbcfc4995751a,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,2543e97405d6998464b4194d8e699a912bba4c764f3df5147a5d5682ada39c19,True
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,8ff43f56d896f403f186b666ae271e4414c1a4b52de2fb376f9ab5a24b364ad7,True
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder,4f1ade6b8ee5d528e11a33caab76f938b8f815c0d6abae7de7fee37ec0251965,True
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage,3948a340df804c01c2a4d36caa6994f81fbbb944ad6559b40402a81f8aed7b64,True
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage$1,57d3596e7f4560971733d7ac639f5f8ee8492847b62455152d3430a62e2994f9,True
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.JsonDecoder,a14ca8dd66bf5ba6c61a10183b4bbe6b10c2380299efc4546a241e5b1b211835,True
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder,8a52a7f6c1e9e8da7cae8cd162c74e475575194bbcf2ba88398274f666631d5b,True
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage,f10472ed6aed19b4467a0a35a2aa3bdd56cd871b00c8e724bfce2026fc86d7a5,True
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket,42fefb8b53ecc2359f5423ab59cffee8913b55d5b0d00df1c0ce653deb24cc18,True
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,a6d05df62b71da261fa4f3333e72b68393e336d74865b338eee45d0dfc077202,True
xerces,org.apache.xerces.dom.ASDOMImplementationImpl,7eb08569cb6c35d043be338c87f802c8a82fcdd8114e7d11658aa934cca9150d,True
xerces,org.apache.xerces.dom.ASModelImpl,ca6058b24723802a65e47757a35fadf73fc14185b279f5cb25cdf6aa38b3f02f,True
xerces,org.apache.xerces.dom.AttrImpl,f304a71c2aa6e66bff48299c94b28538521f73199b44fce01d6c34f2ebc1dedf,True
xerces,org.apache.xerces.dom.AttrNSImpl,8c93ad3b01daf545ad180559bdf72bb26e2ad6cf4393aaa4c2f4eb3627b52ff9,True
xerces,org.apache.xerces.dom.AttributeMap,f8c72c64c0b1aa48147c849247a3da68b418ad60b3ad6d95c65f83cfa73347bb,True
xerces,org.apache.xerces.dom.CDATASectionImpl,2944b67e8504fc19387bba868babc7b140c5c1a6b469c1df65564c67366faa18,True
