source,target,type_weight,call_weight,raw_weight
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,1.0,20.0,21.0
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item,2.0,6.0,8.0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Item,3.0,0.0,3.0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Product,3.0,2.0,5.0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem,1.0,8.0,9.0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item,3.0,4.0,7.0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account,1.0,34.0,35.0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Cart,1.0,4.0,5.0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.CartItem,1.0,0.0,1.0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem,1.0,2.0,3.0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account,8.0,0.0,8.0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category,1.0,0.0,1.0
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item,1.0,0.0,1.0
org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.domain.LineItem,1.0,0.0,1.0
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order,3.0,0.0,3.0
org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product,1.0,0.0,1.0
org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.domain.Sequence,3.0,0.0,3.0
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.domain.Account,5.0,2.0,7.0
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper,2.0,16.0,18.0
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Category,1.0,0.0,1.0
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,1.0,0.0,1.0
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,1.0,0.0,1.0
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.CategoryMapper,2.0,4.0,6.0
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper,2.0,6.0,8.0
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper,2.0,6.0,8.0
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Item,0.0,2.0,2.0
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem,3.0,12.0,15.0
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order,3.0,12.0,15.0
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Sequence,0.0,8.0,8.0
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.ItemMapper,2.0,6.0,8.0
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.LineItemMapper,2.0,4.0,6.0
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper,2.0,8.0,10.0
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.SequenceMapper,2.0,4.0,6.0
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,2.0,26.0,28.0
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,1.0,10.0,11.0
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService,1.0,6.0,7.0
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,1.0,4.0,5.0
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,3.0,16.0,19.0
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.CartItem,0.0,2.0,2.0
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Item,0.0,2.0,2.0
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.service.CatalogService,1.0,4.0,5.0
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,1.0,8.0,9.0
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Category,3.0,0.0,3.0
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Item,3.0,2.0,5.0
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Product,3.0,0.0,3.0
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,1.0,12.0,13.0
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,1.0,4.0,5.0
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Account,0.0,4.0,4.0
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,3.0,14.0,17.0
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService,1.0,6.0,7.0
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,1.0,12.0,13.0
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,0.0,8.0,8.0
