summary,stage,subject,budget,seed_count,eligible_seed_count,availability_rate,unavailable_seed_count,eligible_candidate_count_median,eligible_candidate_count_min,eligible_candidate_count_max,median_gain,mean_gain,iqr_gain,std_gain,min_gain,max_gain,bootstrap_mean_ci_low,bootstrap_mean_ci_high,positive_count,at_least_5pct_count,at_least_10pct_count,at_least_20pct_count,at_least_30pct_count,median_realised_modularity_loss,mean_realised_modularity_loss,max_realised_modularity_loss,median_coupling,median_cohesion,median_cluster_count,median_singleton_ratio
stage2_balance,stage2,daytrader,0,30,6,0.20000000000000001,24,1,1,1,0.047796800385390609,0.079023578122612639,0.091993354773445585,0.070219467086892084,-2.4865207393427118e-16,0.16654762754980579,0.031083137750224532,0.12696401849500075,5,3,2,0,0,0,0,0,0.41789667896678967,7.1262737262737268,10,0.056603773584905662
stage2_balance,stage2,daytrader,0.0050000000000000001,30,6,0.20000000000000001,24,1,1,1,0.047796800385390609,0.079023578122612639,0.091993354773445585,0.070219467086892084,-2.4865207393427118e-16,0.16654762754980579,0.031083137750224532,0.12696401849500075,5,3,2,0,0,0,0,0,0.41789667896678967,7.1262737262737268,10,0.056603773584905662
stage2_balance,stage2,daytrader,0.01,30,8,0.26666666666666666,22,1,1,2,0.10594086858949353,0.10080710719385449,0.12109501468452255,0.071794764959982674,-2.4865207393427118e-16,0.1705746395416711,0.05239920031923255,0.14960817136062171,7,5,4,0,0,0,0.0023171672912525947,0.0096625925203721961,0.41789667896678967,7.1295238095238096,10,0.04716981132075472
stage2_balance,stage2,daytrader,0.025000000000000001,30,9,0.29999999999999999,21,1,1,2,0.16174074927348911,0.11349318248284652,0.12109501468452255,0.072568531307524539,-2.4865207393427118e-16,0.19599218198541657,0.069395762211963044,0.15717408169358521,8,6,5,0,0,0,0.0057969874585771563,0.019055141076669203,0.41789667896678967,7.1042857142857141,10,0.037735849056603772
stage2_balance,stage2,daytrader,0.050000000000000003,30,13,0.43333333333333335,17,1,1,2,0.16654762754980579,0.13564016777969704,0.1266632726527164,0.084499177258053282,-2.4865207393427118e-16,0.29320896197774865,0.092697872150950891,0.180109460029031,12,11,8,2,0,0.019055141076669203,0.018391551899452512,0.041599551674583977,0.42481549815498154,7.0977855477855485,10,0.037735849056603772
stage2_balance,stage2,daytrader,0.10000000000000001,30,16,0.53333333333333333,14,2,1,4,0.27579455663409114,0.22916860587861604,0.17025895974558217,0.1308797603666374,-2.4865207393427118e-16,0.42717803813051997,0.16666677568639385,0.28955820148611849,15,14,12,10,6,0.059810969225147559,0.051287911436066966,0.096392258521214455,0.43888376383763839,7.0790986790986796,9,0.018867924528301886
stage2_balance,stage2,daytrader,0.14999999999999999,30,18,0.59999999999999998,12,2,1,7,0.29526774792499444,0.25611454799929217,0.17415362431612585,0.13463891086699281,-2.4865207393427118e-16,0.42717803813051997,0.19391921118794636,0.31226010130260318,17,16,14,12,8,0.0905838553691721,0.078720073176962044,0.14617997578125139,0.44095940959409596,7.2139939689939689,9,0.018867924528301886
stage2_balance,stage2,daytrader,0.20000000000000001,30,22,0.73333333333333328,8,2.5,1,12,0.32058323331173016,0.29016855584808138,0.18082216221725564,0.14164258500929799,-2.4865207393427118e-16,0.52991262210399337,0.23171277669619733,0.34638511892317925,21,20,18,16,12,0.14969398840842846,0.12161166551789741,0.19000116341756385,0.45456642066420661,7.0446847596847588,9,0.018867924528301886
stage2_balance,stage2,jpetstore,0,30,30,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25185185185185183,5.477380952380952,4,0
stage2_balance,stage2,jpetstore,0.0050000000000000001,30,30,1,0,2,1,3,0,0.098618270522420629,0,0.18181675753100612,0,0.4226497308103741,0.04226497308103741,0.16905989232414961,7,7,7,7,7,0,0.000756212318675696,0.0032409099371815543,0.25185185185185183,5.477380952380952,4,0
stage2_balance,stage2,jpetstore,0.01,30,30,1,0,3,1,4,0,0.098618270522420629,0,0.18181675753100612,0,0.4226497308103741,0.04226497308103741,0.16905989232414961,7,7,7,7,7,0,0.000756212318675696,0.0032409099371815543,0.25185185185185183,5.477380952380952,4,0
stage2_balance,stage2,jpetstore,0.025000000000000001,30,30,1,0,9,7,12,0.4226497308103741,0.61509982054024948,0.57735026918962595,0.2768182661791333,0.4226497308103741,1,0.51887477567531171,0.71132486540518702,30,30,30,30,30,0.012163755594017452,0.01355849612584851,0.017983602374828593,0.25185185185185183,4.9083333333333332,4,0
stage2_balance,stage2,jpetstore,0.050000000000000003,30,30,1,0,22,14,28,1,0.92301996410804987,0,0.19961649053878081,0.4226497308103741,1,0.84603992821609963,0.98075499102701247,30,30,30,30,30,0.032422890477930746,0.025165091032792974,0.039745967825349483,0.27407407407407408,4.9000000000000004,4,0
stage2_balance,stage2,jpetstore,0.10000000000000001,30,30,1,0,36,26,46,1,0.96150998205402494,0,0.14647845813401378,0.4226497308103741,1,0.90377495513506234,1,30,30,30,30,30,0.032422890477930746,0.029917276348482888,0.09783410678453465,0.27407407407407408,4.9000000000000004,4,0
stage2_balance,stage2,jpetstore,0.14999999999999999,30,30,1,0,56.5,41,70,1,1,0,0,1,1,1,1,30,30,30,30,30,0.032422890477930746,0.036294973371672631,0.11330772784631192,0.27407407407407408,4.9000000000000004,4,0
stage2_balance,stage2,jpetstore,0.20000000000000001,30,30,1,0,72,48,84,1,1,0,0,1,1,1,1,30,30,30,30,30,0.032422890477930746,0.036294973371672631,0.11330772784631192,0.27407407407407408,4.9000000000000004,4,0
stage2_balance,stage2,xerces,0,30,24,0.80000000000000004,6,1,1,1,1.6891607846050344e-16,0.013238483569979947,0.024297500589360928,0.018779012350615357,-0.00029778474142148345,0.071986044151718429,0.0063464223777955206,0.021135567118007927,11,2,0,0,0,0,-0.00010891851615129552,0,0.20879942487419123,8.0687653361834233,31,0.013513513513513514
stage2_balance,stage2,xerces,0.0050000000000000001,30,26,0.8666666666666667,4,1.5,1,2,0.014195133410151935,0.015845753134192883,0.025479814085732074,0.018559881393885296,-0.003594563877681335,0.071986044151718429,0.00939248294853667,0.023157418022529595,16,2,0,0,0,0,0.00093445896319768913,0.004528376107932254,0.20879942487419123,8.0789246888977946,30.5,0.012285012285012284
stage2_balance,stage2,xerces,0.01,30,27,0.90000000000000002,3,2,1,2,0.0243982099734571,0.019999469379383506,0.022883163969369617,0.018879399492095029,1.6891607846050344e-16,0.071986044151718429,0.013292359061192213,0.027013828724862736,22,3,0,0,0,0.0010258457748568304,0.0027729817293563378,0.0099135046899866148,0.20957584471603163,8.2924420830974821,30,0.012285012285012284
stage2_balance,stage2,xerces,0.025000000000000001,30,30,1,0,3,1,4,0.041330929244177805,0.046829893656832419,0.028477799495991843,0.028647280383247216,0.0039336656352249554,0.13181000399806889,0.037085322542629154,0.057352264663642759,30,12,1,0,0,0.017397660958154763,0.015456257971736116,0.024790707562570086,0.22089144500359453,8.1686613948822071,30,0.0073710073710073713
stage2_balance,stage2,xerces,0.050000000000000003,30,30,1,0,4,1,7,0.07936851322204086,0.075188586807148253,0.032688102014694957,0.025595016991695908,0.035037980573406201,0.1372321732562175,0.066543209797976316,0.084106735469124533,30,24,2,0,0,0.038565599507293782,0.036139974886956271,0.048643527667577409,0.23781452192667146,8.2748759786378798,29,0.005528255528255528
stage2_balance,stage2,xerces,0.10000000000000001,30,30,1,0,7,1,10,0.10918726701221869,0.11176366050257336,0.041502419131347321,0.030162448673946411,0.03851989403903601,0.16266295757345267,0.10087879980762461,0.12237620664688093,30,29,18,0,0,0.088314774454852571,0.077676195050401894,0.099906283631458953,0.2737886412652768,3.799410524513867,28,0.0012285012285012285
stage2_balance,stage2,xerces,0.14999999999999999,30,30,1,0,10,4,13,0.14511119159184663,0.14556281244522956,0.016403189077140279,0.027984286291431938,0.050726200891870847,0.21686698064668547,0.13539456761346397,0.1552947535834136,30,30,29,1,0,0.13147629057490906,0.12674891389665149,0.14746404994023843,0.30622573687994248,1.2390268793391215,28,0.0012285012285012285
stage2_balance,stage2,xerces,0.20000000000000001,30,30,1,0,13,6,18,0.17381039844732793,0.17713113094654231,0.039052194462518508,0.027888900108275612,0.12141586128179177,0.25329324871970216,0.16752627348823779,0.18718121243787531,30,30,30,6,0,0.18359560369443456,0.18029052842604529,0.1998178693002069,0.34651329978432782,2.8261022846812933,28,0.0012285012285012285
