summary,stage,subject,budget,seed_count,eligible_seed_count,availability_rate,unavailable_seed_count,eligible_candidate_count_median,eligible_candidate_count_min,eligible_candidate_count_max,median_gain,mean_gain,iqr_gain,std_gain,min_gain,max_gain,bootstrap_mean_ci_low,bootstrap_mean_ci_high,positive_count,at_least_5pct_count,at_least_10pct_count,at_least_20pct_count,at_least_30pct_count,median_realised_modularity_loss,mean_realised_modularity_loss,max_realised_modularity_loss,median_coupling,median_cohesion,median_cluster_count,median_singleton_ratio
stage3_balance,stage3a,daytrader,0,30,5,0.16666666666666666,25,1,1,1,0.14748271906915911,0.11427293933264704,0.11159976136799114,0.061110289657015718,0.045452612865283244,0.16654762754980579,0.067733984122144306,0.16081189454314979,5,4,3,0,0,0,0,0,0.41789667896678967,7.3456876456876454,9,0.037735849056603772
stage3_balance,stage3a,daytrader,0.0050000000000000001,30,6,0.20000000000000001,24,1,1,1,0.15461173417132412,0.14077376732930055,0.090869487284313377,0.084860693543128571,0.045452612865283244,0.27327790731256824,0.083421528853385427,0.20051166082380237,6,5,4,1,0,0,0.00034039522332428778,0.0020423713399457268,0.41789667896678967,7.616058016058016,9,0.028301886792452831
stage3_balance,stage3a,daytrader,0.01,30,8,0.26666666666666666,22,1,1,3,0.10116766913577745,0.12387366681286358,0.11397357469712399,0.10247431779595058,0.029911638781585564,0.33486037985569195,0.063918105084456722,0.19446456088829983,8,6,4,1,1,0,0.0020059530929701867,0.0054503654933628484,0.41789667896678967,7.2502247752247753,9.5,0.037735849056603772
stage3_balance,stage3a,daytrader,0.025000000000000001,30,15,0.5,15,1,1,3,0.075144798978162688,0.13240840919171681,0.16360677481019073,0.11105511196960759,0.014842289637991675,0.33486037985569195,0.079456590340302322,0.1884710587217181,15,10,7,4,1,0.010964964745170698,0.010804161866886495,0.024594319572779941,0.42020295202952029,7.3346715013381676,10,0.037735849056603772
stage3_balance,stage3a,daytrader,0.050000000000000003,30,20,0.66666666666666663,10,1,1,3,0.10901186902059984,0.13269820875936592,0.15210656606996104,0.10177981569808417,0.014842289637991675,0.33486037985569195,0.090612978684216403,0.17765908279111109,20,14,10,5,1,0.020950036950797352,0.019999836138371356,0.049331854209031856,0.42273985239852396,7.2494388327721655,10,0.037735849056603772
stage3_balance,stage3a,daytrader,0.10000000000000001,30,24,0.80000000000000004,6,2,1,5,0.1358088378889345,0.16375542859925865,0.14779950656588953,0.1094668849461168,0.014842289637991675,0.39091696554809297,0.12123071082205099,0.20705652936253732,24,20,16,8,3,0.043571134790937112,0.044451918355397357,0.096223153320410218,0.43611623616236161,7.2523085556418891,10,0.018867924528301886
stage3_balance,stage3a,daytrader,0.14999999999999999,30,26,0.8666666666666667,4,2.5,1,5,0.18605897019501461,0.19887815914426688,0.17187031395100988,0.10503308025607194,0.017792209938679419,0.39091696554809297,0.16025542698370771,0.2394787563266326,26,24,22,12,6,0.094804930924130504,0.081511757134882012,0.14175046823460399,0.44949261992619927,7.205289586956253,9.5,0.018867924528301886
stage3_balance,stage3a,daytrader,0.20000000000000001,30,27,0.90000000000000002,3,3,1,6,0.20914828913921615,0.22191686359172569,0.17968643924270145,0.11510264425898957,0.017792209938679419,0.46589527511652057,0.18018112808686662,0.26569883609866257,27,26,24,14,8,0.10847443185076791,0.1022100503376855,0.19304833426461349,0.45848708487084872,7.1013131313131312,9,0.018867924528301886
stage3_balance,stage3a,jpetstore,0,30,28,0.93333333333333335,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25185185185185183,5.477380952380952,4,0
stage3_balance,stage3a,jpetstore,0.0050000000000000001,30,30,1,0,1,1,2,0,-0.035168348776796449,0,0.13383744094832412,-0.52752523165194676,0,-0.087920871941991122,0,0,0,0,0,0,0,0.00032547010432971339,0.0048820515649457006,0.25185185185185183,5.477380952380952,4,0
