variant,class_id,display_name,node_role,seed42_raw_cluster_id,layout_x,layout_y
reduced,com.ibm.websphere.samples.daytrader.TradeAction,TradeAction,ssa_endpoint,0,0.5,0.5
reduced,com.ibm.websphere.samples.daytrader.TradeServices,TradeServices,ssa_endpoint,3,1,0.34999999999999998
reduced,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,MarketSummaryDataBean,context,1,0.5,0.86363636363636365
reduced,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,RunStatsDataBean,context,0,1,0.050000000000000003
reduced,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,KeySequenceDirect,ssa_endpoint,0,1,0.84999999999999998
reduced,com.ibm.websphere.samples.daytrader.direct.TradeDirect,TradeDirect,context,0,1,0.45000000000000001
reduced,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,DTBroker3MDB,context,4,1,0.25
reduced,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,MarketSummarySingleton,context,1,0.5,0.95454545454545459
reduced,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,TradeSLSBBean,context,2,0.5,0.31818181818181818
reduced,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,TradeSLSBLocal,context,2,1,0.55000000000000004
reduced,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,TradeSLSBRemote,context,1,0.5,0.045454545454545456
reduced,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,AccountDataBean,ssa_endpoint,2,0.5,0.77272727272727271
reduced,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,AccountProfileDataBean,context,2,1,0.65000000000000002
reduced,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,HoldingDataBean,ssa_endpoint,1,0,0.40909090909090912
reduced,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,OrderDataBean,ssa_endpoint,2,0,0.22727272727272727
reduced,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,QuoteDataBean,ssa_endpoint,1,0.5,0.68181818181818177
reduced,com.ibm.websphere.samples.daytrader.util.FinancialUtils,FinancialUtils,context,1,0,0.77272727272727271
reduced,com.ibm.websphere.samples.daytrader.util.Log,Log,ssa_endpoint,0,0.5,0.59090909090909094
reduced,com.ibm.websphere.samples.daytrader.util.TradeConfig,TradeConfig,context,3,0.5,0.40909090909090912
reduced,com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,OrdersAlertFilter,context,0,1,0.75
reduced,com.ibm.websphere.samples.daytrader.web.TradeServletAction,TradeServletAction,context,3,0.5,0.22727272727272727
reduced,com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,AccountDataJSF,context,2,0,0.59090909090909094
reduced,com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,HoldingData,ssa_endpoint,1,0,0.68181818181818177
reduced,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,MarketSummaryJSF,context,1,0,0.95454545454545459
reduced,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,OrderData,ssa_endpoint,2,0,0.13636363636363635
reduced,com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,OrderDataJSF,context,2,0,0.045454545454545456
reduced,com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,PortfolioJSF,context,1,0,0.31818181818181818
reduced,com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,QuoteData,ssa_endpoint,1,0,0.86363636363636365
reduced,com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,QuoteJSF,context,1,0,0.5
reduced,com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,TradeAppJSF,context,0,1,0.94999999999999996
reduced,com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,TradeConfigJSF,context,3,1,0.14999999999999999
reduced,com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket,MarketSummaryWebSocket,context,0,0.5,0.13636363636363635
full,com.ibm.websphere.samples.daytrader.TradeAction,TradeAction,ssa_endpoint,0,0.33333333333333331,0.65000000000000002
full,com.ibm.websphere.samples.daytrader.TradeServices,TradeServices,ssa_endpoint,3,0.66666666666666663,0.55000000000000004
