variant,source,target,type_weight,call_weight,raw_weight
full,com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,3,0,3
full,com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,1,0,1
full,com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,3,0,3
full,com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,3,0,3
full,com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,0,2,2
full,com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,0,2,2
full,com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.web.TradeServletAction,1,26,27
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.direct.TradeDirect,1,2,3
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,3,2,5
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,1,0,1
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,0,24,24
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.util.FinancialUtils,0,4,4
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.util.Log,0,2,2
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.util.TradeConfig,0,6,6
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,0,12,12
full,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket,0,2,2
full,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,com.ibm.websphere.samples.daytrader.direct.TradeDirect,1,26,27
full,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,1,0,1
full,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,0,2,2
full,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,com.ibm.websphere.samples.daytrader.direct.TradeDirect,0,6,6
full,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,com.ibm.websphere.samples.daytrader.util.KeyBlock,0,2,2
full,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,com.ibm.websphere.samples.daytrader.util.Log,0,6,6
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,0,2,2
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,0,4,4
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.AccountDataBean,9,8,17
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,7,20,27
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,6,14,20
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.OrderDataBean,7,40,47
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,10,40,50
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,0,4,4
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.Log,0,260,260
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.util.TradeConfig,0,10,10
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,0,2,2
full,com.ibm.websphere.samples.daytrader.direct.TradeDirect,com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,0,4,4
full,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,1,0,1
full,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,com.ibm.websphere.samples.daytrader.util.Log,0,30,30
full,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,com.ibm.websphere.samples.daytrader.util.Log,0,26,26
full,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,com.ibm.websphere.samples.daytrader.util.TradeConfig,0,4,4
full,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,1,2,3
full,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,0,6,6
full,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,com.ibm.websphere.samples.daytrader.util.Log,0,10,10
full,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,com.ibm.websphere.samples.daytrader.util.TradeConfig,0,2,2
full,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,2,0,2
full,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,1,2,3
full,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,1,0,1
