ari_vs_reference,average_cluster_size,bounds_source,calibration_bound_violation,calibration_status,class_count,cluster_count,cohesion,constraint_violating_population_size,coupling,exact_leiden_present_in_front,feasible_population_size,final_population_size,front_source,front_validation_passed,has_feasible_solution,hv_gain_over_leiden,hv_leiden_only,hypervolume,imbalance,imbalance_bound_method,imbalance_upper_bound,internal_edge_weight_ratio,internal_external_edge_ratio,leiden_dominated_by_front,max_cluster_ratio,max_raw_edge_weight,maximum_cluster_size,minimum_cluster_size,mojofm_vs_reference,n_injected_seed_solutions,n_non_injected_solutions,n_non_leiden_partitions,n_solutions,n_solutions_dominating_leiden,n_unique_canonical_partitions,n_unique_objective_vectors,nmi_vs_reference,pairwise_f1,pairwise_precision,pairwise_recall,recomputed_nondominated_size,reference_coverage_ratio,result_opt_size,run_type,runtime_sec,seed,selected_equals_leiden,selected_is_injected_seed,selected_seed_name,singleton_ratio,solution_id,subject,used_infeasible_fallback,weighted_modularity
,27.133333333333333,theoretical,False,not_required,814,30,8.32465734434891,0,0.21673616103522644,False,100,100,recomputed_nondominated_front,True,True,0.026891570953797864,0.10403318286394046,0.13092475381773833,1.2804401397825143,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7832638389647736,3.6139047366326125,False,0.14496314496314497,354.0,118,1,,1,99,100,100,0,100,100,,,,,100,,100,formal,113.52479370799847,0,False,False,,0.012285012285012284,seed0_solution018,xerces-j,False,0.6544470652200516
,27.133333333333333,theoretical,False,not_required,814,30,8.337180593738605,0,0.20879942487419123,False,100,100,recomputed_nondominated_front,True,True,0.02506571649683996,0.10403318286394046,0.12909889936078042,1.2847820672188999,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7912005751258088,3.789285222421154,True,0.14619164619164618,354.0,119,1,,1,99,100,100,1,100,100,,,,,100,,100,formal,114.07610983296763,1,False,True,raw_leiden_perturb_0.005_1,0.012285012285012284,seed1_solution017,xerces-j,False,0.6615191429343901
,26.258064516129032,theoretical,False,not_required,814,31,8.064845770211084,0,0.20825305535585908,False,100,100,recomputed_nondominated_front,True,True,0.037119590960082924,0.10403318286394046,0.1411527738240234,1.3090336331184897,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7917469446441409,3.8018503175918257,False,0.14496314496314497,354.0,118,1,,1,99,100,100,0,100,100,,,,,100,,100,formal,114.836320833012,2,False,False,,0.013513513513513514,seed2_solution017,xerces-j,False,0.6626403653764937
,26.258064516129032,theoretical,False,not_required,814,31,8.068765336183423,0,0.20879942487419123,True,100,100,recomputed_nondominated_front,True,True,0.020945856999386267,0.10403318286394046,0.12497903986332673,1.314526165589089,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7912005751258088,3.789285222421154,False,0.14496314496314497,354.0,118,1,,1,99,99,100,0,100,100,,,,,100,,100,formal,114.50513883295935,3,True,True,raw_leiden,0.013513513513513514,seed3_solution009,xerces-j,False,0.6615191429343901
,26.258064516129032,theoretical,False,not_required,814,31,8.068765336183423,0,0.20879942487419123,True,100,100,recomputed_nondominated_front,True,True,0.034854480807054125,0.10403318286394046,0.1388876636709946,1.314526165589089,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7912005751258088,3.789285222421154,False,0.14496314496314497,354.0,118,1,,1,99,99,100,0,100,100,,,,,100,,100,formal,113.04752770799678,4,True,True,raw_leiden,0.013513513513513514,seed4_solution014,xerces-j,False,0.6615191429343901
,26.258064516129032,theoretical,False,not_required,814,31,8.068765336183423,0,0.20879942487419123,True,100,100,recomputed_nondominated_front,True,True,0.02963600562438236,0.10403318286394046,0.13366918848832282,1.314526165589089,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7912005751258088,3.789285222421154,False,0.14496314496314497,354.0,118,1,,1,99,99,100,0,100,100,,,,,100,,100,formal,101.19359870802145,5,True,True,raw_leiden,0.013513513513513514,seed5_solution012,xerces-j,False,0.6615191429343901
,27.133333333333333,theoretical,False,not_required,814,30,8.337302013929023,0,0.20879942487419123,False,100,100,recomputed_nondominated_front,True,True,0.01942228383561384,0.10403318286394046,0.1234554666995543,1.2845706063703295,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7912005751258088,3.789285222421154,True,0.14496314496314497,354.0,118,1,,1,99,100,100,1,100,100,,,,,100,,100,formal,84.8095275000087,6,False,True,raw_leiden_perturb_0.005_2,0.012285012285012284,seed6_solution016,xerces-j,False,0.6615191429343901
,26.258064516129032,theoretical,False,not_required,814,31,8.070064878975547,0,0.20871315600287563,False,100,100,recomputed_nondominated_front,True,True,0.049217476436787935,0.10403318286394046,0.1532506593007284,1.314917611423401,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7912868439971243,3.7912648112427667,False,0.14496314496314497,354.0,118,1,,1,99,100,100,0,100,100,,,,,100,,100,formal,87.77306762500666,7,False,True,raw_leiden_perturb_0.02_2,0.013513513513513514,seed7_solution018,xerces-j,False,0.6616014897040359
,26.258064516129032,theoretical,False,not_required,814,31,8.068765336183423,0,0.20879942487419123,True,100,100,recomputed_nondominated_front,True,True,0.04529680074919408,0.10403318286394046,0.14932998361313454,1.314526165589089,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7912005751258088,3.789285222421154,False,0.14496314496314497,354.0,118,1,,1,99,99,100,0,100,100,,,,,100,,100,formal,88.84649016597541,8,True,True,raw_leiden,0.013513513513513514,seed8_solution011,xerces-j,False,0.6615191429343901
,26.258064516129032,theoretical,False,not_required,814,31,8.014325181743267,0,0.20940330697340043,False,100,100,recomputed_nondominated_front,True,True,0.026666156156849405,0.10403318286394046,0.13069933902078987,1.3106052769189,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7905966930265995,3.7754737709420487,False,0.14496314496314497,354.0,118,1,,0,100,100,100,0,100,100,,,,,100,,100,formal,99.56678950000787,9,False,False,,0.012285012285012284,seed9_solution019,xerces-j,False,0.660937017625393
,27.133333333333333,theoretical,False,not_required,814,30,8.33523677194499,0,0.20879942487419123,False,100,100,recomputed_nondominated_front,True,True,0.03846829109862197,0.10403318286394046,0.14250147396256244,1.282242235417184,exact_extreme_allocation_over_cluster_count,8.801871721804298,0.7912005751258088,3.789285222421154,True,0.14496314496314497,354.0,118,1,,2,98,100,100,1,100,100,,,,,100,,100,formal,95.4503041250282,10,False,True,raw_leiden_perturb_0.005_0,0.012285012285012284,seed10_solution021,xerces-j,False,0.6615191429343901
