class_id,row_index,input_hash
org.apache.xerces.dom.ASDOMImplementationImpl,0,8c626a126fb0091c02ec5d76f3e688809d01eff83b77178266f2456756a637b9
org.apache.xerces.dom.ASModelImpl,1,b6a43edd683c0de8793551a587146fa5f2c7798726f0728c26d86d26e5e10b6a
org.apache.xerces.dom.AttrImpl,2,0a0e90245f0289d143febb5930cbf5c0626b62dede68cce3c6c14a0911ddd903
org.apache.xerces.dom.AttrNSImpl,3,7b239a27ca426a3225c87365df89f013a2332505f83ba99af6b255b11f2fa471
org.apache.xerces.dom.AttributeMap,4,2f8a6a7d08010502821b5ab09c2508685fba9704c905768fb4c639526d5406b2
org.apache.xerces.dom.CDATASectionImpl,5,d3db0dc3c8cf4f173fc539d3c44653218aafcfa2c0a4ae6b5e1cdb58fed35801
org.apache.xerces.dom.CharacterDataImpl,6,63eb6b6568c12631af7a5c8a31c9b1912b87537c6d8c34badb17f9fc0101c0a1
org.apache.xerces.dom.CharacterDataImpl$1,7,edf74317d277a9c34790f8cf7c78c1971f831b93089cb98e2230d1086067e2dd
org.apache.xerces.dom.ChildNode,8,d995ade5c12e9ba155f5ea80a43f89069d79775f61f716d4e8f3f89ef6587a37
org.apache.xerces.dom.CommentImpl,9,18ee2662f8fdf172f59d0624258ceac04d610d3322833e26edb7b491f348881e
org.apache.xerces.dom.CoreDOMImplementationImpl,10,f421ec6c677aca42f91ae1f1dfaadcb690c69366d7c89d3d008c15080084700c
org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,11,77ee38167f41fbf4ce3277bdc9238f82011897dac8a3377c4abcc1612854d5b9
org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,12,16fd86e89dc9b94c4b2fed74071f4f3b61b37771fd141ce15ba5e7bf60cca9e4
org.apache.xerces.dom.CoreDocumentImpl,13,f2e43932edf90d5a3aa78c66ef9d92882dadfabfbeab53dcb8e8bcb8c647cf06
org.apache.xerces.dom.DOMConfigurationImpl,14,223efca1f6e2e1b95b2c6c75c5d23a41ebf9f4b06120bb8bbe32f62818f95e8e
org.apache.xerces.dom.DOMErrorImpl,15,07aeb2ea1afbb9055449d5433dff703489e56d388778008299cc06b6d2cd3e30
org.apache.xerces.dom.DOMImplementationImpl,16,1132a1ad49fe163ebb10b432d5e412a62fca1ba57d0225fb589e1f648a8b5205
org.apache.xerces.dom.DOMImplementationListImpl,17,6e24773a6061e617be23de2de086d670619e5a9107f4edf516e8d11ac18efd03
org.apache.xerces.dom.DOMImplementationSourceImpl,18,8419a48283e4c04f6b70ed42ca86661e6901779f6321f7b902f5d2cf513c81fd
org.apache.xerces.dom.DOMInputImpl,19,93d4c2c2f87ae12d17a59efb542dade0846a910776feca7efdad95640dac2c44
org.apache.xerces.dom.DOMLocatorImpl,20,cc03ea9165845f3288d9e1f126efb058c1bbf03252667f4bcc39f277a6b04a63
org.apache.xerces.dom.DOMMessageFormatter,21,48f12f03a95614175094863c7f4bc5e2e3b0f16122b8ae14b9c0a1df4a90b99a
org.apache.xerces.dom.DOMNormalizer,22,58f8c9aa2d1646db703e5829cee8b03732b4ac06355b254177d618b4d783365a
org.apache.xerces.dom.DOMNormalizer$1,23,73f9f5da9f8c90f74c29db3467b0a98f4370ba612ed77a26cf0b281164f0c086
org.apache.xerces.dom.DOMNormalizer$XMLAttributesProxy,24,566c2efec30c42dabb0f02d6e0165d34c108c8f2821c1d81ff3350f1c7fd53d4
org.apache.xerces.dom.DOMOutputImpl,25,b14b02368bafc0b2ea87a62d0359615c722d6a2d7a995c8f1742d5678d3b22d6
