summary,stage,subject,budget,field,saved,recomputed,match,target,profile,profile_family,metric,reference
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,unavailable_seed_count,22,22,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,median_gain,0.1059408685894935,0.1059408685894935,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,mean_gain,0.1008071071938544,0.10080710719385447,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,iqr_gain,0.1210950146845225,0.1210950146845225,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,std_gain,0.071794764959982604,0.07179476495998266,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,min_gain,-2.4865207393427118e-16,-2.4865207393427118e-16,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,max_gain,0.1705746395416711,0.1705746395416711,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,positive_count,7,7,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,at_least_5pct_count,5,5,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,at_least_10pct_count,4,4,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,at_least_20pct_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,at_least_30pct_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,median_realised_modularity_loss,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,mean_realised_modularity_loss,0.0023171672912525002,0.0023171672912525752,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,max_realised_modularity_loss,0.0096625925203721007,0.0096625925203721007,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,median_coupling,0.41789667896678961,0.41789667896678961,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,median_cohesion,7.1295238095238096,7.1295238095238096,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,median_cluster_count,10,10,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.01,median_singleton_ratio,0.0471698113207547,0.047169811320754651,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,eligible_seed_count,9,9,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,availability_rate,0.29999999999999988,0.29999999999999999,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,unavailable_seed_count,21,21,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,median_gain,0.16174074927348911,0.16174074927348911,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,mean_gain,0.1134931824828465,0.11349318248284651,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,iqr_gain,0.1210950146845225,0.1210950146845225,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,std_gain,0.072568531307524498,0.072568531307524525,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,min_gain,-2.4865207393427118e-16,-2.4865207393427118e-16,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,max_gain,0.19599218198541651,0.19599218198541651,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,positive_count,8,8,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,at_least_5pct_count,6,6,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,at_least_10pct_count,5,5,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,at_least_20pct_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,at_least_30pct_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,median_realised_modularity_loss,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,mean_realised_modularity_loss,0.0057969874585770999,0.0057969874585771337,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,max_realised_modularity_loss,0.0190551410766692,0.0190551410766692,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,median_coupling,0.41789667896678961,0.41789667896678961,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,median_cohesion,7.1042857142857141,7.1042857142857141,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,median_cluster_count,10,10,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.025000000000000001,median_singleton_ratio,0.037735849056603703,0.037735849056603703,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,eligible_seed_count,13,13,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,availability_rate,0.43333333333333329,0.43333333333333335,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,unavailable_seed_count,17,17,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,median_gain,0.1665476275498057,0.1665476275498057,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.050000000000000003,mean_gain,0.13564016777969701,0.13564016777969698,True,,,,,
