source_report,stage,subject,seed,leiden_present,exact_leiden_candidate_count,candidate_at_or_above_leiden_count,best_q,leiden_q,best_q_loss,tolerance,front_size,population_size_limit_plausible,projection_size,selector_eligibility,mapping_scope_ok,explanation
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,0,False,0,0,0.26605380935036288,0.32459676389891207,0.18035594022983234,9.9999999999999998e-13,100,True,100,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,1,False,0,0,0.16988764790784439,0.32459676389891207,0.47661940351089932,9.9999999999999998e-13,97,False,97,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,3,False,0,0,0.18020694332865836,0.32459676389891207,0.44482828120621831,9.9999999999999998e-13,100,True,100,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,4,False,0,0,0.28865762567911657,0.32459676389891207,0.1107193361637699,9.9999999999999998e-13,100,True,100,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,5,False,0,0,0.17798811290695932,0.32459676389891207,0.45166393290849483,9.9999999999999998e-13,100,True,100,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,6,False,0,0,0.31986401073650961,0.32459676389891207,0.014580407720504453,9.9999999999999998e-13,100,True,100,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,7,False,0,0,0.19136970918832805,0.32459676389891207,0.41043864119383028,9.9999999999999998e-13,100,True,100,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,8,False,0,0,0.30536289334295558,0.32459676389891207,0.059254658995757645,9.9999999999999998e-13,100,True,100,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,9,False,0,0,0.27008223437861684,0.32459676389891207,0.16794538819639152,9.9999999999999998e-13,100,True,100,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
stage2_budgeted_balance_per_seed.csv,stage2,daytrader,10,False,0,0,0.29386684549502323,0.32459676389891207,0.094671055973493734,9.9999999999999998e-13,100,True,100,False,True,no retained candidate satisfies q_loss <= 0 + tolerance
