subject,stage,seed,selected_partition_path,mojofm_vs_reference,reference_path,reference_sha256,evaluator,direction,coverage,seed0_included,aggregation,rounding
daytrader,stage2,16,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_16/selected_partition.csv,19.565217391304344,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,17,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_17/selected_partition.csv,26.086956521739136,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,18,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_18/selected_partition.csv,23.913043478260864,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,19,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_19/selected_partition.csv,23.913043478260864,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,20,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_20/selected_partition.csv,26.086956521739136,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,21,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_21/selected_partition.csv,23.913043478260864,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,22,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_22/selected_partition.csv,23.913043478260864,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,23,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_23/selected_partition.csv,15.217391304347828,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,24,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_24/selected_partition.csv,23.913043478260864,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,25,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_25/selected_partition.csv,26.086956521739136,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,26,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_26/selected_partition.csv,19.565217391304344,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,27,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_27/selected_partition.csv,26.086956521739136,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,28,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_28/selected_partition.csv,21.739130434782606,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
daytrader,stage2,29,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_29/selected_partition.csv,23.913043478260864,data/references/daytrader_reference_services.csv,b13e5ee3e18574e8610c0e506b58b49ad1e91893bf1633d73f668be046c637e6,src/evo_ms/evaluation/reference_metrics.py:calculate_reference_metrics,saved partition versus frozen reference,1,True,mean/median over seeds 0..29,full float in CSV
