subject,seed,solution_id,source_front_row_index_zero_based,f_semantic,canonical_partition_sha256,feasible,semantic_graph,semantic_graph_sha256,semantic_total_weight,source_front,source_front_sha256,source_labels,source_labels_sha256
daytrader,0,seed0_solution000,0,0.50030432589065332,d93f81f8685da458e8bc9fde9e3ce5275d270ea0bc0e4e75fe9537291cb90c3d,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
daytrader,0,seed0_solution001,1,0.50030432589065332,25f319c45d8d8b0a0dffa69e82cbcbbdc6a284d9abf634f195bf29cf0df71f5c,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
daytrader,0,seed0_solution002,2,0.50758667279779002,6f8f7543e8fae3302836517fb17b14043536382875690552f9d62368124a350e,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
daytrader,0,seed0_solution003,3,0.52180606182749678,09b7e1c2c7f6e844cf3f9eb0117642865d55a5d49e95c477bff2446f2c68e43b,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
daytrader,0,seed0_solution004,4,0.54045840551779256,3014d874f4ab37e3e5ebfd48be9bb7e1a763bc038ef9c9db65c4f1f0e5cf0fe3,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
daytrader,0,seed0_solution005,5,0.53733394310086147,3d0a4105427e9d09b59ff8a407794d3ba02badfc8ae0583d0dc689d3fb44e75b,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
daytrader,0,seed0_solution006,6,0.56483092595626894,6a24cc515c6edf6835a71545f0ccce1511cdcd2f19b6b4cc28355dcdde6c6dfd,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
daytrader,0,seed0_solution007,7,0.57926640564441922,8fe9c0d9bc80ffc3fad7b3f3a9b5eb06007f14714b2492ce32c46d0154e7669e,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
daytrader,0,seed0_solution008,8,0.55530022173106708,1e300cc029e54a948faee11959c448c2bdeec9448e1d8490772b49b6c35b92dd,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
daytrader,0,seed0_solution009,9,0.56380528787624562,e86f5fc9654b42efc1b1ee13b274dc5a4eb8cfe2edaab952c0f7378ed3cc2630,True,data/semantic_graphs/declaration_method_body/daytrader/semantic_edges.csv,282b3d79a82f934520f20f5d6f42f7d3cb9e81dfe140de7587132e2de0dcaf7f,66.895144934783588,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7
