subject,stage,profile,profile_id,n_seeds,median_weighted_modularity,median_coupling,median_cohesion,median_imbalance,median_f_semantic,median_cluster_count,median_relative_modularity_loss,median_max_cluster_ratio,median_singleton_ratio,median_band_size,q1_cohesion,q3_cohesion,iqr_cohesion,q1_imbalance,q3_imbalance,iqr_imbalance,q1_f_semantic,q3_f_semantic,iqr_f_semantic,q1_cluster_count,q3_cluster_count,iqr_cluster_count
jpetstore,stage2,MODULARITY_ANCHOR,P0,30,0.44206980643194654,0.25185185185185183,5.477380952380952,0.20412414523193148,0.51226006853751849,4,0,0.29166666666666669,0,22,5.477380952380952,5.477380952380952,0,0.20412414523193148,0.20412414523193148,0,0.51226006853751849,0.51226006853751849,0,4,4,0
jpetstore,stage2,BALANCE,P1,30,0.42773662551440361,0.27407407407407408,4.9000000000000004,0,0.50760005590338708,4,0.032422890477930483,0.25,0,22,4.8999999999999995,4.9000000000000004,8.8817841970012523e-16,0,0,0,0.50760005590338708,0.55731731063187895,0.049717254728491866,4,4,0
jpetstore,stage2,COUPLING,P2,30,0.44206980643194654,0.25185185185185183,5.477380952380952,0.20412414523193148,0.51226006853751849,4,0,0.29166666666666669,0,22,5.477380952380952,5.477380952380952,0,0.20412414523193148,0.20412414523193148,0,0.51226006853751849,0.51226006853751849,0,4,4,0
jpetstore,stage2,COHESION,P3,30,0.43335771985977772,0.31851851851851853,9.6604761904761904,0.44487826050130463,0.53039242167422207,5,0.019707490639286587,0.33333333333333331,0,22,9.6604761904761904,9.6604761904761904,0,0.44487826050130463,0.44487826050130463,0,0.53039242167422207,0.53039242167422207,0,5,5,0
jpetstore,stage2,SEMANTIC,P4,30,0.43705532693187044,0.25185185185185183,4.9690476190476192,0.16666666666666666,0.46566906033572097,4,0.01134318478013506,0.29166666666666669,0,22,4.9690476190476192,4.9690476190476192,0,0.16666666666666666,0.16666666666666666,0,0.46566906033572097,0.46566906033572097,0,4,4,0
jpetstore,stage3,MODULARITY_ANCHOR,P0,30,0.44206980643194654,0.25185185185185183,5.477380952380952,0.20412414523193148,0.51226006853751849,4,0,0.29166666666666669,0,6,5.477380952380952,5.477380952380952,0,0.20412414523193148,0.20412414523193148,0,0.51226006853751849,0.51226006853751849,0,4,4,0
jpetstore,stage3,BALANCE,P1,30,0.43679164761469319,0.25802469135802464,4.9648809523809518,0.11785113019775793,0.51226006853751849,4,0.01134318478013506,0.29166666666666669,0,6,4.8422619047619051,5.1565476190476192,0.31428571428571406,0.11785113019775793,0.16666666666666666,0.048815536468908724,0.49160218433517855,0.53671681048849074,0.045114626153312187,4,4,0
jpetstore,stage3,COUPLING,P2,30,0.44206980643194654,0.25185185185185183,5.477380952380952,0.20412414523193148,0.51226006853751849,4,0,0.29166666666666669,0,6,5.477380952380952,5.477380952380952,0,0.20412414523193148,0.20412414523193148,0,0.51226006853751849,0.51226006853751849,0,4,4,0
jpetstore,stage3,COHESION,P3,30,0.43335771985977772,0.31851851851851853,8.7152380952380959,0.36555410785503717,0.53039242167422207,5,0.019707490639286587,0.29166666666666669,0,6,7.8185714285714294,9.6604761904761904,1.841904761904761,0.33333333333333337,0.44487826050130463,0.11154492716797126,0.51211372451079618,0.53050217969426372,0.018388455183467545,5,5,0
jpetstore,stage3,SEMANTIC,P4,30,0.43705532693187044,0.25185185185185183,4.9690476190476192,0.16666666666666666,0.46566906033572097,4,0.01134318478013506,0.29166666666666669,0,6,4.9690476190476192,6.3883928571428568,1.4193452380952376,0.16666666666666666,0.29552044797276422,0.12885378130609756,0.46566906033572097,0.49213196186936792,0.026462901533646943,4,4,0
xerces,stage2,MODULARITY_ANCHOR,P0,30,0.66151914293439007,0.20879942487419123,8.0687653361834233,1.3098194550186948,0.38873194738704031,31,0,0.14496314496314497,0.012899262899262898,4,8.0687653361834233,8.3346022216889022,0.2658368855054789,1.2823216739248642,1.314526165589089,0.032204491664224788,0.38873194738704031,0.38873194738704031,0,30,31,1
xerces,stage2,BALANCE,P1,30,0.63507329577376481,0.23844716031631918,8.2509595710142207,1.2101941782348129,0.41677548770153944,29,0.039964091688387993,0.14312039312039312,0.005528255528255528,4,3.5151287757500058,8.5403502551209041,5.0252214793708987,1.1973226892072124,1.2402920546089744,0.042969365401761994,0.40950693817653128,0.42789262848274384,0.018385690306212565,28,29,1
xerces,stage2,COUPLING,P2,30,0.66151914293439007,0.20879942487419123,8.0687653361834233,1.3098194550186948,0.38873194738704031,31,0,0.14496314496314497,0.012899262899262898,4,8.0687653361834233,8.3346022216889022,0.2658368855054789,1.2823216739248642,1.314526165589089,0.032204491664224788,0.38873194738704031,0.38873194738704031,0,30,31,1
xerces,stage2,COHESION,P3,30,0.64460612058314815,0.22799424874191229,8.4554492964969281,1.2478934287889474,0.40211467387363103,29,0.02556694319716666,0.14496314496314497,0.0079852579852579854,4,8.3253594633535304,8.6330202497652664,0.307660786411736,1.2203304010477367,1.273407516243835,0.053077115196098257,0.39044108935273114,0.41956722632882237,0.029126136976091233,29,30,1
xerces,stage2,SEMANTIC,P4,30,0.66151914293439007,0.20879942487419123,8.0794391631457216,1.2933419447105705,0.38873194738704031,30.5,0,0.14496314496314497,0.012285012285012284,4,8.0687653361834233,8.3361368466418657,0.26737151045844243,1.2812266027741797,1.314526165589089,0.033299562814909311,0.38873194738704031,0.38873194738704031,0,30,31,1
xerces,stage3,MODULARITY_ANCHOR,P0,30,0.66121340919676053,0.20911574406901509,8.0696162029868432,1.3144549791672444,0.38725947469944266,31,0,0.14496314496314497,0.013513513513513514,5,8.0682741045573572,8.2635270182874798,0.19525291373012266,1.2916748757810983,1.3164200169130522,0.024745141131953918,0.38638429710939992,0.38807155539194993,0.0016872582825500082,30.25,31,0.75
xerces,stage3,BALANCE,P1,30,0.63540293010269644,0.23863407620416965,2.4422337560697707,1.2059213839479237,0.41314224922235732,28,0.037051714115223386,0.14373464373464373,0.0049140049140049139,5,1.7049505992151295,3.7409378598051073,2.0359872605899776,1.1840069665481938,1.2294199320934858,0.04541296554529195,0.40521378682312958,0.4247687346763801,0.019554947853250515,28,29,1
xerces,stage3,COUPLING,P2,30,0.66121340919676053,0.20911574406901509,8.0696162029868432,1.3144549791672444,0.38725947469944266,31,0,0.14496314496314497,0.013513513513513514,5,8.0682741045573572,8.2635270182874798,0.19525291373012266,1.2916748757810983,1.3164200169130522,0.024745141131953918,0.38638429710939992,0.38807155539194993,0.0016872582825500082,30.25,31,0.75
xerces,stage3,COHESION,P3,30,0.64547867305536433,0.22616822429906541,8.5626423607479971,1.2398332392202605,0.39850528980501865,29,0.021798710194382905,0.14496314496314497,0.0092137592137592136,5,8.3381234525582091,8.6276517579784393,0.28952830542023023,1.2204378632839969,1.2785823437065618,0.058144480422564815,0.38904221597582989,0.40529218560777924,0.016249969631949357,29,30,1
xerces,stage3,SEMANTIC,P4,30,0.66112628859347766,0.20918763479511143,8.0698557297486708,1.3141879951363773,0.38703936815403833,31,0,0.14496314496314497,0.013513513513513514,5,8.0680087216688499,8.3372716588814182,0.26926293721256833,1.2843855451246688,1.3159045898688706,0.031519044744201752,0.38614301563472764,0.38749356305899874,0.001350547424271098,30,31,1
