subject,stage,profile,profile_id,n_seeds,median_weighted_modularity,median_coupling,median_cohesion,median_imbalance,median_f_semantic,median_cluster_count,median_relative_modularity_loss,median_max_cluster_ratio,median_singleton_ratio,median_band_size,q1_cohesion,q3_cohesion,iqr_cohesion,q1_imbalance,q3_imbalance,iqr_imbalance,q1_f_semantic,q3_f_semantic,iqr_f_semantic,q1_cluster_count,q3_cluster_count,iqr_cluster_count
daytrader,stage2,MODULARITY_ANCHOR,P0,30,0.29696249582998591,0.43011992619926198,7.1262737262737268,0.69212719195188721,0.61151738287916091,9,0,0.24528301886792453,0.018867924528301886,2,6.5833541458541456,8.0085377585377593,1.4251836126836137,0.60362610725226928,0.78499555436204227,0.18136944710977299,0.57864229187223426,0.68710054967456013,0.10845825780232587,8,10,2
daytrader,stage2,BALANCE,P1,30,0.29435788592203271,0.43657749077490776,7.1010356310356313,0.67615287822089476,0.62379575004781762,9,0,0.24528301886792453,0.018867924528301886,2,6.5166878575969491,8.0247877585377587,1.5080999009408096,0.58954892067659881,0.74426728012513277,0.15471835944853396,0.58389045838415332,0.68970665190999469,0.10581619352584137,8,10,2
daytrader,stage2,COUPLING,P2,30,0.29696249582998591,0.42965867158671589,7.0633716283716286,0.69212719195188721,0.61151738287916091,9,0,0.24528301886792453,0.018867924528301886,2,6.5474481326754059,8.0085377585377593,1.4610896258623534,0.60362610725226928,0.78726966207641758,0.18364355482414829,0.57453673391180005,0.68710054967456013,0.11256381576276009,8,10,2
daytrader,stage2,COHESION,P3,30,0.29376743533925187,0.43726937269372695,7.2682521182521178,0.67615287822089476,0.62817273894203096,9,0,0.24528301886792453,0.018867924528301886,2,6.9435075183654726,8.0465669053169062,1.1030593869514336,0.60362610725226928,0.7711855399431593,0.16755943269089002,0.58219108597654823,0.70132152219124344,0.11913043621469521,8,10,2
daytrader,stage2,SEMANTIC,P4,30,0.29696249582998591,0.43011992619926198,7.0977855477855485,0.69212719195188721,0.61151738287916091,9,0,0.24528301886792453,0.018867924528301886,2,6.5833541458541456,8.0085377585377593,1.4251836126836137,0.60362610725226928,0.78726966207641758,0.18364355482414829,0.57453673391180005,0.68710054967456013,0.11256381576276009,8,10,2
daytrader,stage3,MODULARITY_ANCHOR,P0,30,0.31117867999482574,0.43404059040590404,7.1909174159174158,0.75712804578095327,0.58661188730012326,10,0,0.24528301886792453,0.028301886792452831,2,6.6752429388793022,7.7437631812631817,1.0685202423838795,0.65597263328560951,0.81749392823641032,0.16152129495080081,0.56062924611773834,0.62043088277589753,0.059801636658159185,9,10.75,1.75
daytrader,stage3,BALANCE,P1,30,0.30392625968464476,0.43634686346863472,6.9855157468793827,0.70000874139172131,0.59356287500071625,9,0,0.24528301886792453,0.018867924528301886,2,5.7127349502349505,7.7241022866022861,2.0113673363673357,0.59577807930309767,0.77375745248329841,0.17797937318020074,0.56361823044730697,0.64356645736948259,0.079948226922175625,9,10,1
daytrader,stage3,COUPLING,P2,30,0.31023409735365792,0.43011992619926198,7.1852397602397602,0.75712804578095327,0.59019496751935585,10,0,0.24528301886792453,0.028301886792452831,2,6.4477498511589424,7.6037703037703039,1.1560204526113615,0.65018749072568838,0.83872116116576867,0.18853367044008029,0.56062924611773834,0.6330214476266548,0.072392201508916454,8.25,10.75,2.5
daytrader,stage3,COHESION,P3,30,0.30513348938263363,0.43934501845018448,7.4965765715765711,0.75308017361304369,0.59356287500071625,9,0,0.24528301886792453,0.018867924528301886,2,6.818459116640935,8.4088960807710809,1.5904369641301459,0.66074189093168079,0.81330133139538208,0.15255944046370129,0.56203502951583184,0.62043088277589753,0.058395853260065689,9,10,1
daytrader,stage3,SEMANTIC,P4,30,0.30772629134271046,0.43265682656826565,7.1909174159174158,0.73813915313223488,0.57811791371758225,9.5,0,0.24528301886792453,0.028301886792452831,2,6.6752429388793022,8.0628243284493291,1.3875813895700269,0.64792821157652236,0.83280135263333754,0.18487314105681518,0.55309952501611637,0.6194901989344882,0.066390673918371834,8.25,10.75,2.5
