result_family,subject,seed,front_hypervolume,leiden_only_hypervolume,hypervolume_gain_over_leiden,ssa_observed_overlap,ssa_observed_novelty,ssa_random_mean_overlap,ssa_delta_random,source,source_commit,source_sha256,copy_status,source_manifest,source_manifest_sha256
stage2_hypervolume,jpetstore,14,0.39471113218938497,0.20490460754415149,0.1898065246452334,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,15,0.39221776838997791,0.20490460754415149,0.18731316084582639,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,16,0.3994348942068604,0.20490460754415149,0.1945302866627088,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,17,0.4053035203453399,0.20490460754415149,0.20039891280118829,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,18,0.40111430011279903,0.20490460754415149,0.1962096925686474,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,19,0.40787000683489849,0.20490460754415149,0.20296539929074689,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,20,0.40611712122297949,0.20490460754415149,0.20121251367882789,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,21,0.40912685773288782,0.20490460754415149,0.20422225018873619,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,22,0.38354141839049383,0.20490460754415149,0.1786368108463422,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,23,0.40731159757656649,0.20490460754415149,0.20240699003241491,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,24,0.40375029375707921,0.20490460754415149,0.1988456862129277,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,25,0.39318706620902438,0.20490460754415149,0.18828245866487281,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,26,0.40913023204855992,0.20490460754415149,0.20422562450440829,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,27,0.40642060589073858,0.20490460754415149,0.20151599834658701,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,28,0.40969366199730278,0.20490460754415149,0.20478905445315121,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,jpetstore,29,0.40992401036420972,0.20490460754415149,0.20501940282005809,,,,,results/stage2/subjects/jpetstore/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,752d6ce94ec22eb39a01584e666bbed2a4251fde40a306a81b7ce8bd4cf9df25,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,0,0.1736456084309618,0.058194094239156502,0.1154515141918053,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,1,0.19223290711101029,0.058194094239156502,0.13403881287185371,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,2,0.1826760227031993,0.058194094239156502,0.1244819284640428,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,3,0.1550911561987528,0.058194094239156502,0.096897061959596298,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,4,0.1953586636451953,0.058194094239156502,0.13716456940603869,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,5,0.1905633263921549,0.058194094239156502,0.1323692321529984,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,6,0.20982175696033081,0.058194094239156502,0.15162766272117431,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,7,0.1902261966211222,0.058194094239156502,0.13203210238196561,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,8,0.1371183452268139,0.058194094239156502,0.078924250987657305,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,9,0.17750149396965609,0.058194094239156502,0.1193073997304995,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,10,0.1867410737095177,0.058194094239156502,0.1285469794703612,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
stage2_hypervolume,daytrader,11,0.20393360224335469,0.058194094239156502,0.1457395080041981,,,,,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/raw_runs.csv,da57e84acd0fcbc2cb003bec3fa0b41e23d3e060,0ab70d12886e39bf25ba994d64fe2f3e27e30dfc46a6be5943ca1a0bd461cf46,retained_per_seed_value_copied_not_recomputed,,
