subject,profile,metric,n_pairs,stage2_median,stage3_median,median_paired_delta_stage3_minus_stage2,better_count,tie_count,worse_count,increase_count,decrease_count,comparison_direction,median_ari,median_nmi,stage2_equals_stage3_count,analysis_status
daytrader,COUPLING,weighted_modularity,30,0.29696249582998591,0.31023409735365792,0.0092365810650727187,17,0,13,17,13,higher_is_better,0.53909401973961191,0.71459077438104868,0,DESCRIPTIVE
daytrader,COUPLING,coupling,30,0.42965867158671589,0.43011992619926198,-0.0023062730627306238,15,0,15,15,15,lower_is_better,0.53909401973961191,0.71459077438104868,0,DESCRIPTIVE
daytrader,COUPLING,cohesion,30,7.0633716283716286,7.1852397602397602,-0.033939377121196213,15,0,15,15,15,higher_is_better,0.53909401973961191,0.71459077438104868,0,DESCRIPTIVE
daytrader,COUPLING,imbalance,30,0.69212719195188721,0.75712804578095327,0.045000764117209213,11,0,19,19,11,lower_is_better,0.53909401973961191,0.71459077438104868,0,DESCRIPTIVE
daytrader,COUPLING,f_semantic,30,0.61151738287916091,0.59019496751935585,-0.011601338105673875,15,0,15,15,15,lower_is_better,0.53909401973961191,0.71459077438104868,0,DESCRIPTIVE
daytrader,COUPLING,cluster_count,30,9,10,0.5,,7,,15,8,descriptive_increase_tie_decrease,0.53909401973961191,0.71459077438104868,0,DESCRIPTIVE
daytrader,COHESION,weighted_modularity,30,0.29376743533925187,0.30513348938263363,0.0062758179184652374,17,0,13,17,13,higher_is_better,0.54199542830134428,0.7159445254338086,0,DESCRIPTIVE
daytrader,COHESION,coupling,30,0.43726937269372695,0.43934501845018448,0.0048431734317343211,14,0,16,16,14,lower_is_better,0.54199542830134428,0.7159445254338086,0,DESCRIPTIVE
daytrader,COHESION,cohesion,30,7.2682521182521178,7.4965765715765711,0.31563769563769473,17,0,13,17,13,higher_is_better,0.54199542830134428,0.7159445254338086,0,DESCRIPTIVE
daytrader,COHESION,imbalance,30,0.67615287822089476,0.75308017361304369,0.078066160780511817,11,0,19,19,11,lower_is_better,0.54199542830134428,0.7159445254338086,0,DESCRIPTIVE
daytrader,COHESION,f_semantic,30,0.62817273894203096,0.59356287500071625,-0.011601338105673875,15,0,15,15,15,lower_is_better,0.54199542830134428,0.7159445254338086,0,DESCRIPTIVE
daytrader,COHESION,cluster_count,30,9,9,0,,7,,13,10,descriptive_increase_tie_decrease,0.54199542830134428,0.7159445254338086,0,DESCRIPTIVE
daytrader,SEMANTIC,weighted_modularity,30,0.29696249582998591,0.30772629134271046,0.0092365810650727187,17,0,13,17,13,higher_is_better,0.56939578355219223,0.7272737398980722,0,DESCRIPTIVE
daytrader,SEMANTIC,coupling,30,0.43011992619926198,0.43265682656826565,0.0078413284132841377,14,0,16,16,14,lower_is_better,0.56939578355219223,0.7272737398980722,0,DESCRIPTIVE
daytrader,SEMANTIC,cohesion,30,7.0977855477855485,7.1909174159174158,-0.0066721998540186789,15,0,15,15,15,higher_is_better,0.56939578355219223,0.7272737398980722,0,DESCRIPTIVE
daytrader,SEMANTIC,imbalance,30,0.69212719195188721,0.73813915313223488,0.047484083660683019,12,0,18,18,12,lower_is_better,0.56939578355219223,0.7272737398980722,0,DESCRIPTIVE
daytrader,SEMANTIC,f_semantic,30,0.61151738287916091,0.57811791371758225,-0.011601338105673875,15,0,15,15,15,lower_is_better,0.56939578355219223,0.7272737398980722,0,DESCRIPTIVE
daytrader,SEMANTIC,cluster_count,30,9,9.5,0.5,,6,,15,9,descriptive_increase_tie_decrease,0.56939578355219223,0.7272737398980722,0,DESCRIPTIVE
xerces,BALANCE,weighted_modularity,30,0.63507329577376481,0.63540293010269644,0.0011999727115034053,16,0,14,16,14,higher_is_better,0.93161605782464707,0.9254797131927428,0,DESCRIPTIVE
