subject,seed,stage,profile,profile_id,weighted_modularity,relative_modularity_loss,coupling,cohesion,imbalance,f_semantic,cluster_count,canonical_partition_sha256
daytrader,0,stage2,MODULARITY_ANCHOR,P0,0.26605380935036316,0,0.53459409594095941,14.832683982683983,0.65929830979834525,0.62899560929106757,10,2ddef52076a5c058b9f0b7362fa5b80cbfb6a7c9b8e043ea11aaec0c06711861
daytrader,0,stage2,BALANCE,P1,0.26605380935036316,0,0.53459409594095941,14.832683982683983,0.65929830979834525,0.62899560929106757,10,2ddef52076a5c058b9f0b7362fa5b80cbfb6a7c9b8e043ea11aaec0c06711861
daytrader,0,stage2,COUPLING,P2,0.26605380935036316,0,0.53459409594095941,14.832683982683983,0.65929830979834525,0.62899560929106757,10,2ddef52076a5c058b9f0b7362fa5b80cbfb6a7c9b8e043ea11aaec0c06711861
daytrader,0,stage2,COHESION,P3,0.26605380935036316,0,0.53459409594095941,14.832683982683983,0.65929830979834525,0.62899560929106757,10,2ddef52076a5c058b9f0b7362fa5b80cbfb6a7c9b8e043ea11aaec0c06711861
daytrader,0,stage2,SEMANTIC,P4,0.26605380935036316,0,0.53459409594095941,14.832683982683983,0.65929830979834525,0.62899560929106757,10,2ddef52076a5c058b9f0b7362fa5b80cbfb6a7c9b8e043ea11aaec0c06711861
daytrader,0,stage3,MODULARITY_ANCHOR,P0,0.25978825690009655,0,0.4640221402214022,5.2646103896103904,0.47094279148485602,0.73455240274065903,8,4a8416d20b7d0243663195821f64cc2c70fd174d241e624542bf78b3e3ecca10
daytrader,0,stage3,BALANCE,P1,0.25978825690009655,0,0.4640221402214022,5.2646103896103904,0.47094279148485602,0.73455240274065903,8,4a8416d20b7d0243663195821f64cc2c70fd174d241e624542bf78b3e3ecca10
daytrader,0,stage3,COUPLING,P2,0.25978825690009655,0,0.4640221402214022,5.2646103896103904,0.47094279148485602,0.73455240274065903,8,4a8416d20b7d0243663195821f64cc2c70fd174d241e624542bf78b3e3ecca10
daytrader,0,stage3,COHESION,P3,0.25978825690009655,0,0.4640221402214022,5.2646103896103904,0.47094279148485602,0.73455240274065903,8,4a8416d20b7d0243663195821f64cc2c70fd174d241e624542bf78b3e3ecca10
daytrader,0,stage3,SEMANTIC,P4,0.25978825690009655,0,0.4640221402214022,5.2646103896103904,0.47094279148485602,0.73455240274065903,8,4a8416d20b7d0243663195821f64cc2c70fd174d241e624542bf78b3e3ecca10
daytrader,1,stage2,MODULARITY_ANCHOR,P0,0.16988764790784439,0,0.62177121771217714,16.69781946448613,0.489839810782912,0.81472336863136663,9,166d6702b82218c4512524c1a63b4cf9ec2f43dabe612e258e905b0ec3dbe343
daytrader,1,stage2,BALANCE,P1,0.16988764790784439,0,0.62177121771217714,16.69781946448613,0.489839810782912,0.81472336863136663,9,166d6702b82218c4512524c1a63b4cf9ec2f43dabe612e258e905b0ec3dbe343
daytrader,1,stage2,COUPLING,P2,0.16988764790784439,0,0.62177121771217714,16.69781946448613,0.489839810782912,0.81472336863136663,9,166d6702b82218c4512524c1a63b4cf9ec2f43dabe612e258e905b0ec3dbe343
daytrader,1,stage2,COHESION,P3,0.16988764790784439,0,0.62177121771217714,16.69781946448613,0.489839810782912,0.81472336863136663,9,166d6702b82218c4512524c1a63b4cf9ec2f43dabe612e258e905b0ec3dbe343
daytrader,1,stage2,SEMANTIC,P4,0.16988764790784439,0,0.62177121771217714,16.69781946448613,0.489839810782912,0.81472336863136663,9,166d6702b82218c4512524c1a63b4cf9ec2f43dabe612e258e905b0ec3dbe343
daytrader,1,stage3,MODULARITY_ANCHOR,P0,0.31524954980868986,0,0.43035055350553508,7.4663299663299654,0.68602486651689965,0.59601041786308095,9,4aa1dcdc1fcf70f23d286ca8d2b3c119165524841f55bd6f752a692346049a64
daytrader,1,stage3,BALANCE,P1,0.31185258404705812,0.010775481721363887,0.43680811808118081,7.759499759499759,0.62748260937041089,0.58491299096062366,9,5bc3d4b42e5d615341864936efcc5bfe1ca29f2de71b9e854de39ea8008a3290
daytrader,1,stage3,COUPLING,P2,0.31524954980868986,0,0.43035055350553508,7.4663299663299654,0.68602486651689965,0.59601041786308095,9,4aa1dcdc1fcf70f23d286ca8d2b3c119165524841f55bd6f752a692346049a64
daytrader,1,stage3,COHESION,P3,0.31291551211176299,0.0074037780493049982,0.4331180811808118,8.373200873200874,0.70445866802243284,0.57301070233859042,9,f8578c782e4426aa412ed7c181e8cc6335da794f0d737d9bdbddfd31cf34031e
daytrader,1,stage3,SEMANTIC,P4,0.31291551211176299,0.0074037780493049982,0.4331180811808118,8.373200873200874,0.70445866802243284,0.57301070233859042,9,f8578c782e4426aa412ed7c181e8cc6335da794f0d737d9bdbddfd31cf34031e
daytrader,2,stage2,MODULARITY_ANCHOR,P0,0.32459676389891201,0,0.41789667896678967,7.1547619047619051,0.84821761482977454,0.56275487044467698,10,8a37a78cafdecb50d3aaac29da23cab6bb1df017dab55a7d39c048e6e66b13f6
daytrader,2,stage2,BALANCE,P1,0.3184115267697879,0.01905514107666938,0.42527675276752769,7.0604118104118099,0.83126002912870534,0.57397739909295775,10,e4452809a21c5a8f3afb1051ea77bbce6cbb25b235afda2592cdb34e40567d3b
daytrader,2,stage2,COUPLING,P2,0.32459676389891201,0,0.41789667896678967,7.1547619047619051,0.84821761482977454,0.56275487044467698,10,8a37a78cafdecb50d3aaac29da23cab6bb1df017dab55a7d39c048e6e66b13f6
daytrader,2,stage2,COHESION,P3,0.32459676389891201,0,0.41789667896678967,7.1547619047619051,0.84821761482977454,0.56275487044467698,10,8a37a78cafdecb50d3aaac29da23cab6bb1df017dab55a7d39c048e6e66b13f6
daytrader,2,stage2,SEMANTIC,P4,0.32459676389891201,0,0.41789667896678967,7.1547619047619051,0.84821761482977454,0.56275487044467698,10,8a37a78cafdecb50d3aaac29da23cab6bb1df017dab55a7d39c048e6e66b13f6
daytrader,2,stage3,MODULARITY_ANCHOR,P0,0.25698775207309277,0,0.45710332103321033,7.0852628852628845,0.66226146319940538,0.58347035131700098,9,7191a80d7384936dc017184a009c4a937a5780363d7284df9b3ee8367fb1310b
daytrader,2,stage3,BALANCE,P1,0.24829880448250993,0.033810745922675391,0.47047970479704798,7.0972101972101971,0.5852099026139933,0.58000928942837149,9,66fc78b5504044ee08356fb1285b126b4a56f4f79079816511c1d78d912f415b
daytrader,2,stage3,COUPLING,P2,0.24444143513160241,0.048820680519910231,0.38053505535055349,5.579155844155844,0.8689493539373172,0.6495720064733902,10,60e32961217f87e0fe053b7c717ee0ae7fc28e75a717ecd6f91783ff141f18ce
daytrader,2,stage3,COHESION,P3,0.25366471895807524,0.012930706184286888,0.46217712177121772,7.1107744107744102,0.61197263170667371,0.61124922760091849,9,3cf5f7866f196153abd988151fca59d4aaf3c580ed413aa5a1483974018f77ac
daytrader,2,stage3,SEMANTIC,P4,0.24829880448250993,0.033810745922675391,0.47047970479704798,7.0972101972101971,0.5852099026139933,0.58000928942837149,9,66fc78b5504044ee08356fb1285b126b4a56f4f79079816511c1d78d912f415b
daytrader,3,stage2,MODULARITY_ANCHOR,P0,0.18020694332865833,0,0.5899446494464945,7.7755952380952387,0.31060523836140247,0.77874061049372512,8,93238fa0d009b10d20c5d1f29ad61e318bf354e123c1ec5d5d1540f8f4ce6683
daytrader,3,stage2,BALANCE,P1,0.17729186949387951,0.016176257035015337,0.48431734317343172,4.6917171717171708,0.046216787599682611,0.81611617334639242,5,d38e73178ea790aadb5273298275a7d98c7e089695bcd2be4dd0978a1cd285d4
daytrader,3,stage2,COUPLING,P2,0.17729186949387951,0.016176257035015337,0.48431734317343172,4.6917171717171708,0.046216787599682611,0.81611617334639242,5,d38e73178ea790aadb5273298275a7d98c7e089695bcd2be4dd0978a1cd285d4
daytrader,3,stage2,COHESION,P3,0.18020694332865833,0,0.5899446494464945,7.7755952380952387,0.31060523836140247,0.77874061049372512,8,93238fa0d009b10d20c5d1f29ad61e318bf354e123c1ec5d5d1540f8f4ce6683
daytrader,3,stage2,SEMANTIC,P4,0.18020694332865833,0,0.5899446494464945,7.7755952380952387,0.31060523836140247,0.77874061049372512,8,93238fa0d009b10d20c5d1f29ad61e318bf354e123c1ec5d5d1540f8f4ce6683
daytrader,3,stage3,MODULARITY_ANCHOR,P0,0.16353784415381054,0,0.45018450184501846,4.7542667708108883,0.37499258328965646,0.54359574924179677,4,4a2c40187aa305f82eeaa465655b0c3ed3785d640bcbe97014e69e0226dd31bf
daytrader,3,stage3,BALANCE,P1,0.16353784415381054,0,0.45018450184501846,4.7542667708108883,0.37499258328965646,0.54359574924179677,4,4a2c40187aa305f82eeaa465655b0c3ed3785d640bcbe97014e69e0226dd31bf
daytrader,3,stage3,COUPLING,P2,0.16353784415381054,0,0.45018450184501846,4.7542667708108883,0.37499258328965646,0.54359574924179677,4,4a2c40187aa305f82eeaa465655b0c3ed3785d640bcbe97014e69e0226dd31bf
daytrader,3,stage3,COHESION,P3,0.15991099573126752,0.022177425912083656,0.56365313653136528,34.90120614035088,0.4602381478358667,0.48983937356018392,4,515d615e08a142178a077229af6e997dde00024fca832fd0045257809e7dbed3
daytrader,3,stage3,SEMANTIC,P4,0.15991099573126752,0.022177425912083656,0.56365313653136528,34.90120614035088,0.4602381478358667,0.48983937356018392,4,515d615e08a142178a077229af6e997dde00024fca832fd0045257809e7dbed3
daytrader,4,stage2,MODULARITY_ANCHOR,P0,0.28865762567911663,0,0.42573800738007378,7.3237022237022238,0.71797349397888466,0.60020368596578599,9,8f65dc66caac8510d1fd9c947c96f0818736fb7b5fd4531819ee7201012754a8
daytrader,4,stage2,BALANCE,P1,0.28865762567911663,0,0.42573800738007378,7.3237022237022238,0.71797349397888466,0.60020368596578599,9,8f65dc66caac8510d1fd9c947c96f0818736fb7b5fd4531819ee7201012754a8
daytrader,4,stage2,COUPLING,P2,0.28865762567911663,0,0.42573800738007378,7.3237022237022238,0.71797349397888466,0.60020368596578599,9,8f65dc66caac8510d1fd9c947c96f0818736fb7b5fd4531819ee7201012754a8
daytrader,4,stage2,COHESION,P3,0.28865762567911663,0,0.42573800738007378,7.3237022237022238,0.71797349397888466,0.60020368596578599,9,8f65dc66caac8510d1fd9c947c96f0818736fb7b5fd4531819ee7201012754a8
daytrader,4,stage2,SEMANTIC,P4,0.28865762567911663,0,0.42573800738007378,7.3237022237022238,0.71797349397888466,0.60020368596578599,9,8f65dc66caac8510d1fd9c947c96f0818736fb7b5fd4531819ee7201012754a8
daytrader,4,stage3,MODULARITY_ANCHOR,P0,0.30470196739559646,0,0.44142066420664205,7.2116161616161607,0.65387635664767763,0.622948549963946,10,0808ca52f8319ed8458ef1ce885d81a0de50fb4216f8648b3b7f9a70058958c5
daytrader,4,stage3,BALANCE,P1,0.30470196739559646,0,0.44142066420664205,7.2116161616161607,0.65387635664767763,0.622948549963946,10,0808ca52f8319ed8458ef1ce885d81a0de50fb4216f8648b3b7f9a70058958c5
daytrader,4,stage3,COUPLING,P2,0.30470196739559646,0,0.44142066420664205,7.2116161616161607,0.65387635664767763,0.622948549963946,10,0808ca52f8319ed8458ef1ce885d81a0de50fb4216f8648b3b7f9a70058958c5
daytrader,4,stage3,COHESION,P3,0.30470196739559646,0,0.44142066420664205,7.2116161616161607,0.65387635664767763,0.622948549963946,10,0808ca52f8319ed8458ef1ce885d81a0de50fb4216f8648b3b7f9a70058958c5
daytrader,4,stage3,SEMANTIC,P4,0.30470196739559646,0,0.44142066420664205,7.2116161616161607,0.65387635664767763,0.622948549963946,10,0808ca52f8319ed8458ef1ce885d81a0de50fb4216f8648b3b7f9a70058958c5
daytrader,5,stage2,MODULARITY_ANCHOR,P0,0.17798811290695934,0,0.34501845018450183,5.6280864197530862,0.81416788718458177,0.66810918700495914,9,2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765
daytrader,5,stage2,BALANCE,P1,0.17798811290695934,0,0.34501845018450183,5.6280864197530862,0.81416788718458177,0.66810918700495914,9,2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765
daytrader,5,stage2,COUPLING,P2,0.17798811290695934,0,0.34501845018450183,5.6280864197530862,0.81416788718458177,0.66810918700495914,9,2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765
daytrader,5,stage2,COHESION,P3,0.17798811290695934,0,0.34501845018450183,5.6280864197530862,0.81416788718458177,0.66810918700495914,9,2aacc6a1fa95e00ec9ce53c6192a4b92f819143503a301cf448b4be686873765
