class_id,class_name,raw_cluster_id,ssa_cluster_id,raw_cluster_size,ssa_cluster_size,lost_same_cluster_neighbors,gained_same_cluster_neighbors,membership_jaccard
com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,1,4,20,8,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean;com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal;com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote;com.ibm.websphere.samples.daytrader.entities.AccountDataBean;com.ibm.websphere.samples.daytrader.entities.HoldingDataBean;com.ibm.websphere.samples.daytrader.entities.OrderDataBean;com.ibm.websphere.samples.daytrader.entities.QuoteDataBean;com.ibm.websphere.samples.daytrader.util.FinancialUtils;com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.HoldingData;com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF;com.ibm.websphere.samples.daytrader.web.jsf.OrderData;com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF;com.ibm.websphere.samples.daytrader.web.jsf.QuoteData;com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,com.ibm.websphere.samples.daytrader.TradeAction;com.ibm.websphere.samples.daytrader.TradeServices;com.ibm.websphere.samples.daytrader.util.CompleteOrderThread;com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter;com.ibm.websphere.samples.daytrader.web.TestServlet;com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer;com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,0.0
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2Many,com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2Many,2,2,13,12,com.ibm.websphere.samples.daytrader.util.TradeConfig;com.ibm.websphere.samples.daytrader.web.TradeBuildDB;com.ibm.websphere.samples.daytrader.web.TradeConfigServlet;com.ibm.websphere.samples.daytrader.web.TradeScenarioServlet;com.ibm.websphere.samples.daytrader.web.TradeWebContextListener;com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCWrite;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Include;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Entity;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2TwoPhase,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean;com.ibm.websphere.samples.daytrader.entities.AccountDataBean;com.ibm.websphere.samples.daytrader.entities.HoldingDataBean;com.ibm.websphere.samples.daytrader.entities.OrderDataBean;com.ibm.websphere.samples.daytrader.util.FinancialUtils;com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.HoldingData;com.ibm.websphere.samples.daytrader.web.jsf.OrderData;com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,0.045454545454545456
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2EntityCollection,com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2EntityCollection,2,2,13,12,com.ibm.websphere.samples.daytrader.util.TradeConfig;com.ibm.websphere.samples.daytrader.web.TradeBuildDB;com.ibm.websphere.samples.daytrader.web.TradeConfigServlet;com.ibm.websphere.samples.daytrader.web.TradeScenarioServlet;com.ibm.websphere.samples.daytrader.web.TradeWebContextListener;com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCWrite;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Include;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Entity;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2TwoPhase,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean;com.ibm.websphere.samples.daytrader.entities.AccountDataBean;com.ibm.websphere.samples.daytrader.entities.HoldingDataBean;com.ibm.websphere.samples.daytrader.entities.OrderDataBean;com.ibm.websphere.samples.daytrader.util.FinancialUtils;com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.HoldingData;com.ibm.websphere.samples.daytrader.web.jsf.OrderData;com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,0.045454545454545456
com.ibm.websphere.samples.daytrader.web.TradeAppServlet,com.ibm.websphere.samples.daytrader.web.TradeAppServlet,3,1,9,13,com.ibm.websphere.samples.daytrader.TradeAction;com.ibm.websphere.samples.daytrader.TradeServices;com.ibm.websphere.samples.daytrader.util.CompleteOrderThread;com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter;com.ibm.websphere.samples.daytrader.web.TestServlet;com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer;com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,com.ibm.websphere.samples.daytrader.util.TradeConfig;com.ibm.websphere.samples.daytrader.web.TradeBuildDB;com.ibm.websphere.samples.daytrader.web.TradeConfigServlet;com.ibm.websphere.samples.daytrader.web.TradeScenarioServlet;com.ibm.websphere.samples.daytrader.web.TradeWebContextListener;com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCWrite;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Include;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Entity;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2TwoPhase,0.05263157894736842
com.ibm.websphere.samples.daytrader.web.TradeServletAction,com.ibm.websphere.samples.daytrader.web.TradeServletAction,3,1,9,13,com.ibm.websphere.samples.daytrader.TradeAction;com.ibm.websphere.samples.daytrader.TradeServices;com.ibm.websphere.samples.daytrader.util.CompleteOrderThread;com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter;com.ibm.websphere.samples.daytrader.web.TestServlet;com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer;com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,com.ibm.websphere.samples.daytrader.util.TradeConfig;com.ibm.websphere.samples.daytrader.web.TradeBuildDB;com.ibm.websphere.samples.daytrader.web.TradeConfigServlet;com.ibm.websphere.samples.daytrader.web.TradeScenarioServlet;com.ibm.websphere.samples.daytrader.web.TradeWebContextListener;com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCWrite;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Include;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Entity;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2TwoPhase,0.05263157894736842
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,7,0,4,36,,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean;com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect;com.ibm.websphere.samples.daytrader.direct.TradeDirect;com.ibm.websphere.samples.daytrader.util.Log;com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator;com.ibm.websphere.samples.daytrader.web.prims.ExplicitGC;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead2JSP;com.ibm.websphere.samples.daytrader.web.prims.PingJSONP;com.ibm.websphere.samples.daytrader.web.prims.PingServlet;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2DB;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2JNDI;com.ibm.websphere.samples.daytrader.web.prims.PingServletSetContentLength;com.ibm.websphere.samples.daytrader.web.prims.PingServletWriter;com.ibm.websphere.samples.daytrader.web.prims.PingSession1;com.ibm.websphere.samples.daytrader.web.prims.PingSession2;com.ibm.websphere.samples.daytrader.web.prims.PingSession3;com.ibm.websphere.samples.daytrader.web.prims.PingSession3Object;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$1;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Handler;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Listener;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBQueue;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBTopic;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionLocal;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionRemote;com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder;com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage;com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket;com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,0.08571428571428572
com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,7,0,4,36,,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean;com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect;com.ibm.websphere.samples.daytrader.direct.TradeDirect;com.ibm.websphere.samples.daytrader.util.Log;com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator;com.ibm.websphere.samples.daytrader.web.prims.ExplicitGC;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead2JSP;com.ibm.websphere.samples.daytrader.web.prims.PingJSONP;com.ibm.websphere.samples.daytrader.web.prims.PingServlet;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2DB;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2JNDI;com.ibm.websphere.samples.daytrader.web.prims.PingServletSetContentLength;com.ibm.websphere.samples.daytrader.web.prims.PingServletWriter;com.ibm.websphere.samples.daytrader.web.prims.PingSession1;com.ibm.websphere.samples.daytrader.web.prims.PingSession2;com.ibm.websphere.samples.daytrader.web.prims.PingSession3;com.ibm.websphere.samples.daytrader.web.prims.PingSession3Object;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$1;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Handler;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Listener;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBQueue;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBTopic;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionLocal;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionRemote;com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder;com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage;com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket;com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,0.08571428571428572
com.ibm.websphere.samples.daytrader.util.MDBStats,com.ibm.websphere.samples.daytrader.util.MDBStats,7,0,4,36,,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean;com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect;com.ibm.websphere.samples.daytrader.direct.TradeDirect;com.ibm.websphere.samples.daytrader.util.Log;com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator;com.ibm.websphere.samples.daytrader.web.prims.ExplicitGC;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead2JSP;com.ibm.websphere.samples.daytrader.web.prims.PingJSONP;com.ibm.websphere.samples.daytrader.web.prims.PingServlet;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2DB;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2JNDI;com.ibm.websphere.samples.daytrader.web.prims.PingServletSetContentLength;com.ibm.websphere.samples.daytrader.web.prims.PingServletWriter;com.ibm.websphere.samples.daytrader.web.prims.PingSession1;com.ibm.websphere.samples.daytrader.web.prims.PingSession2;com.ibm.websphere.samples.daytrader.web.prims.PingSession3;com.ibm.websphere.samples.daytrader.web.prims.PingSession3Object;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$1;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Handler;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Listener;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBQueue;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBTopic;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionLocal;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionRemote;com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder;com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage;com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket;com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,0.08571428571428572
com.ibm.websphere.samples.daytrader.util.TimerStat,com.ibm.websphere.samples.daytrader.util.TimerStat,7,0,4,36,,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean;com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect;com.ibm.websphere.samples.daytrader.direct.TradeDirect;com.ibm.websphere.samples.daytrader.util.Log;com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator;com.ibm.websphere.samples.daytrader.web.prims.ExplicitGC;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead;com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead2JSP;com.ibm.websphere.samples.daytrader.web.prims.PingJSONP;com.ibm.websphere.samples.daytrader.web.prims.PingServlet;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2DB;com.ibm.websphere.samples.daytrader.web.prims.PingServlet2JNDI;com.ibm.websphere.samples.daytrader.web.prims.PingServletSetContentLength;com.ibm.websphere.samples.daytrader.web.prims.PingServletWriter;com.ibm.websphere.samples.daytrader.web.prims.PingSession1;com.ibm.websphere.samples.daytrader.web.prims.PingSession2;com.ibm.websphere.samples.daytrader.web.prims.PingSession3;com.ibm.websphere.samples.daytrader.web.prims.PingSession3Object;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$1;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Handler;com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Listener;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBQueue;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBTopic;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionLocal;com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionRemote;com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder;com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage;com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket;com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,0.08571428571428572
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,1,3,20,9,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean;com.ibm.websphere.samples.daytrader.entities.AccountDataBean;com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean;com.ibm.websphere.samples.daytrader.entities.HoldingDataBean;com.ibm.websphere.samples.daytrader.entities.OrderDataBean;com.ibm.websphere.samples.daytrader.util.FinancialUtils;com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.HoldingData;com.ibm.websphere.samples.daytrader.web.jsf.OrderData;com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF;com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,,0.42105263157894735
