metric,raw,ssa,delta
average_cluster_size,4.321428571428571,4.321428571428571,0.0
average_degree,4.413223140495868,4.545454545454546,0.13223140495867813
cluster_count,28.0,28.0,0.0
density,0.03677685950413223,0.03787878787878788,0.0011019283746556488
edge_count,267.0,275.0,8.0
internal_edge_weight_ratio,0.5999269272926562,0.566815144766147,-0.03311178252650915
internal_external_edge_ratio,1.4995433789954338,1.3084832904884318,-0.19106008850700196
max_cluster_ratio,0.2644628099173554,0.2975206611570248,0.03305785123966942
max_cluster_size,32.0,36.0,4.0
min_cluster_size,1.0,1.0,0.0
modularity,0.35742358769372207,0.3481862844182341,-0.00923730327548794
node_count,121.0,121.0,0.0
singleton_ratio,0.12396694214876033,0.12396694214876033,0.0
