subject,seed,budget,canonical_operating_profile,selection_rule,solution_id,weighted_modularity,modularity_max_in_feasible_front,realised_modularity_loss,eligible_candidate_count,coupling,cohesion,imbalance,cluster_count,max_cluster_ratio,singleton_ratio,label_vector,stage3_solution_id,stage3_weighted_modularity,stage3_coupling,stage3_cohesion,stage3_imbalance,stage3_cluster_count,stage3_realised_modularity_loss,canonical_minus_stage3_weighted_modularity,canonical_minus_stage3_imbalance,canonical_minus_stage3_coupling,canonical_minus_stage3_cohesion,comparison_basis
daytrader,10,0.05,True,minimum_imbalance_within_relative_modularity_band,seed10_solution040,0.2848583386664124,0.2938668454950231,0.030655063566071,2,0.4663284132841328,8.049805194805195,0.5849056603773585,10,0.2264150943396226,0.0,"[0, 1, 2, 0, 0, 0, 3, 3, 4, 5, 2, 5, 6, 5, 5, 2, 5, 2, 1, 6, 7, 7, 0, 3, 3, 1, 8, 0, 1, 1, 0, 5, 4, 2, 6, 4, 2, 8, 8, 2, 2, 2, 0, 0, 1, 3, 0, 6, 9, 5, 9, 0, 0]",seed10_solution032,0.3212007555384593,0.4220479704797047,8.420794483294483,0.648957868751692,8.0,0.010462237268361,-0.03634241687204687,-0.06405220837433356,0.04428044280442811,-0.37098928848928736,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,11,0.05,True,minimum_imbalance_within_relative_modularity_band,seed11_solution061,0.172390932857668,0.172390932857668,0.0,1,0.5770295202952029,23.90138888888889,0.6040683242861177,6,0.3018867924528302,0.0,"[0, 1, 2, 3, 3, 4, 3, 1, 2, 4, 2, 3, 2, 0, 1, 1, 0, 2, 1, 2, 1, 1, 4, 0, 3, 1, 3, 0, 1, 1, 1, 0, 1, 2, 1, 2, 2, 3, 5, 2, 3, 0, 2, 0, 1, 1, 2, 2, 2, 1, 5, 3, 2]",seed11_solution030,0.3149909451124031,0.4358856088560885,6.06993746993747,0.6426183534311848,9.0,0.0295930824174833,-0.14260001225473512,-0.03855002914506711,0.14114391143911442,17.831451418951417,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,12,0.05,True,minimum_imbalance_within_relative_modularity_band,seed12_solution034,0.3000581461649487,0.3000581461649487,0.0,1,0.4372693726937269,5.671807359307359,0.5115261023292814,8,0.2264150943396226,0.0,"[0, 1, 2, 0, 3, 0, 0, 3, 2, 4, 2, 4, 4, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 5, 1, 1, 1, 4, 7, 2, 7, 0, 2, 1, 4, 2, 2, 2, 0, 0, 1, 0, 0, 7, 6, 6, 6, 0, 0]",,,,,,,,,,,,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,13,0.05,True,minimum_imbalance_within_relative_modularity_band,seed13_solution033,0.324596763898912,0.324596763898912,0.0,1,0.4178966789667896,7.94973544973545,0.7442672801251328,9,0.2452830188679245,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 2, 0, 1, 1, 1, 4, 6, 2, 7, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 7, 8, 8, 8, 0, 0]",,,,,,,,,,,,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,14,0.05,True,minimum_imbalance_within_relative_modularity_band,seed14_solution042,0.3163976865783416,0.3163976865783416,0.0,1,0.4248154981549815,8.089528527028527,0.631159572968971,8,0.2452830188679245,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 1, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 4, 0, 1, 1, 1, 4, 6, 2, 7, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 4, 7, 7, 7, 0, 0]",seed14_solution029,0.324596763898912,0.4178966789667896,7.6179098679098685,0.7738149680909387,9.0,0.0,-0.008199077320570403,-0.1426553951219678,0.0069188191881918715,0.47161865911865863,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,15,0.05,True,minimum_imbalance_within_relative_modularity_band,seed15_solution030,0.196940826649964,0.196940826649964,0.0,1,0.3920664206642066,6.6310356310356315,0.6662808899248897,8,0.2641509433962264,0.0,"[0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 1, 3, 1, 3, 4, 1, 0, 0, 3, 1, 5, 5, 0, 2, 2, 3, 2, 4, 3, 3, 3, 0, 6, 4, 3, 6, 1, 4, 3, 1, 1, 2, 0, 6, 3, 0, 0, 1, 3, 7, 7, 0, 1]",seed15_solution031,0.3121649095872877,0.4285055350553504,5.1117539026629935,0.8102230397578823,11.0,0.0382993784728423,-0.1152240829373237,-0.1439421498329927,-0.03643911439114378,1.519281728372638,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,16,0.05,True,minimum_imbalance_within_relative_modularity_band,seed16_solution039,0.282244527069348,0.282244527069348,0.0,2,0.4571033210332103,5.441818598068598,0.6034787015743198,8,0.2452830188679245,0.0,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 1, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 1, 0, 1, 1, 1, 4, 6, 1, 6, 0, 2, 4, 4, 1, 0, 2, 0, 0, 1, 0, 6, 5, 7, 7, 1, 0, 0]",seed16_solution037,0.3120194909859614,0.4248154981549814,8.129833129833129,0.7696633228064577,9.0,0.0387473761656706,-0.029774963916613384,-0.16618462123213784,0.0322878228782289,-2.688014531764531,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,17,0.05,True,minimum_imbalance_within_relative_modularity_band,seed17_solution037,0.3008659800043571,0.3110936840456965,0.0328766045916799,3,0.4515682656826568,5.277792207792208,0.7011661953230961,10,0.2264150943396226,0.0377358490566037,"[0, 1, 2, 0, 3, 0, 4, 4, 2, 5, 2, 5, 6, 5, 5, 7, 5, 2, 1, 2, 3, 3, 0, 4, 4, 1, 7, 0, 1, 1, 1, 5, 2, 2, 7, 0, 2, 4, 5, 2, 2, 2, 0, 0, 1, 0, 0, 7, 8, 9, 9, 0, 0]",seed17_solution028,0.3207655635135687,0.4248154981549814,7.002913752913753,0.8312600291287053,10.0,0.0118029531142722,-0.019899583509211616,-0.13009383380560924,0.026752767527675414,-1.725121545121545,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,18,0.05,True,minimum_imbalance_within_relative_modularity_band,seed18_solution034,0.3133921915210848,0.324596763898912,0.0345184352525357,2,0.4285055350553505,6.866421911421912,0.835531691527718,10,0.2641509433962264,0.0566037735849056,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 0, 2, 7, 0, 2, 4, 4, 2, 2, 1, 0, 0, 1, 0, 0, 8, 9, 9, 9, 0, 0]",seed18_solution032,0.3129521061123894,0.4349630996309962,6.521185884822248,0.7906538430096967,11.0,0.0358742263682855,0.0004400854086953898,0.044877848518021346,-0.0064575645756457245,0.3452360265996637,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,19,0.05,True,minimum_imbalance_within_relative_modularity_band,seed19_solution030,0.2663247538840703,0.2701040418499204,0.013991971167725,3,0.4358856088560885,14.142612942612944,0.5059278368978084,8,0.2452830188679245,0.0,"[0, 1, 2, 3, 0, 0, 3, 3, 3, 0, 2, 4, 2, 4, 0, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 6, 7, 0, 1, 1, 3, 4, 1, 2, 7, 0, 2, 4, 4, 2, 5, 2, 4, 0, 6, 0, 0, 1, 7, 7, 7, 0, 0]",seed19_solution031,0.3124697886739014,0.4321955719557195,6.776355866355867,0.7872696620764174,10.0,0.0373601236172127,-0.04614503478983112,-0.28134182517860895,0.0036900369003690092,7.366257076257077,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,20,0.05,True,minimum_imbalance_within_relative_modularity_band,seed20_solution038,0.324596763898912,0.324596763898912,0.0,1,0.4178966789667896,7.94973544973545,0.7442672801251328,9,0.2452830188679245,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 2, 0, 1, 1, 1, 4, 6, 2, 6, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 7, 8, 8, 8, 0, 0]",,,,,,,,,,,,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,21,0.05,True,minimum_imbalance_within_relative_modularity_band,seed21_solution030,0.324596763898912,0.324596763898912,0.0,1,0.4178966789667896,7.0977855477855485,0.8524043017416241,10,0.2641509433962264,0.0566037735849056,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 7, 2, 0, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 8, 9, 9, 9, 0, 0]",,,,,,,,,,,,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,22,0.05,True,minimum_imbalance_within_relative_modularity_band,seed22_solution037,0.3145546893084243,0.3145546893084243,0.0,2,0.4308118081180812,6.26741440377804,0.8433772316463023,11,0.2264150943396226,0.0566037735849056,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 7, 2, 8, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 9, 10, 10, 10, 9, 0, 0]",,,,,,,,,,,,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
daytrader,23,0.05,True,minimum_imbalance_within_relative_modularity_band,seed23_solution055,0.1908154802834928,0.1950265561811521,0.0215923204517225,2,0.4824723247232472,17.90077541506113,0.5597130933657104,7,0.2452830188679245,0.0,"[0, 1, 2, 3, 0, 0, 2, 3, 2, 0, 1, 2, 3, 4, 0, 2, 4, 0, 0, 2, 5, 5, 0, 3, 3, 6, 3, 0, 1, 1, 1, 4, 0, 1, 1, 0, 3, 3, 4, 2, 2, 2, 3, 2, 6, 3, 4, 2, 3, 4, 2, 0, 0]",seed23_solution029,0.30988757131575,0.4289667896678966,7.183499833499835,0.8689493539373174,10.0,0.0453152779666737,-0.11907209103225722,-0.309236260571607,0.053505535055350606,10.717275581561296,Stage 2 canonical 5% profile vs saved Stage 3 balance 5% profile
