arm,generations,seed_count,hypervolume_mean,hypervolume_std,hypervolume_min,hypervolume_max,best_so_far_hypervolume_mean,plateau_generation_mean,plateau_generation_min,plateau_generation_max
random_with_repair,100,10,0.01848315013691524,0.0007619586443846787,0.0175095037213099,0.0195576089352053,0.01848315013691524,88.2,68,99
random_with_repair,200,10,0.02012565225518409,0.0008972973652016753,0.0190498757479302,0.0213704984648211,0.02012565225518409,172.3,130,192
random_with_repair,300,10,0.02140397287631507,0.0012066412114498774,0.0195104722455003,0.0235620061769164,0.021404066930058863,259.7,224,290
random_with_repair,500,10,0.022602142406542562,0.0011927160830154785,0.0207969083100452,0.0248617827968236,0.02260222277080284,418.4,296,485
leiden_seeded,100,10,0.13017399478629882,0.005191193350763483,0.1217646831630609,0.1376644286991027,0.13026923507838084,82.0,41,97
