arm,seed,class_count,population_size,generations,initial_before_feasible_count,initial_before_feasible_rate,initial_after_feasible_count,initial_after_feasible_rate,final_feasible_individual_count,final_pareto_front_size,final_hypervolume,best_hypervolume,plateau_generation_1pct_best_so_far,reaches_positive_hypervolume,budget_generations
random_with_repair,0,814,100,100,0,0.0,100,1.0,100,61,0.017813074762327,0.017813074762327,93,True,100
random_with_repair,1,814,100,100,0,0.0,100,1.0,100,66,0.0182248992552052,0.0182248992552052,92,True,100
random_with_repair,2,814,100,100,0,0.0,100,1.0,100,77,0.0181805800221685,0.0181805800221685,86,True,100
random_with_repair,3,814,100,100,0,0.0,100,1.0,100,100,0.0175095037213099,0.0175095037213099,95,True,100
random_with_repair,4,814,100,100,0,0.0,100,1.0,100,44,0.0188422889554928,0.0188422889554928,87,True,100
random_with_repair,5,814,100,100,0,0.0,100,1.0,100,63,0.0194065385400008,0.0194065385400008,99,True,100
random_with_repair,6,814,100,100,0,0.0,100,1.0,100,57,0.0194409448384132,0.0194409448384132,94,True,100
random_with_repair,7,814,100,100,0,0.0,100,1.0,100,72,0.0179386347052989,0.0179386347052989,68,True,100
random_with_repair,8,814,100,100,0,0.0,100,1.0,100,37,0.0179174276337308,0.0179174276337308,81,True,100
random_with_repair,9,814,100,100,0,0.0,100,1.0,100,57,0.0195576089352053,0.0195576089352053,87,True,100
random_with_repair,0,814,100,200,0,0.0,100,1.0,100,99,0.0191002190468097,0.0191002190468097,165,True,200
random_with_repair,1,814,100,200,0,0.0,100,1.0,100,100,0.0193470076297856,0.0193470076297856,172,True,200
random_with_repair,2,814,100,200,0,0.0,100,1.0,100,84,0.020285861346156,0.020285861346156,174,True,200
random_with_repair,3,814,100,200,0,0.0,100,1.0,100,86,0.0196061986286027,0.0196061986286027,176,True,200
random_with_repair,4,814,100,200,0,0.0,100,1.0,100,52,0.0212475651461947,0.0212475651461947,192,True,200
random_with_repair,5,814,100,200,0,0.0,100,1.0,100,97,0.0204118625373723,0.0204118625373723,164,True,200
random_with_repair,6,814,100,200,0,0.0,100,1.0,100,95,0.021151406357227,0.021151406357227,182,True,200
random_with_repair,7,814,100,200,0,0.0,100,1.0,100,84,0.0190498757479302,0.0190498757479302,130,True,200
random_with_repair,8,814,100,200,0,0.0,100,1.0,100,77,0.0196860276469416,0.0196860276469416,183,True,200
random_with_repair,9,814,100,200,0,0.0,100,1.0,100,98,0.0213704984648211,0.0213704984648211,185,True,200
random_with_repair,0,814,100,300,0,0.0,100,1.0,100,89,0.0208481182282902,0.0208481182282902,279,True,300
random_with_repair,1,814,100,300,0,0.0,100,1.0,100,100,0.0213524694283115,0.0213525939093642,246,True,300
random_with_repair,2,814,100,300,0,0.0,100,1.0,100,100,0.0207923728579248,0.0207923728579248,243,True,300
random_with_repair,3,814,100,300,0,0.0,100,1.0,100,88,0.0201949571913614,0.0201949571913614,224,True,300
random_with_repair,4,814,100,300,0,0.0,100,1.0,100,99,0.0235620061769164,0.0235620061769164,290,True,300
random_with_repair,5,814,100,300,0,0.0,100,1.0,100,100,0.0216892126599951,0.0216892126599951,244,True,300
random_with_repair,6,814,100,300,0,0.0,100,1.0,100,100,0.0225310741089462,0.0225315115669682,274,True,300
random_with_repair,7,814,100,300,0,0.0,100,1.0,100,99,0.0195104722455003,0.0195104722455003,257,True,300
random_with_repair,8,814,100,300,0,0.0,100,1.0,100,71,0.021044608095572,0.021044608095572,253,True,300
random_with_repair,9,814,100,300,0,0.0,100,1.0,100,96,0.0225144377703328,0.022514816368696,287,True,300
random_with_repair,0,814,100,500,0,0.0,100,1.0,100,100,0.0212111471073382,0.0212111471073382,440,True,500
random_with_repair,1,814,100,500,0,0.0,100,1.0,100,100,0.0226678715499033,0.0226678715499033,442,True,500
random_with_repair,2,814,100,500,0,0.0,100,1.0,100,97,0.0219243801216447,0.0219243801216447,475,True,500
random_with_repair,3,814,100,500,0,0.0,100,1.0,100,99,0.0233036676632082,0.0233036676632082,485,True,500
random_with_repair,4,814,100,500,0,0.0,100,1.0,100,100,0.0248617827968236,0.0248617827968236,417,True,500
random_with_repair,5,814,100,500,0,0.0,100,1.0,100,100,0.0222130643947254,0.0222130643947254,400,True,500
random_with_repair,6,814,100,500,0,0.0,100,1.0,100,98,0.0227510798846024,0.0227510798846024,296,True,500
random_with_repair,7,814,100,500,0,0.0,100,1.0,100,100,0.0207969083100452,0.0207969083100452,448,True,500
random_with_repair,8,814,100,500,0,0.0,100,1.0,100,100,0.0225200592196708,0.0225208627808198,347,True,500
random_with_repair,9,814,100,500,0,0.0,100,1.0,100,100,0.0237714630174638,0.0237714630989176,434,True,500
