subject,node_count,directed_neighbour_rows,final_edge_count,isolated_node_count,self_loop_count,duplicate_edge_count,connected_component_count,edge_weight_min,edge_weight_mean,edge_weight_median,edge_weight_std,edge_weight_max,degree_min,degree_mean,degree_median,degree_std,degree_max,structural_overlap,novel_edge_proportion,random_structural_mean,random_structural_p95,random_structural_maximum,observed_minus_random_structural_mean,go,edge_set_jaccard,mean_neighbour_retention,zero_retention_class_count,all_retained_class_count
jpetstore,24,72,47,0,0,0,1,0.50474016832623469497,0.647380487933375659,0.6406034776280812304,0.074647672668477604851,0.82744405789383135286,3,3.9166666666666665186,4,1.18731723739791728,7,0.53191489361702126715,0.46808510638297867734,0.19323404255319148737,0.27659574468085107446,0.40425531914893608754,0.33868085106382977978,True,0.66666666666666662966,0.83333333333333337034,0,12
daytrader,53,159,112,0,0,0,1,0.32033118547526390207,0.59727807977485347646,0.61256713386086991679,0.12418775074962300209,0.86411717927773823433,3,4.2264150943396225912,4,1.4490271223416055779,8,0.4375,0.5625,0.11719642857142849313,0.16071428571428569843,0.2053571428571427937,0.32030357142857140973,True,0.57042253521126762283,0.74213836477987416007,1,20
xerces,814,2442,1681,0,0,0,12,0.43257303728805390763,0.72357098242941020327,0.71547949571209201736,0.11629653066273029638,1,3,4.1302211302211304655,4,1.3737610277704181971,14,0.34919690660321239806,0.65080309339678765745,0.011392028554431799306,0.015466983938131999288,0.020226055919095698582,0.33780487804878051028,True,0.61250000000000004441,0.75634725634725641363,9,333
