seed_i,seed_j,ari_raw_i_vs_raw_j
0,1,0.7073513211761197
0,2,0.6326242920362187
0,3,0.713625575488707
0,4,0.9533821406026772
0,5,0.7034440718177426
0,6,0.8865230046670847
0,7,0.9134784941719332
0,8,0.8953950685205249
0,9,0.9673962556404091
0,10,1.0
0,11,0.9193375302960661
0,12,0.9164855978023893
0,13,0.9176299148313878
0,14,0.6787638364416582
0,15,0.8439464167737181
0,16,0.6578330621672415
0,17,0.9533821406026772
0,18,0.6835396192337196
0,19,0.6938769743893106
0,20,0.9428668244117566
0,21,0.8145870423307803
0,22,0.713625575488707
0,23,0.9533821406026772
0,24,0.7930299486993323
0,25,1.0
0,26,0.8439464167737181
0,27,1.0
0,28,0.713625575488707
0,29,0.9176299148313878
1,2,0.7523974430537809
1,3,0.9756511992454913
1,4,0.7019409966161624
1,5,0.9301757028020381
1,6,0.6131706269503919
1,7,0.6657665911920739
1,8,0.7289924262367571
1,9,0.7219321192382515
1,10,0.7073513211761197
1,11,0.7250889041058263
1,12,0.7531590630261327
1,13,0.7362909368015528
1,14,0.9396506943501256
1,15,0.7441321125245917
1,16,0.7698306224281967
1,17,0.7019409966161624
1,18,0.7693628331816311
1,19,0.6974640113938934
1,20,0.6497838650620082
1,21,0.6244381378577667
1,22,0.9756511992454913
1,23,0.7019409966161624
1,24,0.7970901540436136
1,25,0.7073513211761197
1,26,0.7441321125245917
1,27,0.7073513211761197
1,28,0.9756511992454913
1,29,0.7362909368015528
2,3,0.7667676436463133
2,4,0.6217034068784935
2,5,0.7970082575446965
2,6,0.5752283591011547
2,7,0.6962362647913753
2,8,0.6815370772013081
2,9,0.6490236975675608
2,10,0.6326242920362187
2,11,0.6052991404745434
2,12,0.6341594426488537
2,13,0.6900961094602902
2,14,0.7059165728808569
2,15,0.6971075028501285
2,16,0.6340343060555514
2,17,0.6217034068784935
2,18,0.8237273021441701
2,19,0.6780609168110017
2,20,0.6830757578084882
2,21,0.5780703524568289
2,22,0.7667676436463133
2,23,0.6217034068784935
2,24,0.6860506630752994
2,25,0.6326242920362187
2,26,0.6971075028501285
2,27,0.6326242920362187
2,28,0.7667676436463133
2,29,0.6900961094602902
3,4,0.7071957207172831
3,5,0.9454376627127077
3,6,0.6188315758846846
3,7,0.6720527062998941
3,8,0.7360958224835044
3,9,0.728317213091114
3,10,0.713625575488707
3,11,0.7026835256893736
3,12,0.7307370841505204
3,13,0.7433520099529414
3,14,0.9222324058091608
3,15,0.7517854097521628
3,16,0.7854398178075874
3,17,0.7071957207172831
3,18,0.779843211193687
3,19,0.7127975757752743
3,20,0.6559198334762859
3,21,0.6292396995282304
3,22,1.0
3,23,0.7071957207172831
3,24,0.8019082488896238
3,25,0.713625575488707
3,26,0.7517854097521628
3,27,0.713625575488707
3,28,1.0
3,29,0.7433520099529414
4,5,0.695004934400722
4,6,0.8431732732351538
4,7,0.866376894501068
4,8,0.8857726808261978
4,9,0.92065169552697
4,10,0.9533821406026772
4,11,0.9381887027447451
4,12,0.9134322814361732
4,13,0.8730612808445536
4,14,0.6934433743608356
4,15,0.8008664351479645
4,16,0.6525165283047495
4,17,1.0
4,18,0.6808284044592077
4,19,0.7000866206513235
4,20,0.8958962501940186
4,21,0.8577615831727448
4,22,0.7071957207172831
4,23,1.0
4,24,0.7484807515056303
4,25,0.9533821406026772
4,26,0.8008664351479645
4,27,0.9533821406026772
4,28,0.7071957207172831
4,29,0.8730612808445536
5,6,0.6095107540625768
5,7,0.668678538141937
5,8,0.7314491283852683
5,9,0.7187848362061829
5,10,0.7034440718177426
5,11,0.687881987464799
5,12,0.7172111721964455
5,13,0.7397890744846942
5,14,0.8806276571454366
5,15,0.7555741287853541
5,16,0.7535424220460766
5,17,0.695004934400722
5,18,0.8110811064114213
5,19,0.6983154955163037
5,20,0.6515683108018059
5,21,0.6185802582287372
5,22,0.9454376627127077
5,23,0.695004934400722
5,24,0.7794795449835814
5,25,0.7034440718177426
5,26,0.7555741287853541
5,27,0.7034440718177426
5,28,0.9454376627127077
5,29,0.7397890744846942
6,7,0.8361630647537459
6,8,0.7892068974634568
6,9,0.8554253733531939
6,10,0.8865230046670847
6,11,0.8137023933989614
6,12,0.8106362476011902
6,13,0.8109388643363591
6,14,0.5857633896408395
6,15,0.7429129202353858
6,16,0.7641396993450802
6,17,0.8431732732351538
6,18,0.5952653083667799
6,19,0.6029308326194869
6,20,0.8640242478647969
6,21,0.9269551045647421
6,22,0.6188315758846846
6,23,0.8431732732351538
6,24,0.6896627509882478
6,25,0.8865230046670847
6,26,0.7429129202353858
6,27,0.8865230046670847
6,28,0.6188315758846846
6,29,0.8109388643363591
7,8,0.8583671223424568
7,9,0.9461400869577866
7,10,0.9134784941719332
7,11,0.8340501089788976
7,12,0.8747436737222352
7,13,0.8813416660628656
7,14,0.6359843950711261
7,15,0.8061838248558448
7,16,0.6425683952145682
7,17,0.866376894501068
7,18,0.6485556106393197
7,19,0.6550129631949276
7,20,0.9629789992472616
7,21,0.8191287886966638
7,22,0.6720527062998941
7,23,0.866376894501068
7,24,0.7503508506434804
7,25,0.9134784941719332
7,26,0.8061838248558448
7,27,0.9134784941719332
7,28,0.6720527062998941
7,29,0.8813416660628656
8,9,0.9125216455891867
8,10,0.8953950685205249
8,11,0.8609548762319638
8,12,0.8667700635443718
8,13,0.978898224823295
8,14,0.7213918751618316
8,15,0.9020621141073893
8,16,0.6616875089160359
8,17,0.8857726808261978
8,18,0.7589964403631635
8,19,0.6805675366016585
8,20,0.8377934592365794
8,21,0.7985161104709781
8,22,0.7360958224835044
8,23,0.8857726808261978
8,24,0.7764206160374472
8,25,0.8953950685205249
8,26,0.9020621141073893
8,27,0.8953950685205249
8,28,0.7360958224835044
8,29,0.978898224823295
9,10,0.9673962556404091
9,11,0.8872631961192543
9,12,0.927744894917848
9,13,0.9347191935157727
9,14,0.6929770670645258
9,15,0.8596950041429225
9,16,0.6702732137654877
9,17,0.92065169552697
9,18,0.6957381198836579
9,19,0.7094165761028691
9,20,0.9098439623480438
9,21,0.8441825366415185
9,22,0.728317213091114
9,23,0.92065169552697
9,24,0.8082062174654175
9,25,0.9673962556404091
9,26,0.8596950041429225
9,27,0.9673962556404091
9,28,0.728317213091114
9,29,0.9347191935157727
10,11,0.9193375302960661
