seed,ari_raw_vs_ssa
0,0.8808573038768709
1,0.7290478850189229
2,0.6055731880776127
3,0.7366194863585867
4,0.7631980846491271
5,0.5972132234253288
6,0.7551882412668327
7,0.7680539738602394
8,0.7403057152363578
9,0.7090154137195531
10,0.7306851830629244
11,0.7148910091819681
12,0.6908827314077022
13,0.6448970159396676
14,0.7364553288282153
15,0.6324888025001132
16,0.7425536564818551
17,0.6504944049350492
18,0.6531413751531491
19,0.6578360410875234
20,0.7799687295650252
21,0.69040808942567
22,0.7970529402440741
23,0.8202378150406389
24,0.777797995190892
25,0.747394312811241
26,0.709575997257785
27,0.6632095139575123
28,0.734966296516666
29,0.6660356765773973
