subject,from_budget,to_budget,from_budget_label,to_budget_label,additional_modularity_loss,additional_imbalance_improvement,additional_coupling_cost,additional_cohesion_change
daytrader,0.01,0.03,1%,3%,0.0,0.015282340655368182,0.007726269315673315,-0.0004968955598289582
daytrader,0.03,0.05,3%,5%,0.008024140095137827,0.002606165305986091,0.007726269315673315,0.0004968955598289582
daytrader,0.05,0.1,5%,10%,0.0314147321435886,0.060106213272438064,0.022626931567328853,0.017269864264469914
jpetstore,0.01,0.03,1%,3%,0.012163755594017195,0.4226497308103741,0.0,-0.10389045859595736
jpetstore,0.03,0.05,3%,5%,0.020259134883913288,0.577350269189626,0.08823529411764719,-0.0015214083894804636
jpetstore,0.05,0.1,5%,10%,0.0,0.0,0.0,0.0
xerces-j,0.01,0.03,1%,3%,0.021352471384958296,0.022311847704046407,0.07547169811320759,-0.006555931596018076
xerces-j,0.03,0.05,3%,5%,0.016575153282222116,0.032362971905888646,0.05970252031400625,0.014262469592619512
xerces-j,0.05,0.1,5%,10%,0.04833732642014331,0.029818753790177843,0.16926043244732147,-0.5517013893734037
